honored_for_1,honored_for_2
6390,2099
4267,2377
6448,300
6381,2377
6374,2599
6409,1514
6406,1606
6409,1513
6397,1889
6402,1740
6382,2358
7845,6157
5218,5674
6406,1620
6389,2146
3196,2823
6379,2455
7505,317
7979,2006
7328,5803
6404,1686
6405,1652
6372,2682
6383,2341
3192,2956
5733,6106
4279,2029
5731,6166
6389,2152
6369,2772
6372,2679
6379,2462
6373,2648
6383,2344
6397,1908
6405,1660
3278,295
6374,2628
6381,2408
6369,2787
6376,2569
12758,1340
6369,2786
3732,2611
7430,2661
6373,2667
6381,2418
6379,2480
6372,2696
6399,1865
12758,1347
6442,531
6373,2669
6375,2613
6369,2798
6387,2240
1100,2296
7505,349
6379,2486
6380,2462
6390,2152
7488,882
6379,2491
7430,2678
7339,5499
7507,291
3278,322
6373,2682
6392,2093
6404,1719
7504,387
5733,6137
6383,2376
7343,5384
7439,2408
7321,6066
6375,2628
6375,2626
5312,2817
7428,2755
6376,2605
6395,2015
3223,2044
7491,806
6381,2455
6393,2083
3197,2853
7428,2766
6381,2454
6376,2608
6408,1615
6413,1460
5744,5821
2056,5459
7507,319
6448,379
6393,2084
6401,1843
6381,2462
6370,2802
6374,2678
7457,1873
6385,2342
6409,1597
6404,1751
6266,6029
6404,1758
6408,1633
6914,2331
6384,2375
6396,2010
6380,2506
6406,1699
6392,2133
6379,2535
6398,1952
6402,1828
6367,2912
5744,5842
7495,711
6372,2755
7435,2576
6385,2357
6398,1954
6381,2480
6373,2735
6381,2486
3198,2853
6379,2547
6372,2764
6409,1622
6428,1033
7504,445
6404,1776
7330,5838
6370,2829
7504,443
6375,2681
7453,2031
6397,1998
6376,2649
6433,882
6408,1656
6385,2375
6382,2466
6407,1696
6448,424
6380,2532
6397,2010
7435,2599
7856,5938
6411,1580
6396,2044
6372,2787
7496,711
6454,252
2676,2680
6401,1894
1154,711
3223,2108
6372,2798
6402,1868
6373,2766
7510,287
6378,2610
6369,2889
4178,5273
7504,471
1079,3042
7468,1594
6404,1809
6386,2371
6392,2185
1005,5341
7508,357
6387,2339
7507,387
6368,2933
6953,1182
6402,1877
6376,2683
6387,2342
6381,2535
6396,2070
6404,1822
6381,2534
7504,489
6396,2074
6368,2941
6379,2599
6389,2295
6367,2977
6400,1954
6370,2883
6433,930
6380,2572
6400,1952
6402,1889
6381,2547
7457,1959
6446,531
4179,5273
7430,2795
6403,1869
6379,2613
6802,5884
2169,2049
6393,2178
7495,788
585,2006
6389,2304
6448,482
6404,1846
6402,1908
3748,2259
3249,1347
6396,2098
6388,2345
6387,2375
6394,2158
4291,1814
6392,2219
6372,2846
7495,800
6413,1572
6375,2750
7344,5479
6372,2850
6379,2633
6414,1548
6397,2074
6374,2786
5744,5931
6373,2816
7505,498
4255,2942
6369,2944
6397,2076
6414,1556
6410,1680
3222,2201
6935,1787
6394,2173
6372,2855
6411,1646
4284,2048
635,482
6380,2613
2056,5586
6385,2456
6367,3020
6389,2337
6381,2591
634,522
7472,1537
6408,1752
4265,2648
7504,544
6408,1751
6382,2564
1152,851
6403,1912
3244,1537
6381,2599
7979,2212
6387,2411
6372,2876
7496,800
6373,2844
6370,2944
6409,1734
6392,2261
7452,2169
6380,2631
6385,2476
7508,431
6379,2669
7430,2853
6378,2704
6385,2486
6378,2701
7504,563
6410,1715
4291,1869
6381,2613
6389,2364
6396,2147
6375,2798
6369,2990
6400,2029
6374,2835
6383,2555
6407,1817
5842,2947
6448,544
6390,2342
1127,1656
6379,2682
6378,2720
3738,2637
5312,3001
6382,2599
6368,3032
6385,2505
6381,2628
6392,2294
2680,2676
6397,2138
6375,2819
3270,772
5744,5995
2711,1716
6459,221
6388,2421
6419,1460
6403,1954
6398,2116
6408,1806
6396,2178
6387,2456
6399,2084
6402,1990
6399,2083
6387,2455
6375,2826
7437,2679
6372,2924
3096,6178
7508,482
6406,1875
7510,419
7348,5440
6390,2375
7462,1910
6385,2535
3270,794
6400,2068
6418,1516
3791,1031
6373,2910
5330,2476
6376,2816
4276,2379
6370,3001
6375,2846
6373,2908
6389,2418
6397,2169
6460,221
6382,2638
6378,2762
5348,1923
6459,250
5350,1862
5336,2301
7437,2707
6383,2612
6393,2301
5330,2485
6387,2486
6404,1959
7437,2704
6407,1873
6414,1656
3222,2301
6415,1622
2182,1775
6459,265
7438,2684
6381,2682
7507,544
6396,2216
6386,2526
6380,2712
6375,2866
6460,238
6376,2839
6935,1894
1171,357
6407,1884
4277,2379
2676,2855
6374,2906
1157,794
6370,3036
6410,1796
5866,2275
6454,431
6374,2910
6384,2599
3775,1560
6392,2358
6398,2172
6374,2916
5339,2233
6397,2201
6900,2992
7474,1582
6373,2944
6409,1828
5331,2479
6374,2920
7513,379
6418,1555
6379,2764
6374,2918
5312,3071
3773,1630
6398,2180
6382,2676
6454,443
6404,1993
6400,2116
6373,2953
6410,1806
6380,2735
6448,627
6371,3021
7504,666
6393,2338
6378,2801
7453,2244
7462,1972
6372,2993
6408,1877
6376,2869
7510,482
6382,2681
6410,1818
3208,2777
6378,2816
6373,2971
647,250
6402,2070
6448,643
6382,2696
6372,3006
6414,1703
6411,1795
7476,1548
6460,281
559,2987
3223,2325
2056,5733
6385,2611
5863,2408
12758,1660
7517,285
1085,3071
5315,3011
5857,2593
7472,1686
1167,531
7453,2274
6389,2489
6397,2240
6374,2953
6399,2178
6388,2526
8412,5319
2056,5744
6459,324
7507,604
5744,6106
6404,2028
6419,1567
6414,1722
6459,326
7430,2993
2068,5380
6392,2408
6402,2098
6414,1726
6409,1887
6387,2569
639,531
6397,2257
3770,1776
5842,3077
7504,711
6463,221
6462,252
6412,1802
7438,2764
6409,1894
3219,2478
1127,1795
6935,1972
6411,1830
6376,2922
3754,2282
7457,2179
6463,224
6392,2425
6376,2920
6381,2764
6411,1841
2594,5478
6400,2180
6379,2830
6376,2923
5744,6137
6414,1751
6905,2919
7453,2315
6380,2809
5338,2341
6419,1605
6379,2844
6382,2751
3292,238
6901,3051
7462,2044
6396,2321
7438,2786
6380,2815
6421,1544
3771,1776
6397,2294
6379,2850
6373,3036
5750,5966
6403,2113
3818,326
6404,2081
7344,5708
6463,250
3262,1182
6381,2798
6380,2829
3738,2809
6387,2611
3233,2082
6379,2865
6400,2213
6386,2646
6372,3080
6821,5545
6387,2621
6421,1567
6459,387
7517,357
6397,2308
6379,2866
1127,1841
6392,2470
6404,2096
6406,2040
6411,1884
3791,1182
7438,2815
2680,2855
6421,1573
6448,736
6378,2906
6374,3030
3649,5587
5861,2555
6460,368
6282,5886
7517,368
2056,5821
6463,281
3773,1748
6375,3006
6408,1990
6413,1835
5397,563
7462,2083
2578,6029
6465,221
6379,2887
6402,2174
7508,656
6419,1646
1150,1149
7507,693
6381,2830
2068,5459
6407,2023
6465,224
6385,2711
6397,2339
3217,2613
6374,3051
6397,2337
6414,1809
6395,2405
7453,2375
6387,2652
6376,2993
6459,419
2056,5842
6460,387
6396,2378
6390,2564
4283,2344
6465,238
5866,2424
6386,2692
6389,2599
2681,2857
6423,1544
6418,1699
6411,1915
6414,1822
2179,2037
5885,1837
6423,1548
6381,2850
6446,834
3774,1748
6379,2910
6421,1615
1127,1886
6465,250
6421,1613
6380,2890
6399,2301
6393,2487
6816,5758
6380,2889
6397,2362
6379,2918
1179,281
6379,2925
4280,2457
6410,1962
6387,2675
3217,2643
6415,1806
6418,1713
6381,2866
6409,1998
6463,324
3208,2923
6905,3006
6376,3020
6423,1567
6418,1722
6414,1846
6460,419
6421,1633
2676,3042
564,2978
4284,2344
6419,1699
6403,2200
1127,1915
6959,1347
3246,1764
6384,2787
7855,6338
478,5653
6421,1646
6460,437
6414,1862
6465,281
6419,1713
6376,3045
6390,2611
7466,2023
6375,3075
3770,1914
6422,1622
6394,2489
6410,1993
6830,5363
6419,1719
6399,2338
4298,1934
6424,1567
6381,2906
3740,2858
6388,2692
6389,2667
6419,1737
1122,2101
6397,2418
1127,1948
6385,2788
4271,2787
6381,2918
6385,2793
6392,2576
6381,2917
6400,2334
6404,2209
6392,2581
6417,1806
6403,2238
6381,2920
6460,471
6408,2083
6814,5888
3771,1914
6381,2924
4279,2551
6465,326
6419,1752
7517,482
2056,5931
6460,480
6463,387
6404,2216
7455,2403
6465,324
6380,2959
6397,2432
6423,1633
7468,2006
6411,2004
6418,1786
6397,2437
6388,2715
3742,2823
6385,2815
6421,1699
6946,1806
6462,431
6408,2105
7467,2044
5350,2133
1175,489
3742,2831
7348,5738
3278,836
6381,2944
7526,217
1657,1935
7513,627
6397,2454
6395,2516
6421,1709
6423,1646
6398,2421
6402,2304
6462,443
6421,1713
6409,2085
7453,2489
7334,6178
7523,319
2068,5586
5897,1573
6448,882
6407,2152
6387,2772
1133,1805
4280,2551
2182,2056
6409,2088
6414,1940
3298,230
6380,2993
6460,513
6465,357
6381,2960
6393,2588
6380,2991
6400,2371
4275,2716
1127,1998
7526,244
6411,2040
6385,2846
5235,5729
4286,2377
7508,800
2182,2068
3782,1622
6385,2850
6411,2044
653,317
6409,2105
6378,3072
5866,2559
8409,5640
6378,3069
6384,2890
6408,2146
6384,2889
6410,2083
7467,2083
6421,1740
6393,2615
6382,2956
492,5319
7511,725
3117,5864
6391,2675
6410,2086
6407,2178
6465,387
6421,1751
6427,1564
6408,2152
6421,1748
6392,2654
2056,5995
6381,2993
6392,2651
7484,1567
6412,2038
6410,2099
6427,1572
7528,209
6396,2532
614,1551
2680,3042
6408,2164
6396,2536
6277,6225
3298,271
6448,930
4271,2880
6411,2076
6381,3006
3262,1389
6387,2819
1127,2040
6392,2663
1127,2042
7474,1895
7479,1738
6423,1713
6418,1868
6385,2890
7470,2023
6399,2454
6406,2237
1015,5523
6414,1993
6408,2179
7526,289
4284,2493
644,643
6392,2681
6385,2897
6414,1998
3664,5330
7523,387
6382,2989
7468,2098
6409,2158
7457,2437
6385,2906
6402,2377
6427,1609
6396,2569
6385,2910
6414,2010
5237,5728
5777,5372
6419,1854
6427,1613
6393,2667
7528,250
6380,3069
6387,2851
6396,2572
6424,1703
6454,779
6385,2918
3255,1642
6385,2917
6426,1646
6448,963
6385,2923
6419,1868
6389,2798
7526,319
6399,2487
6415,1990
6460,595
6385,2920
6410,2152
7526,324
7457,2462
7367,5251
6385,2924
3782,1699
6418,1908
6937,2201
1127,2088
6424,1726
6431,1512
3754,2580
3806,968
6396,2602
7362,5424
6397,2568
8424,5266
6396,2606
6402,2418
649,538
6426,1679
6394,2671
6463,531
6411,2143
6459,654
6381,3072
6396,2613
4180,5774
7463,2303
6387,2890
6411,2146
3230,2455
7479,1806
6384,2990
3783,1699
6411,2152
6421,1841
3763,2321
6381,3080
7988,2422
6419,1908
6421,1846
6431,1535
8017,1526
1184,357
4307,1847
6432,1514
6404,2382
6394,2690
7453,2628
6418,1951
6387,2912
6392,2755
6429,1608
6403,2421
6429,1615
6386,2947
3219,2818
6385,2977
6397,2605
2056,6106
6410,2201
2068,5733
6393,2735
6398,2580
6387,2920
6397,2613
6392,2768
3141,5247
6423,1806
1132,1990
6419,1937
2068,5744
7987,2480
6403,2436
6397,2621
6402,2466
6421,1877
6465,513
6404,2403
4291,2371
6427,1697
6431,1573
6475,209
4177,5908
6411,2190
7489,1540
6425,1762
3233,2411
6402,2480
6385,3006
6387,2944
6396,2669
6399,2576
3223,2726
7483,1740
3295,496
2056,6137
6423,1837
6424,1806
6422,1868
3100,6544
6387,2952
478,5906
6402,2486
6463,595
6415,2083
6422,1865
6423,1841
7453,2678
6408,2304
6459,723
7455,2615
6399,2582
6396,2675
3295,504
6413,2153
1160,1159
6397,2654
7453,2686
6419,1970
6423,1846
3779,1892
7457,2564
6415,2105
6418,2010
3807,1033
3298,427
4197,5330
6405,2416
6414,2144
8409,5838
6389,2923
6399,2613
8413,5708
6424,1837
6389,2922
3101,6544
3789,1603
6389,2920
6475,254
3254,1806
6399,2615
6460,723
3233,2458
6424,1846
6423,1877
6408,2342
6396,2712
6421,1937
6396,2711
6475,269
7455,2656
6396,2716
6429,1699
6402,2535
6476,240
6412,2223
6404,2478
3299,427
6419,2011
6411,2259
7362,5545
2068,5821
6388,2978
6476,250
7479,1925
7473,2109
6402,2547
6460,748
6431,1646
6404,2483
6463,661
6388,2985
6414,2179
3642,6192
6411,2277
6409,2338
6415,2152
3255,1806
7472,2153
6475,291
6388,2994
6431,1661
1135,1994
6424,1877
6413,2218
8413,5750
7534,234
2068,5842
5247,5595
6402,2564
1187,387
6398,2692
7479,1949
6435,1544
6459,800
7513,894
6409,2352
6431,1670
6432,1646
6824,5878
6476,281
6399,2667
6431,1681
6471,441
6475,317
6409,2362
6421,1990
7532,317
6395,2795
6478,221
6418,2088
8421,5524
6415,2179
6419,2054
6414,2209
6386,3077
6423,1937
4302,2152
6387,3051
4186,5745
6402,2585
6475,329
6390,2961
3765,2418
3747,2979
6401,2626
7468,2317
6430,1726
6402,2599
6413,2257
6407,2443
6475,334
6408,2418
6460,806
6402,2603
6428,1797
7472,2201
6463,711
3145,5266
4320,1608
3649,6030
6937,2411
4320,1615
7533,317
3295,627
6463,723
5359,2178
6409,2403
6419,2093
4303,2152
6401,2649
7528,480
7348,6059
6396,2809
7354,5878
6431,1722
2182,2371
6402,2628
6432,1697
6401,2656
6409,2408
7476,2099
6401,2662
6400,2692
6396,2815
6419,2102
6409,2418
6410,2387
6404,2572
1118,2599
6397,2788
6432,1703
6397,2795
6427,1865
6463,748
5899,1849
6440,1460
6478,281
6396,2829
6397,2798
6399,2735
6401,2673
3793,1603
6427,1877
4195,5533
7537,234
2068,5931
6393,2935
6400,2715
6404,2591
7510,1073
6419,2133
6481,211
665,281
6430,1790
6429,1820
6432,1727
6411,2385
6397,2819
6408,2478
7495,1548
5895,1994
6427,1893
6460,869
7453,2853
6412,2355
6418,2169
6404,2603
6393,2944
6421,2083
6397,2826
4284,2794
5376,1710
7334,6547
5332,3071
7466,2454
3796,1537
6465,723
3233,2609
7528,538
6408,2489
6413,2339
6436,1626
6409,2462
6481,230
6402,2679
6967,1548
6414,2306
3233,2615
6421,2088
4324,1560
6409,2466
3839,217
6412,2371
7534,357
6421,2098
6475,424
6418,2189
7513,1012
6424,2010
6392,3001
6412,2381
6404,2628
668,221
6418,2193
6409,2479
6439,1548
6431,1796
6437,1608
8003,2214
6397,2855
4282,2883
6927,2809
3787,1843
6476,405
6401,2728
6463,806
6435,1681
6409,2487
6396,2890
3233,2637
6396,2889
6438,1586
6465,748
8419,5709
6418,2212
6415,2304
6437,1622
3129,5864
1118,2675
4325,1560
6404,2654
6419,2188
2068,5995
6439,1567
3840,217
7462,2621
6481,271
6431,1818
6478,368
6423,2073
6399,2816
7457,2785
6431,1822
6397,2876
3676,5309
6435,1703
6404,2669
6429,1894
6930,2747
3796,1595
8421,5683
6418,2240
6411,2456
6411,2455
6413,2393
6423,2083
7457,2797
7532,471
6431,1841
6401,2770
6419,2212
669,238
6407,2589
13483,12604
6478,387
7533,455
5368,2034
6475,482
6406,2621
6440,1567
6415,2342
3237,2558
3796,1613
6393,3030
1120,2652
7483,2008
7532,489
5368,2038
3267,1633
6935,2611
6480,331
3649,6177
6404,2693
7534,431
6414,2382
7472,2352
6436,1699
7457,2816
6463,869
6475,496
6465,806
6432,1828
6421,2169
6396,2944
6441,1548
6824,6059
6419,2237
6402,2764
7533,471
7455,2889
6429,1925
6411,2482
6431,1868
6401,2798
7988,2752
6476,471
3835,424
6432,1846
6414,2403
6406,2651
7540,265
6396,2960
6396,2959
7462,2681
3238,2558
2590,6261
5350,2621
6437,1699
6427,2008
7453,2970
6394,3030
3264,1758
6426,2044
6421,2199
7452,3006
6402,2787
7502,1460
7533,498
6480,372
6397,2944
3233,2726
6484,254
6408,2608
7470,2454
6439,1646
6484,258
6418,2304
6402,2798
6395,3015
6440,1620
7462,2706
6404,2735
6406,2673
6432,1873
6423,2152
6421,2214
6481,353
6404,2746
3261,1873
6432,1877
6417,2342
6396,2993
3649,6228
6967,1676
7534,482
7453,2993
6396,2991
4327,1595
6401,2842
2716,2387
1196,357
6484,273
7365,5730
3313,271
6423,2169
6402,2819
6432,1887
7349,6228
6440,1646
6404,2762
3234,2726
6465,869
2068,6106
6419,2294
6415,2418
6399,2920
3248,2295
6439,1679
8438,5251
7532,563
6476,538
6423,2179
8430,5495
672,238
6478,480
7537,419
6395,3052
6484,291
4284,2962
7540,329
6409,2621
6465,890
7537,431
12758,2416
3314,271
6399,2944
6402,2850
6444,1548
6439,1703
6414,2478
6322,5330
6439,1709
7533,563
6413,2513
6438,1738
3295,869
2068,6137
6435,1837
6439,1713
3782,2158
6484,317
6423,2206
6415,2454
6432,1934
6435,1841
6822,6228
4289,2830
6423,2212
4286,2924
5380,1775
6398,2985
6484,319
6429,2030
6402,2866
6440,1688
3264,1842
6404,2809
6484,329
6418,2373
6435,1846
6402,2876
6435,1853
6481,427
6484,334
5378,1851
2183,2590
6427,2105
1678,1865
3243,2505
5899,2086
3802,1560
6440,1699
6428,2071
3649,6302
6441,1675
6417,2418
6967,1752
6445,1548
7537,464
6435,1865
6440,1709
6408,2701
4314,2080
6396,3072
6400,2947
6440,1713
6423,2240
3783,2158
7349,6302
6397,3044
6402,2889
1193,531
6426,2152
6409,2679
4287,2924
3800,1635
6478,538
8030,1577
3254,2179
6427,2125
6424,2218
6460,1101
12758,2471
6463,1012
6402,2908
6427,2133
592,2793
6489,215
3650,6302
6421,2321
6402,2916
6400,2978
7532,654
6418,2419
6440,1737
6418,2418
6402,2920
6402,2919
6478,563
6417,2454
6422,2304
6425,2211
6402,2924
6413,2582
3264,1895
6484,379
7466,2712
7467,2681
6440,1748
6410,2678
3267,1809
6930,2942
7470,2585
3770,2602
6421,2342
6403,2900
6440,1752
6434,1938
6422,2309
6419,2402
7457,2999
6441,1726
6419,2408
6409,2716
6432,2010
1015,6094
6424,2257
6489,242
6427,2164
3788,2054
6409,2720
5359,2508
6414,2570
6476,654
6435,1923
6445,1613
6956,2155
7496,1806
6418,2454
6411,2671
6423,2304
6439,1806
7988,2939
6427,2185
6402,2960
6406,2834
7540,448
6411,2678
6432,2027
6410,2716
6484,421
3771,2602
3796,1829
6441,1759
6419,2441
6404,2906
6484,424
6421,2377
6465,1012
6408,2786
6411,2693
6402,2971
6404,2909
6489,273
6425,2257
6400,3032
6430,2108
6439,1828
3254,2257
2618,5592
7532,711
6400,3042
8421,5928
6437,1894
6445,1646
1118,2942
6424,2296
6424,2295
6419,2457
6431,2083
6419,2454
6489,291
674,329
6424,2304
6414,2613
6463,1101
6412,2680
6429,2158
6423,2342
6439,1846
6402,2993
6410,2745
6937,2798
6431,2099
6421,2408
3295,1012
6431,2105
6444,1702
6409,2787
1120,2903
6413,2661
6415,2599
3255,2257
7472,2599
6434,2015
6421,2418
6402,3006
6478,656
3843,419
6429,2174
6491,252
6437,1925
6444,1707
6403,2978
6415,2613
6489,319
6439,1868
6443,1743
6424,2337
6445,1686
4330,1713
6478,661
6439,1877
6424,2342
6438,1908
7479,2403
6411,2749
4315,2188
6414,2654
6489,329
6412,2715
3267,1908
6440,1854
6401,3063
6419,2505
6493,211
6422,2411
7489,2102
7473,2603
6410,2787
6432,2105
6424,2352
6430,2166
6423,2382
6410,2785
6484,498
6406,2915
6419,2512
3786,2213
6422,2418
6484,496
7505,1613
6431,2138
6407,2889
6421,2454
6431,2144
7482,2331
7507,1555
7549,258
6440,1868
6489,349
1198,531
6431,2146
6407,2890
6437,1967
7470,2712
6421,2462
6493,230
3847,334
680,209
7532,788
6440,1877
6465,1101
3268,1908
6423,2408
3808,1551
6419,2535
6439,1915
3142,5820
7532,800
674,408
7498,1853
6404,3006
6421,2478
7988,3052
7537,654
6421,2480
6407,2914
6423,2418
6489,379
6402,3075
6421,2486
4301,2671
6422,2454
1127,2762
6427,2304
6484,536
3835,736
7359,6178
6439,1937
6424,2402
6404,3020
6447,1692
6440,1908
6426,2342
7482,2374
6425,2379
6427,2317
6493,271
6418,2594
3681,5523
1157,1847
6418,2599
633,1709
7496,1949
6419,2567
6406,2970
6411,2815
6425,2381
6424,2418
6465,1147
6476,806
6431,2201
6435,2076
633,1713
4301,2692
6478,748
6418,2605
6419,2574
6419,2581
6970,1884
6408,2920
7495,1990
6425,2399
4321,2086
4298,2798
7496,1963
7483,2373
7365,6030
7473,2682
6426,2375
6424,2437
7498,1911
6414,2746
6418,2621
6421,2535
6424,2441
6435,2098
8412,6354
3682,5523
6419,2599
3786,2304
6436,2071
3843,538
3770,2804
6411,2850
6419,2602
6424,2454
3244,2728
6404,3072
6407,2979
7389,5305
6447,1738
6835,6094
6423,2489
4302,2701
3299,1031
7507,1656
3282,1560
6438,2025
5380,2056
6436,2094
12758,2723
6419,2621
6484,604
4202,5810
7489,2216
7467,2909
7495,2040
7540,643
5380,2068
6407,3005
6419,2633
6429,2322
5269,5515
6414,2786
6439,2010
6406,3040
1135,2599
6426,2418
1127,2850
6441,1958
4303,2701
7468,2887
6435,2147
6432,2240
6435,2146
6484,627
3590,8423
7482,2457
7549,387
7498,1967
6430,2306
7502,1842
6452,1630
6421,2591
6407,3024
6425,2466
6419,2651
6438,2067
6439,2036
6421,2599
6440,2008
6435,2169
6421,2602
6415,2787
6491,431
6419,2663
6440,2011
6429,2358
1208,368
633,1809
6407,3038
7476,2667
3847,482
7484,2425
6423,2547
2182,2947
3240,2920
6419,2675
6421,2613
6441,1993
6491,443
6414,2829
6435,2178
6427,2426
7551,357
7466,2990
6411,2926
3267,2088
7511,1594
6436,2158
6415,2809
6409,2993
6419,2682
6408,3030
6424,2534
1205,480
6425,2502
1127,2899
6430,2346
7495,2099
676,498
7505,1788
6423,2569
6422,2599
6427,2443
6421,2628
6481,772
6439,2074
6432,2295
6478,869
7472,2829
6418,2734
8036,1727
3241,2920
6432,2304
7479,2615
6489,536
1133,2735
1136,2643
6422,2619
7489,2310
6410,2990
7513,1564
6481,794
6437,2158
6449,1784
1135,2681
4329,1969
6493,427
6952,2581
6478,890
7466,3030
7537,834
6458,1520
6456,1580
7505,1835
6437,2174
6411,2979
1654,2992
6423,2613
6444,1962
6421,2675
6956,2474
5368,2549
8426,6051
6427,2486
7551,417
6484,725
5380,2182
6440,2088
6436,2211
5379,2216
7362,6280
6421,2682
6455,1626
6411,2990
6440,2098
6424,2594
6428,2469
3261,2340
7479,2656
6447,1878
6458,1537
6411,3001
6484,736
1188,1073
6452,1727
7384,5603
6423,2633
7479,2665
6435,2260
3249,2723
4184,6503
6445,1948
3282,1699
6429,2449
6457,1580
6445,1959
6439,2144
6412,2981
6418,2795
6455,1646
4327,2085
6418,2798
1216,221
5431,627
1127,2981
7505,1868
7505,1875
6429,2466
6422,2681
4202,5966
6426,2564
3320,544
7495,2193
6476,1012
676,591
6427,2534
4327,2099
7900,6029
6419,2787
7488,2416
6419,2786
6423,2669
3213,3873
6418,2823
6489,627
6411,3045
6418,2826
3268,2174
7504,1927
6435,2304
6439,2179
6419,2798
617,2441
2182,3077
6431,2431
6484,788
7470,2990
6452,1779
4321,2310
6419,2808
6412,3023
6447,1938
4326,2154
7551,482
6986,1620
6432,2408
6427,2569
5973,258
6426,2599
6435,2319
6432,2418
6439,2199
676,630
6440,2174
6456,1678
6412,3042
3214,3873
6458,1613
6430,2488
6427,2581
6439,2209
6417,2890
6431,2456
6431,2455
3326,408
6419,2826
6421,2764
6439,2206
6452,1810
5379,2302
6426,2613
6423,2712
6440,2185
6424,2681
6423,2711
7363,6338
3244,2960
6424,2683
6418,2876
6454,1760
6429,2535
3314,794
4302,2935
6475,1107
8036,1868
3780,2734
7470,3030
6421,2787
7510,1796
6444,2073
6428,2569
6956,2584
5378,2355
7484,2605
6414,3006
6452,1828
6418,2887
6427,2608
3251,2760
6421,2798
6440,2209
3280,1865
6414,3020
6440,2212
6427,2615
6979,1887
6415,2993
5382,2247
3782,2696
6449,1936
6419,2866
7510,1813
6431,2501
6449,1943
1214,387
6434,2405
3264,2373
6429,2567
6418,2908
4303,2935
6435,2385
4316,2535
6431,2506
7483,2669
6447,2015
6417,2944
6432,2479
3315,804
7476,2890
6422,2795
6421,2830
3317,748
5388,2083
6423,2766
3802,2099
7472,3015
7474,2960
7495,2308
6489,725
7505,1997
6418,2925
6454,1809
6452,1877
6441,2218
6452,1876
8446,5603
6457,1726
3271,2188
6429,2599
6436,2381
6440,2257
8047,1592
635,1988
6436,2379
6489,736
6421,2844
6429,2603
635,1990
6421,2850
6440,2261
6437,2352
6461,1615
6414,3072
6439,2296
6452,1893
3141,6228
6439,2295
6429,2605
6419,2915
6422,2827
6422,2826
6424,2764
6419,2919
7479,2826
8047,1609
6419,2924
6455,1806
1218,317
6421,2866
5899,2662
6427,2683
6449,2001
6417,2993
5380,2371
6478,1101
6505,271
3327,482
6432,2532
7508,1948
6441,2256
4302,3030
6484,930
6451,1952
6431,2572
6429,2632
7517,1678
7510,1894
6437,2388
6443,2202
6456,1806
6423,2829
6481,1031
6478,1123
7506,2023
7505,2054
6464,1556
6421,2889
6464,1555
7900,6196
5405,1620
6440,2310
8036,1990
3153,5905
6453,1910
6424,2809
6455,1847
7505,2071
7563,273
6421,2906
1221,265
633,2109
6421,2910
4303,3030
6424,2815
6478,1147
6454,1896
7479,2889
6421,2918
6466,1522
6421,2917
6421,2916
3254,2794
6457,1806
7508,1993
6435,2487
7513,1841
6421,2924
3790,2567
6436,2466
6429,2681
8047,1675
7510,1938
7561,357
7506,2061
6426,2780
6430,2656
6431,2628
3337,238
6435,2509
6422,2912
6426,2787
7507,2042
6450,2048
6440,2358
7484,2762
5383,2357
6421,2944
6429,2696
6453,1959
6452,1990
6423,2887
6439,2397
6432,2613
6484,1000
6451,2029
6418,3051
6440,2369
6437,2462
7498,2338
6438,2436
6424,2869
6437,2466
7482,2838
6421,2960
3272,2277
7496,2403
6440,2377
6431,2656
6425,2841
3822,1615
6468,1513
6456,1884
6452,2008
6423,2906
6435,2534
5931,1775
2212,2377
6437,2479
6392,3873
7002,1347
6468,1516
6455,1918
6452,2011
7549,772
6468,1522
6431,2669
6451,2049
7498,2360
6510,219
6439,2418
1144,2726
6423,2920
7507,2084
6453,1994
6461,1751
6447,2185
6440,2402
7563,357
6489,882
7502,2246
6431,2678
7505,2152
7549,788
6421,2993
6429,2751
7561,427
6432,2656
6423,2935
6440,2408
8036,2084
5368,2872
6511,211
6493,772
6510,252
6995,1601
6468,1555
6439,2454
3316,968
5382,2459
6424,2923
6507,357
6435,2588
6423,2959
6511,230
6432,2679
7484,2835
6493,794
6505,427
3172,5443
3796,2486
6444,2315
7511,2006
6436,2569
1144,2780
3677,6178
6453,2047
7482,2916
6439,2480
6489,930
8449,5709
696,289
7403,5363
6512,215
6481,1182
642,1966
6440,2457
6461,1805
6426,2890
6426,2889
6435,2615
5368,2929
7561,482
2199,2865
7514,1937
6456,1972
6458,1910
3282,2064
3781,2978
6455,2009
6511,271
6436,2595
6436,2599
6489,963
6464,1738
1144,2815
6437,2574
3796,2523
3272,2385
6426,2920
6432,2734
7397,5587
6453,2082
6513,221
7517,1865
6421,3072
6481,1217
6971,2410
6421,3080
6429,2838
6424,2993
7523,1692
1055,5592
3296,1657
1210,788
6444,2378
6468,1633
6513,238
1220,482
6472,1514
6431,2785
6440,2505
6439,2535
6439,2534
3282,2099
7564,427
6424,3006
6426,2944
3273,2381
6423,3036
6444,2385
5405,1827
687,627
6431,2787
6507,437
6438,2576
6513,250
6484,1149
3780,3051
6437,2605
6435,2667
6438,2574
6440,2512
6437,2611
6972,2410
7508,2178
6461,1865
6432,2764
3809,2158
5899,2909
6427,2923
6427,2922
6431,2798
6489,1000
3319,968
6978,2231
6423,3051
6452,2152
6512,291
7334,7583
6513,265
6435,2683
7511,2098
6431,2815
7505,2289
6440,2535
3846,1031
6508,431
3793,2681
7505,2298
6432,2798
1211,806
