type_of_union_1,type_of_union_2
3605,7586
434,7586
5719,7590
3341,7586
6248,7586
1227,7586
8362,7586
5984,7586
8098,7586
3870,7586
699,7586
7834,7586
3606,7586
1492,7586
5456,7586
1228,7586
6249,7586
8363,7586
6249,7590
4135,7586
964,7586
8099,7586
3871,7586
7835,7586
3607,7586
1493,7586
436,7586
8364,7586
1229,7586
4136,7586
6250,7586
8100,7586
965,7586
3872,7586
7043,7586
7836,7586
701,7586
5722,7586
3608,7590
8365,7586
5458,7586
1230,7586
4137,7586
6251,7586
7044,7586
8101,7586
7044,7590
966,7590
5987,7586
702,7586
7837,7586
5723,7586
3609,7586
1495,7586
438,7590
8366,7586
6252,7586
3081,7586
8102,7586
3874,7586
6781,7586
5724,7586
7838,7586
703,7590
5460,7586
8367,7586
3346,7586
1232,7586
3082,7586
4139,7586
7046,7586
8103,7586
3875,7586
704,7586
5725,7586
7839,7586
3611,7586
1497,7586
440,7586
5461,7586
3611,7590
1497,7590
3347,7586
1233,7586
4140,7586
8368,7586
8104,7586
969,7586
3083,7590
5990,7586
7047,7586
7840,7586
705,7586
3612,7586
6783,7586
5726,7586
3612,7590
5462,7586
4141,7586
1234,7590
8369,7586
6255,7586
8105,7586
7048,7590
5991,7586
7841,7586
706,7586
442,7586
3349,7586
6256,7586
1235,7586
8370,7586
971,7586
5992,7586
7049,7586
8106,7586
3085,7590
3878,7586
7842,7586
3614,7586
7842,7590
1500,7586
5464,7586
1500,7590
3350,7586
8371,7586
5993,7586
7050,7586
8107,7586
3879,7586
708,7586
7843,7586
3615,7586
444,7586
5465,7586
8372,7586
3351,7586
4144,7586
3351,7590
8108,7586
3087,7586
3880,7586
7051,7586
7844,7586
709,7586
1502,7586
8373,7586
3352,7586
4145,7586
1238,7590
3088,7586
6259,7586
974,7586
8109,7586
3088,7590
6259,7590
3881,7586
710,7586
7845,7586
710,7590
5731,7586
446,7586
8374,7586
3353,7586
1239,7586
6260,7586
3353,7590
3089,7586
4146,7586
975,7586
5996,7586
8110,7586
5732,7586
7846,7586
3618,7586
5468,7586
3354,7586
8375,7586
1240,7586
3090,7586
4147,7586
976,7586
5997,7586
7054,7586
8111,7586
3883,7586
712,7586
7847,7586
3619,7586
1505,7586
7847,7590
3355,7586
4148,7586
3355,7590
6262,7586
8376,7586
8112,7586
977,7586
3884,7586
713,7586
7848,7590
3620,7586
5734,7586
1506,7586
449,7586
5470,7586
1242,7586
3092,7586
8377,7586
6263,7586
7056,7586
978,7586
5999,7586
3885,7586
714,7586
7849,7586
450,7586
450,7590
3357,7586
1243,7586
6264,7586
8378,7586
3093,7586
4150,7586
979,7586
7057,7586
8114,7586
979,7590
715,7586
6793,7586
7850,7586
1508,7586
3358,7586
6265,7586
8379,7586
4151,7586
980,7586
6001,7586
8115,7586
3887,7586
716,7586
5737,7586
7851,7586
3623,7586
452,7586
8380,7586
7587,7586
1245,7590
6266,7586
8116,7586
3095,7586
981,7590
3888,7586
7059,7586
6002,7586
7852,7586
3624,7586
7588,7586
8381,7586
3360,7586
1246,7586
3096,7586
6267,7586
7060,7586
8117,7586
982,7586
6003,7586
3889,7586
718,7586
7853,7586
5739,7586
7589,7586
454,7586
8382,7586
7589,7590
6268,7586
1247,7586
4154,7586
7061,7586
8118,7586
3890,7586
5740,7586
7854,7586
3626,7586
3362,7586
8383,7586
1248,7586
6269,7586
5212,7586
3098,7586
4155,7586
984,7586
8119,7586
6798,7586
7855,7586
3627,7586
456,7586
5477,7586
7591,7586
3363,7586
1249,7586
5213,7586
4156,7586
6270,7586
8384,7586
8120,7586
6270,7590
3892,7586
6006,7586
7856,7586
3628,7586
7592,7586
1250,7586
4157,7586
8385,7586
3100,7586
5214,7586
8121,7586
986,7586
6007,7586
7857,7586
3893,7590
5743,7586
3629,7586
458,7586
7593,7586
1251,7586
8386,7586
987,7586
7065,7586
5215,7590
8122,7586
3894,7586
3894,7590
7858,7586
5480,7586
7594,7586
3366,7586
1252,7586
6273,7586
5216,7586
3102,7586
8387,7586
4159,7586
6009,7586
7066,7586
8123,7586
3895,7586
724,7586
7859,7586
3631,7586
460,7586
7595,7586
8388,7586
5481,7590
1253,7586
4160,7586
8124,7586
3103,7586
3896,7586
7067,7586
6010,7586
7860,7586
7596,7586
3632,7590
6803,7590
3368,7586
8389,7586
5482,7586
1254,7586
3368,7590
4161,7586
3104,7586
6275,7586
5218,7586
7068,7586
8125,7586
990,7586
6011,7586
3897,7586
6804,7586
7861,7586
726,7586
5747,7586
462,7586
7597,7586
8390,7586
5483,7586
3369,7586
6276,7586
1255,7586
3363,7775
3105,7586
4162,7586
991,7586
7069,7586
6012,7586
8126,7586
6805,7586
5748,7586
7862,7586
727,7590
3634,7586
7862,7590
463,7586
7598,7586
3370,7586
8391,7586
1256,7586
6277,7586
4163,7586
992,7586
6013,7586
8127,7586
8127,7590
7863,7586
3635,7586
7599,7586
3371,7586
1257,7586
200,7586
6278,7586
8392,7586
8128,7586
3107,7586
993,7586
3900,7586
7071,7586
7864,7586
729,7586
7600,7586
465,7586
1258,7586
8393,7586
5222,7586
8129,7586
994,7586
5222,7590
6015,7586
3901,7586
730,7586
7865,7586
3637,7586
466,7586
466,7590
7601,7590
5487,7586
3373,7586
202,7586
8394,7586
5223,7586
3109,7586
995,7586
7073,7586
6016,7586
8130,7586
3902,7586
5752,7586
7866,7586
3638,7586
5488,7586
7602,7586
3374,7586
7602,7590
1260,7586
5224,7586
8395,7586
5224,7590
6281,7590
996,7586
6017,7586
7074,7586
8131,7586
732,7586
5753,7586
6810,7586
7867,7586
5489,7586
7603,7586
8396,7586
1261,7586
204,7586
4168,7586
6282,7586
8132,7586
3111,7586
997,7586
3904,7586
6018,7586
733,7586
7868,7590
733,7590
6811,7586
5754,7586
7604,7586
469,7586
7604,7590
3376,7586
8397,7586
5490,7586
4169,7586
5226,7586
8133,7586
998,7586
998,7590
3905,7586
7869,7586
5755,7586
3641,7586
470,7586
7605,7586
8398,7586
5491,7586
3377,7586
6284,7586
1263,7586
206,7586
3113,7586
7077,7586
6020,7586
8134,7586
3906,7586
7870,7586
7606,7586
8399,7586
3378,7586
1264,7586
4171,7586
6021,7586
7078,7586
8135,7586
3907,7586
6814,7586
7871,7586
3643,7586
7871,7590
472,7586
5493,7586
7607,7586
3379,7586
1265,7586
8400,7590
6286,7586
8136,7586
3115,7586
1001,7586
3908,7586
6022,7586
7872,7586
737,7586
7079,7590
3644,7586
7608,7586
473,7586
3380,7586
1266,7586
8401,7586
3116,7586
6287,7586
7080,7586
8137,7586
3116,7590
5230,7590
6023,7586
3909,7586
6816,7586
738,7586
7873,7586
738,7590
5759,7586
3645,7586
7609,7586
3381,7586
1267,7586
210,7586
3381,7590
8402,7586
210,7590
5231,7586
3117,7586
4174,7586
1003,7586
6024,7586
8138,7586
3117,7590
739,7586
6817,7586
7874,7586
475,7586
7610,7586
3382,7586
1268,7586
5232,7586
6289,7586
8403,7586
5232,7590
4175,7586
1004,7586
6025,7586
8139,7586
3911,7586
5761,7586
6818,7586
7875,7586
3647,7586
476,7586
5497,7586
7611,7586
8404,7586
1269,7586
212,7586
5233,7586
4176,7586
6290,7586
8140,7586
3119,7586
1005,7586
3912,7586
6026,7586
7876,7586
6819,7586
5762,7586
7612,7586
8405,7586
3384,7586
1270,7586
4177,7586
6291,7586
7084,7586
8141,7586
6291,7590
3913,7586
742,7586
7877,7586
5763,7586
3649,7586
7613,7586
478,7586
8406,7586
3385,7586
1271,7586
6292,7586
214,7586
5235,7586
1007,7586
6028,7586
8142,7586
3914,7586
743,7586
7878,7586
3650,7586
479,7586
5500,7586
7614,7586
8407,7586
3386,7586
5500,7590
1272,7586
6293,7586
8143,7586
3915,7586
5765,7586
6822,7586
7879,7586
5765,7590
3651,7586
7615,7586
3387,7586
1273,7586
7615,7590
216,7586
5237,7586
4180,7586
6294,7586
8144,7586
5237,7590
4180,7590
1009,7586
7880,7586
745,7586
7616,7586
481,7586
1274,7586
3124,7586
6295,7586
5238,7586
7088,7586
1010,7586
8145,7586
5238,7590
3917,7586
6824,7586
746,7586
7881,7586
5767,7586
7617,7586
6296,7586
5239,7586
4182,7586
6032,7586
7089,7586
5239,7590
8146,7586
3918,7586
747,7586
3918,7590
6825,7586
5768,7586
7882,7586
7618,7586
1276,7586
5240,7586
6297,7586
3126,7586
7090,7586
8147,7586
3919,7586
6826,7586
7883,7586
3655,7586
5505,7586
7619,7586
484,7590
220,7586
5241,7586
4184,7586
6298,7586
8148,7586
3127,7586
1013,7586
3920,7586
6034,7586
7091,7586
7884,7586
749,7586
749,7590
5770,7586
7620,7586
485,7586
485,7590
1278,7586
4185,7586
3128,7586
5242,7586
6299,7586
7092,7586
1014,7586
8149,7586
750,7586
7885,7586
750,7590
5771,7586
3657,7586
7621,7586
5507,7586
3393,7586
1279,7586
6300,7586
222,7586
5243,7586
4186,7586
3129,7586
1015,7586
7093,7586
6036,7586
8150,7586
3922,7586
1015,7590
6829,7586
3658,7586
751,7590
7886,7590
487,7586
5508,7586
7622,7586
3394,7586
223,7586
6301,7586
5244,7586
3130,7586
4187,7586
1016,7586
6037,7586
7094,7586
8151,7586
3923,7586
5773,7586
6830,7586
752,7590
7887,7586
488,7586
5509,7586
7623,7586
1281,7586
4188,7586
1281,7590
8152,7586
1017,7586
1017,7590
6038,7586
7888,7586
753,7586
6038,7590
3660,7586
6831,7586
7624,7586
5510,7586
225,7586
4189,7586
1282,7590
225,7590
3132,7586
6303,7586
5246,7586
8153,7586
1018,7586
6039,7586
3925,7586
7889,7586
5775,7586
3661,7586
7625,7586
490,7586
3661,7590
5511,7586
1283,7586
6304,7586
3133,7586
8154,7586
3926,7586
6833,7586
7890,7586
3662,7586
3662,7590
7626,7586
3398,7586
1284,7586
227,7586
6305,7586
5248,7590
4191,7586
6041,7586
4191,7590
8155,7586
756,7586
6834,7586
7891,7586
3663,7586
492,7586
7627,7586
1285,7586
5249,7586
3399,7590
6306,7586
8156,7586
1021,7590
3928,7586
6042,7586
7892,7586
757,7586
3664,7586
7628,7586
5514,7586
1286,7586
229,7586
4193,7586
6307,7586
8157,7586
1022,7586
6836,7586
7893,7586
6043,7590
7629,7586
494,7586
5498,8113
3401,7586
4194,7586
8158,7586
6837,7586
7894,7586
495,7586
7630,7586
1288,7586
4195,7586
1024,7586
8159,7586
760,7586
5781,7586
6838,7586
7895,7586
5517,7586
7631,7586
3403,7586
1289,7586
6310,7586
8160,7586
1025,7586
3932,7586
6046,7586
7896,7586
5782,7586
7632,7586
497,7590
1290,7586
233,7586
4197,7586
3140,7586
6311,7586
8161,7586
3933,7586
6840,7586
7897,7586
762,7586
6047,7590
762,7590
5783,7586
3669,7586
7633,7586
6312,7586
1291,7586
5255,7586
4198,7586
1027,7586
6048,7586
8162,7586
5784,7586
6841,7586
7898,7586
7634,7586
1292,7586
235,7586
6313,7586
5256,7586
3142,7586
4199,7586
1028,7586
6049,7586
8163,7586
6049,7590
3935,7586
764,7586
7899,7586
3671,7586
500,7586
7635,7586
3407,7586
5257,7586
6314,7586
8164,7586
1029,7586
3936,7586
7900,7586
7894,7775
5786,7586
7636,7586
5522,7586
4201,7586
237,7590
6315,7586
5258,7586
8165,7586
1030,7590
3937,7586
766,7586
7901,7586
5787,7586
502,7586
7637,7586
1295,7586
5259,7586
4202,7586
3145,7586
8166,7586
3145,7590
3938,7586
767,7586
7902,7586
3674,7586
3674,7590
503,7586
7638,7586
1296,7586
239,7586
6317,7586
5260,7586
3146,7586
4203,7586
1032,7586
8167,7586
3939,7586
5789,7586
6846,7586
7903,7586
768,7590
3675,7586
5525,7586
7639,7586
3411,7586
6318,7586
8168,7586
3940,7586
6054,7586
7904,7586
769,7586
3676,7586
6847,7586
7640,7586
505,7586
3412,7586
241,7586
4205,7586
3148,7586
5262,7586
6319,7586
4205,7590
1034,7586
8169,7586
6319,7590
6055,7586
3941,7586
6848,7586
770,7586
7905,7586
5791,7586
7641,7586
1299,7586
5263,7586
4206,7586
3149,7586
1035,7586
8170,7586
771,7586
6849,7586
7906,7586
507,7586
5528,7586
7642,7586
3414,7586
1300,7586
243,7586
6321,7586
3150,7586
5264,7590
4207,7586
1036,7586
6057,7586
8171,7586
1036,7590
3943,7586
5793,7586
7907,7586
3679,7586
6850,7590
508,7586
7643,7586
1301,7586
5265,7586
4208,7586
8172,7586
3151,7586
6058,7586
7908,7586
773,7586
3680,7586
5794,7586
6851,7586
7644,7586
509,7586
3416,7586
245,7586
3152,7586
245,7590
6323,7586
8173,7586
1038,7586
3152,7590
774,7586
7909,7586
7645,7586
510,7590
5531,7586
3417,7586
1303,7586
5531,7590
6324,7590
5267,7586
3153,7586
1039,7586
6060,7586
8174,7586
3946,7586
5796,7586
7910,7586
3682,7586
511,7586
7646,7586
3418,7586
1304,7586
247,7586
5268,7586
6325,7586
3154,7586
4211,7586
6061,7586
8175,7586
776,7586
7911,7586
5797,7590
512,7586
7647,7586
3419,7586
1305,7586
4212,7586
6326,7586
5269,7590
8176,7586
3155,7586
1041,7586
3948,7586
6062,7586
7912,7586
777,7586
5798,7586
7648,7586
3420,7586
5534,7586
1306,7586
249,7586
4213,7586
3156,7586
5270,7586
6327,7586
8177,7586
1042,7586
6063,7586
6856,7586
778,7586
7913,7586
6063,7590
5799,7586
3685,7586
514,7586
7649,7586
7649,7590
5535,7586
3421,7586
6328,7586
1307,7586
3157,7586
1043,7586
6064,7586
8178,7586
3950,7586
5800,7586
7914,7586
3686,7586
515,7586
7650,7590
6329,7586
5272,7586
4215,7586
1044,7586
8179,7586
780,7586
7915,7586
3687,7586
6858,7590
516,7586
7651,7586
5537,7590
3159,7586
1045,7586
8180,7590
7916,7586
3952,7590
781,7586
3688,7586
6859,7586
7652,7586
