sport_1,sport_2
140,7122
6655,1769
141,7097
140,7128
141,7099
141,7101
141,7104
140,7135
140,7137
4510,2737
141,7107
141,7110
141,7112
140,7144
140,7145
141,7115
141,7119
140,7151
141,7122
12,2931
141,7126
7147,2931
141,7128
140,7161
142,7099
140,7162
4511,2737
140,7165
140,7166
141,7135
141,7136
141,7137
50,1769
142,7110
140,7172
51,1739
140,7173
141,7144
141,7145
141,7148
141,7149
140,7180
142,7119
141,7151
140,7184
13355,7117
141,7154
142,7124
141,7156
141,7161
141,7162
141,7163
51,1761
4512,2737
141,7165
141,7166
142,7136
141,7168
141,7170
51,1769
141,7171
52,1739
141,7172
141,7173
141,7174
142,7144
141,7175
142,7145
7155,2737
141,7178
141,7180
142,7149
142,7151
5041,2737
141,7184
141,7185
141,7186
141,7187
141,7188
142,7161
142,7162
142,7165
142,7171
142,7173
142,7180
143,7151
5042,2737
13134,14034
7150,2931
4778,2737
143,7165
51,1825
4514,2737
13264,1825
54,1739
143,7173
12829,7117
143,7180
144,7151
4779,2737
4515,2737
144,7165
12443,2737
144,7172
144,7180
13400,14034
145,7151
7152,2931
145,7165
12444,2737
145,7173
147,7112
13004,1769
5045,2737
147,7124
54,1825
57,1739
14187,14269
147,7144
147,7151
5046,2737
4782,2737
149,7099
147,7162
148,7135
147,7172
58,1739
149,7112
26,2737
5047,2737
149,7119
148,7151
149,7122
149,7124
4783,2737
7155,2931
149,7128
4519,2737
148,7165
7690,2737
149,7137
149,7144
149,7149
149,7151
12741,1825
149,7154
4784,2737
149,7162
149,7165
149,7166
60,1739
149,7173
28,2737
149,7178
14190,14269
149,7180
4521,2737
61,1739
8479,2931
7164,2737
13007,1825
151,7151
23,2931
151,7165
62,1739
30,2737
5051,2737
151,7180
8222,2737
152,7151
4787,2737
7159,2931
154,7097
152,7165
154,7107
7959,2737
4788,2737
155,7101
4524,2737
12880,14034
12452,2737
155,7110
12309,7165
155,7117
155,7119
154,7151
5053,2737
155,7122
12748,1769
6671,1739
154,7165
4525,2737
154,7173
14195,14269
1254,14034
154,7175
13246,2737
156,7124
4790,2737
6672,1739
4526,2737
66,1739
13278,1769
156,7144
5055,2737
156,7151
4791,2737
156,7162
4527,2737
156,7165
67,1739
13279,1769
12455,2737
156,7180
7728,1825
157,7151
7164,2931
4528,2737
157,7165
157,7166
157,7173
157,7180
158,7151
5057,2737
157,7186
4793,2737
14199,14269
159,7137
4529,2737
159,7144
37,2737
159,7151
4794,2737
161,7099
6676,1739
6644,2737
159,7165
6767,7119
159,7173
161,7112
161,7113
160,7144
5059,2737
161,7119
160,7151
161,7124
4795,2737
4531,2737
160,7165
71,1739
161,7144
6767,7165
161,7151
6767,7171
5753,14034
161,7162
4532,2737
161,7165
161,7171
161,7173
161,7175
161,7180
162,7151
7169,2931
6679,1739
12754,1825
4797,2737
162,7162
162,7165
162,7166
73,1739
162,7180
163,7149
163,7151
6679,1769
164,7124
4798,2737
164,7144
12756,1825
5063,2737
164,7151
163,7186
6681,1739
36,2931
164,7165
164,7166
75,1739
164,7173
164,7186
4800,2737
13550,1825
7172,2931
4536,2737
166,7135
75,1769
76,1739
6644,2931
7179,2737
14206,14269
165,7180
166,7151
5065,2737
13024,1769
12893,14034
166,7162
13551,1825
166,7165
4537,2737
77,1739
167,7151
166,7188
167,7165
167,7166
14208,14269
4538,2737
78,1739
5067,2737
167,7180
168,7151
4803,2737
170,7095
170,7097
170,7099
170,7101
4539,2737
11938,2737
168,7165
170,7104
170,7107
170,7110
79,1739
6647,2931
170,7112
8270,1769
170,7113
169,7144
170,7115
5068,2737
170,7119
169,7151
170,7122
170,7124
6686,1739
170,7126
13160,14034
170,7128
7100,13486
171,7099
169,7162
576,2737
4540,2737
169,7165
171,7104
170,7135
170,7136
7100,13487
170,7137
14210,14269
170,7140
171,7110
80,1739
171,7112
170,7144
170,7145
170,7148
169,7180
170,7149
13425,14034
171,7119
170,7151
5069,2737
171,7122
170,7154
171,7124
170,7156
4805,2737
170,7161
172,7099
170,7162
170,7165
170,7166
171,7135
170,7167
170,7168
171,7137
4541,2737
170,7170
170,7172
170,7173
170,7174
170,7175
171,7145
170,7176
170,7180
171,7151
170,7182
170,7184
171,7154
170,7186
170,7187
4806,2737
171,7161
171,7162
171,7165
12857,7117
171,7166
171,7172
171,7173
14212,14269
171,7178
171,7180
172,7151
171,7184
7179,2931
172,7165
83,1739
172,7173
51,2737
172,7180
45,2931
4808,2737
12900,14034
13123,7117
4544,2737
8244,2737
14214,14269
13559,1825
14215,14269
175,7137
84,1769
176,7110
176,7119
175,7151
4810,2737
177,7099
175,7162
175,7165
177,7104
14216,14269
176,7137
8369,7110
177,7110
175,7175
176,7144
54,2737
176,7148
177,7119
176,7151
177,7124
7183,2931
7982,2737
176,7162
176,7165
176,7166
13561,1825
177,7137
87,1739
6655,2931
177,7144
176,7175
177,7145
176,7180
177,7149
177,7151
14184,7117
177,7154
178,7124
177,7156
178,7126
176,7188
179,7097
178,7128
177,7161
177,7162
177,7165
179,7104
177,7166
178,7137
177,7171
88,1739
177,7173
179,7112
177,7174
178,7144
177,7175
178,7145
177,7180
179,7119
179,7122
14185,7117
178,7162
178,7166
179,7135
178,7174
179,7145
57,2737
179,7149
178,7180
179,7151
179,7154
51,2931
12773,1769
179,7161
179,7162
179,7165
179,7168
4550,2737
90,1739
179,7175
181,7113
12772,1825
179,7180
181,7119
179,7184
179,7186
52,2931
4551,2737
7111,13487
90,1769
181,7151
181,7165
181,7166
92,1739
181,7173
181,7180
182,7151
54,2931
14189,7117
4553,2737
92,1769
183,7144
61,2737
183,7151
13041,1769
183,7162
183,7165
183,7166
183,7173
183,7180
4819,2737
186,7099
186,7104
95,1739
186,7112
13399,7117
186,7119
185,7151
14192,7117
13012,2737
186,7124
186,7128
185,7165
12912,14034
187,7104
186,7135
186,7137
186,7144
186,7145
186,7149
186,7151
186,7154
4821,2737
186,7161
186,7162
186,7165
186,7166
4557,2737
186,7171
186,7172
186,7173
186,7174
186,7175
186,7178
186,7180
187,7151
186,7184
4822,2737
6704,1739
187,7162
187,7165
4558,2737
98,1739
188,7151
4823,2737
13138,7117
190,7099
4559,2737
188,7165
188,7166
99,1739
190,7112
13311,1769
188,7180
190,7119
190,7122
61,2931
190,7128
14196,7117
190,7137
190,7144
190,7145
190,7149
190,7151
190,7156
190,7161
190,7162
190,7163
190,7165
190,7166
4561,2737
190,7172
13438,14270
190,7173
190,7174
190,7178
190,7180
190,7186
7764,1769
4826,2737
6676,2737
13312,1825
192,7151
192,7162
4563,2737
13548,2737
103,1739
14200,7117
12787,1769
4564,2737
13549,2737
104,1739
11030,7104
4565,2737
105,1739
11965,2737
14202,7117
8001,2737
13145,7117
11030,7151
196,7144
197,7119
196,7151
4831,2737
14203,7117
4567,2737
6681,2737
198,7104
107,1739
197,7144
13552,2737
75,2737
196,7180
197,7151
9974,7165
197,7165
197,7166
108,1739
197,7180
198,7151
12790,1825
4833,2737
12792,1769
198,7162
4569,2737
108,1769
109,1739
13554,2737
198,7180
13057,1769
4570,2737
110,1739
78,2737
14207,7117
6717,1739
4571,2737
111,1739
12886,7117
13192,14034
4572,2737
8303,1769
112,1739
110,1825
7603,7110
12237,2737
75,2931
114,1739
4839,2737
14211,7117
4575,2737
116,1739
6684,2931
8276,2737
117,1739
13198,14034
4578,2737
117,1769
118,1739
6725,1739
4843,2737
13158,7117
7750,2737
5272,14034
87,2737
4844,2737
117,1825
14217,7117
7916,14034
4845,2737
121,1739
4846,2737
122,1739
4847,2737
7654,14034
123,1739
13427,7117
4848,2737
12899,7117
13070,1825
92,2737
8405,7185
1049,14034
7920,14034
4849,2737
8021,2737
4586,2737
126,1739
12,13486
12,13487
126,1769
127,1739
95,2737
89,2931
4852,2737
6734,1739
13,13486
4588,2737
127,1769
128,1739
8288,2737
90,2931
4853,2737
12904,7117
14,13486
14,13487
4854,2737
4590,2737
92,2931
4855,2737
131,1739
8291,2737
8191,14034
14136,1769
13171,7117
17,13486
17,13487
6700,2931
13436,7117
8060,1769
95,2931
4858,2737
4594,2737
7096,7095
134,1739
7096,7113
4859,2737
20,13486
7155,13487
135,1739
4331,2737
7096,7135
5817,14034
12952,14034
135,1769
136,1739
7098,7104
7098,7112
7098,7124
7098,7136
12261,2737
13441,7117
13482,14034
7098,7145
7098,7151
23,13486
23,13487
7100,7097
4598,2737
6215,1769
7100,7099
7100,7104
7098,7165
7100,7110
7098,7171
7100,7112
6744,1769
7100,7122
7100,7119
7100,7124
7100,7128
7100,7137
7100,7136
7100,7145
7100,7144
4864,2737
7100,7149
7100,7154
7771,2737
7100,7151
4600,2737
7102,7095
7100,7156
8329,1825
7100,7162
7100,7161
140,1739
7100,7166
7100,7165
7100,7163
7102,7101
7102,7107
8300,2737
108,2737
7100,7168
7100,7174
7100,7173
7100,7172
7100,7171
7100,7178
7102,7115
7102,7113
7100,7175
7100,7180
7102,7117
7100,7186
7100,7184
7100,7188
7102,7126
537,14034
4601,2737
7103,7099
141,1739
7102,7135
4337,2737
7102,7140
109,2737
13087,1825
7103,7113
7103,7112
7102,7148
13089,1769
7773,2737
7103,7128
4602,2737
141,1769
142,1739
7102,7167
4338,2737
110,2737
7102,7170
13354,1769
7102,7176
104,2931
12824,1825
7102,7182
7102,7187
14273,14269
142,1769
7103,7165
143,1739
7103,7163
7105,7110
4868,2737
4604,2737
7106,7095
144,1739
7106,7101
6636,13486
112,2737
106,2931
7105,7151
7105,7154
145,1739
7106,7135
4341,2737
3184,14034
673,1769
4870,2737
7108,7095
108,2931
4871,2737
4607,2737
147,1739
4343,2737
7109,7104
7108,7135
109,2931
7109,7119
7108,7148
7109,7122
4608,2737
148,1739
7109,7136
7109,7145
7109,7151
4873,2737
34,13487
7111,7099
149,1739
7111,7104
7109,7165
117,2737
7111,7112
7111,7110
7111,7119
4874,2737
7111,7124
5831,14034
7111,7122
7111,7128
4610,2737
12702,14034
7111,7137
7111,7136
4346,2737
118,2737
6642,13487
6642,13486
7111,7145
7111,7144
7111,7149
4875,2737
7111,7151
36,13486
36,13487
7111,7156
4611,2737
7111,7161
7111,7165
7111,7163
7111,7162
7111,7168
13099,1769
7111,7166
7111,7172
6643,13487
6643,13486
12835,1769
7111,7174
4876,2737
7111,7180
7111,7178
7111,7184
37,13486
1472,1769
4612,2737
7114,7095
7111,7188
7111,7186
7114,7101
6644,13486
8048,2737
4877,2737
38,13486
4613,2737
7114,7135
6645,13486
4878,2737
7116,7095
7116,7101
6231,1769
154,1739
4350,2737
7116,7107
7116,7113
7116,7117
4879,2737
13194,7117
7116,7115
40,13487
7116,7126
4615,2737
7116,7135
6647,13487
7116,7140
6647,13486
117,2931
4880,2737
7116,7148
4616,2737
6231,1825
4352,2737
7116,7170
13368,1769
7116,7167
118,2931
7116,7176
7116,7182
4881,2737
7118,7122
7688,14034
7116,7187
157,1739
4353,2737
13369,1769
7118,7151
12810,2737
7120,7099
7118,7165
12669,7117
7120,7122
44,13486
7179,13487
7179,13486
159,1739
127,2737
8219,14034
7120,7151
4620,2737
7650,7110
7120,7162
7121,7128
7121,7137
13106,1825
7121,7144
7121,7151
7121,7163
161,1739
7123,7104
7123,7119
4886,2737
47,13486
7123,7136
4358,2737
13901,1825
7123,7145
12846,1769
7123,7151
4623,2737
11922,14034
7123,7165
4359,2737
13902,1825
7125,7122
164,1739
4360,2737
132,2737
126,2931
7125,7151
4889,2737
50,13486
7127,7095
7127,7101
7125,7162
164,1769
165,1739
7127,7107
7127,7113
7127,7117
127,2931
7125,7177
7961,14034
51,13486
51,13487
7127,7126
166,1739
7127,7135
7127,7140
12413,7110
7127,7148
52,13486
7129,7099
7129,7097
167,1739
7127,7167
135,2737
7129,7104
7127,7176
7129,7112
7129,7119
4892,2737
7129,7122
7127,7182
7129,7128
168,1739
13907,1825
7129,7136
8064,2737
7129,7145
7129,7144
7129,7151
54,13486
54,13487
7130,7122
7129,7161
169,1739
7129,7166
7129,7165
4365,2737
7129,7171
13908,1825
7129,7168
7131,7112
7129,7172
7129,7178
7130,7151
4894,2737
7129,7186
7131,7122
7131,7128
4630,2737
7129,7188
7132,7095
7132,7101
170,1739
7130,7161
4366,2737
132,2931
4895,2737
13210,7117
7131,7151
56,13486
170,1769
171,1739
7131,7163
7132,7135
7134,7095
172,1739
4368,2737
7134,7107
140,2737
1585,7099
7134,7113
7134,7117
4897,2737
1585,7112
7134,7126
4633,2737
1585,7119
7134,7135
1585,7122
7134,7140
141,2737
1585,7126
7134,7148
135,2931
14268,7185
1585,7137
4898,2737
59,13486
59,13487
13213,7117
1585,7145
12726,14034
1585,7151
7134,7167
4370,2737
7134,7170
7134,7176
1585,7161
1585,7162
1585,7165
4899,2737
1585,7166
7134,7182
60,13486
60,13487
1585,7172
7134,7187
4635,2737
1585,7175
1585,7180
175,1739
4371,2737
7838,1769
61,13486
61,13487
176,1739
7138,7104
6668,13486
7138,7119
7138,7122
7138,7128
14271,7185
177,1739
5594,14034
7138,7136
3,7136
4373,2737
