award_nominee_1,award_nominee_2
6534,1106
6447,3802
6523,1446
6399,5290
6385,5731
6439,4056
6445,3870
6445,3868
6455,3565
2241,3125
216,364
6374,6075
6455,3564
6431,4308
6378,5950
6435,4183
208,614
6385,5739
221,212
6470,3102
6394,5457
6454,3597
6390,5588
6437,4131
6374,6083
6455,3572
6452,3664
6453,3632
6385,5740
6440,4035
6553,539
6399,5312
6378,5963
221,222
2169,5370
6454,3611
221,225
2205,4258
6432,4298
6437,4142
6555,484
6530,1258
6468,3180
6439,4078
200,883
6376,6038
6525,1416
6369,6252
4266,5915
6385,5763
6465,3283
2316,827
4232,6967
6525,1427
6455,3595
6445,3904
6373,6136
6465,3284
6530,1269
6530,1275
6440,4065
6456,3569
6370,6235
6399,5336
219,307
6455,3599
6439,4095
6530,1274
6523,1491
6391,5582
6376,6047
6553,560
6462,3387
6468,3200
6374,6114
6468,3199
6530,1277
6465,3292
209,623
6523,1501
2084,8036
6368,6305
6397,5405
2149,6023
6373,6148
222,225
6368,6310
6548,730
6400,5318
6379,5969
4321,4231
6398,5379
6455,3612
6435,4231
6433,4292
4326,4079
6528,1354
6529,1322
6470,3151
6545,824
6553,576
4233,6967
6530,1295
6454,3651
6530,1293
6373,6167
2211,4115
6399,5359
6530,1298
6548,739
6456,3596
6465,3317
207,709
6441,4067
6387,5740
6530,1306
6394,5521
6530,1305
2238,3290
6369,6301
6378,6022
6376,6083
6441,4068
4319,4320
6439,4137
6559,416
6446,3919
6452,3732
6380,5969
2332,386
6385,5812
6374,6160
6530,1323
6439,4144
6465,3337
6530,1322
223,233
6404,5233
6444,3993
6455,3651
6439,4146
6553,612
6404,5237
6390,5671
6387,5763
6543,926
219,367
6385,5829
6404,5240
6465,3348
6473,3107
6445,3975
6376,6114
209,680
6548,781
2237,3351
6404,5243
6458,3576
6456,3637
6529,1374
6455,3667
6461,3481
6530,1342
6548,783
6460,3511
6462,3456
6553,634
4320,4319
224,225
6468,3267
6385,5840
6453,3732
6385,5847
6458,3584
6530,1351
6453,3738
6473,3118
6373,6217
6381,5969
6458,3588
6532,1294
6458,3587
6462,3463
6529,1391
6534,1235
6400,5388
6386,5822
6530,1357
6468,3279
6379,6038
2076,8361
6439,4184
6458,3594
6465,3377
6404,5268
6465,3376
6446,3965
6455,3693
6529,1399
212,618
6529,1403
6373,6239
6444,4038
6446,3975
224,249
6448,3917
6394,5591
225,222
6388,5782
6444,4046
6463,3456
2212,4163
6404,5284
6530,1377
6548,826
6388,5786
6373,6250
2301,1411
6530,1381
6553,668
6373,6248
6440,4178
6465,3402
200,1009
6465,3401
6456,3680
6455,3711
6376,6160
6398,5477
6563,369
6462,3499
6444,4056
6460,3560
6440,4179
6373,6256
2146,6223
6388,5797
6563,371
6530,1394
6530,1393
212,647
6440,4190
6373,6266
2174,5361
6388,5799
6380,6047
6385,5899
225,249
6407,5216
6467,3355
6379,6083
6385,5897
2179,5215
2230,3634
6385,5902
6455,3732
6385,5901
6373,6273
6530,1406
6465,3421
6407,5218
6530,1405
6458,3637
2230,3635
6439,4233
6468,3333
6439,4232
6373,6277
219,444
6462,3517
6404,5315
6553,696
6528,1478
6377,6159
6385,5910
6553,702
6387,5847
215,572
6530,1420
6381,6038
6459,3619
6537,1201
6535,1269
6476,3098
6373,6290
6379,6104
6553,710
6445,4057
6548,863
6381,6047
6550,808
6467,3380
6376,6200
6548,868
6458,3657
6398,5521
6455,3754
6530,1429
6380,6083
6404,5339
6446,4037
6379,6114
6465,3455
6553,726
6388,5841
6439,4260
6385,5939
6566,328
6377,6187
6553,730
6388,5845
221,414
6530,1441
6458,3680
6383,6004
2123,6990
6453,3833
6465,3461
6530,1446
6553,732
6465,3460
6394,5661
6533,1358
6553,738
6530,1451
6403,5388
2322,825
2310,1200
6530,1449
6407,5262
6458,3681
6530,1456
6462,3564
6456,3748
6380,6104
6439,4275
6400,5483
6396,5614
2312,1144
6394,5675
6388,5866
6385,5958
6530,1461
6387,5901
6396,5622
6356,6861
6530,1466
6439,4286
6398,5563
6408,5253
6462,3578
6407,5282
4324,4325
222,414
6387,5907
6465,3488
6530,1473
6379,6160
209,821
215,635
6468,3400
6465,3492
6530,1477
6407,5290
2212,4267
6530,1482
6439,4303
6439,4302
6376,6255
6465,3501
6548,927
6381,6104
2338,367
6388,5894
6555,716
6441,4249
6393,5736
6462,3597
6390,5829
6553,783
6530,1496
6385,5990
6381,6114
6440,4285
6444,4161
2084,8247
6473,3260
6465,3515
6439,4320
6548,944
6474,3238
6530,1501
6465,3516
6473,3275
6477,3151
6374,6344
6455,3833
6398,5599
6390,5847
4325,4324
6455,3831
6473,3272
6378,6223
6385,6006
4292,5351
6439,4330
6407,5327
6452,3932
4327,4271
6374,6356
6548,961
6379,6200
6375,6322
6385,6012
2178,5359
6455,3849
2235,3595
6450,4002
6379,6202
209,868
221,497
6396,5679
6553,812
6546,1034
6385,6025
6396,5684
6451,3978
6462,3643
6385,6028
6573,200
2335,510
223,451
6462,3651
6385,6038
6404,5447
6381,6160
6559,642
6451,3997
6465,3562
6407,5359
6455,3870
6393,5798
6465,3570
6455,3880
6468,3476
6407,5367
6465,3569
6399,5614
6468,3475
222,497
6384,6086
6390,5899
6404,5464
6385,6057
6388,5964
6388,5963
6465,3576
2178,5405
225,414
6412,5224
6396,5719
6453,3952
6473,3338
2081,8416
6385,6064
6400,5599
6465,3591
6553,862
6385,6070
6358,6906
6379,6255
6404,5486
6573,247
6387,6012
6407,5391
6407,5390
6455,3902
6412,5241
6453,3969
6481,3101
4245,6881
6381,6200
6385,6076
6481,3100
6553,875
6379,6268
6468,3509
6481,3105
6468,3508
6553,873
6404,5491
6481,3104
6387,6018
6545,1127
6458,3822
6465,3604
6411,5284
6477,3238
6386,6058
6456,3894
6389,5969
6553,891
6386,6068
6404,5508
2244,3398
6548,1043
6412,5265
6408,5388
6387,6038
6380,6255
6477,3255
6412,5269
6477,3254
6548,1051
6573,276
6379,6290
6444,4275
2125,7094
6481,3135
4246,6881
6452,4032
6404,5525
6454,3975
6481,3136
217,715
2335,592
6387,6057
6465,3639
6481,3143
2244,3415
6453,4009
6534,1498
233,223
6387,6054
6412,5279
6404,5534
6456,3921
6385,6122
6411,5315
6383,6183
6381,6244
6378,6337
6398,5717
6481,3144
6380,6282
208,1004
6387,6064
2315,1225
6404,5535
6381,6255
6473,3403
6481,3154
212,885
6412,5291
6407,5446
6555,865
221,608
4246,6905
6385,6133
6412,5296
6565,553
6414,5233
6379,6325
6481,3163
6455,3969
2179,5451
221,612
223,551
6481,3162
6385,6136
6414,5237
6476,3322
6385,6142
6389,6017
6407,5465
6379,6332
6412,5308
6455,3975
6407,5463
6455,3974
6381,6268
2105,7754
6465,3669
6465,3668
6412,5318
6386,6123
6457,3921
221,631
6465,3677
6468,3590
208,1040
2084,8419
6404,5572
234,235
6385,6167
6414,5268
215,826
6546,1174
4270,6194
222,612
2311,1388
6387,6109
6389,6047
6399,5736
6481,3194
6380,6325
2255,3129
6412,5331
2088,8305
6548,1122
6387,6111
6410,5404
6385,6179
6455,4009
6470,3541
6573,348
6481,3211
6461,3831
6455,4016
6451,4140
6481,3210
6455,4015
6484,3115
6465,3709
6385,6188
6548,1135
6573,367
221,668
6473,3466
6465,3714
6485,3093
6468,3620
6468,3626
6412,5362
6398,5794
6555,926
6454,4057
6412,5359
2170,5794
6381,6325
6473,3473
2187,5269
6404,5611
6398,5797
6473,3479
6458,3944
6458,3943
6398,5802
6385,6205
6470,3576
6481,3235
223,623
2223,4161
6454,4069
6381,6332
6468,3642
6553,1007
2255,3171
6573,386
6414,5315
6410,5438
6465,3733
6553,1004
6481,3236
6394,5940
6450,4203
6450,4202
6385,6216
6412,5379
6549,1138
6467,3679
6465,3741
6453,4112
6565,640
6385,6220
6455,4057
6484,3157
6485,3125
6465,3745
6407,5543
6411,5418
6404,5642
6485,3131
6385,6229
6455,4058
6575,338
6565,655
6407,5553
6390,6080
6481,3258
6458,3970
6399,5798
6456,4038
6548,1186
6481,3262
6465,3758
224,620
2244,3538
6465,3763
6573,414
209,1089
2255,3198
6451,4195
6485,3141
6394,5968
6481,3270
6484,3177
234,318
6473,3517
6411,5438
6553,1043
6385,6250
6407,5568
6476,3428
6455,4079
6417,5256
6407,5573
6448,4301
221,730
6397,5880
6548,1199
6553,1051
6464,3809
6548,1205
6487,3095
221,734
6553,1048
6404,5667
6558,893
225,612
6398,5860
6468,3690
6553,1054
2088,8395
6404,5672
6412,5430
6410,5491
2132,7035
223,680
200,1393
221,742
2170,5860
6455,4094
225,620
6555,1001
6485,3171
6455,4101
6388,6176
6398,5866
6410,5493
6475,3478
6553,1060
234,344
6455,4105
6481,3299
6396,5933
6481,3298
212,1030
6573,444
6485,3172
6470,3637
235,318
6404,5690
6465,3799
227,567
224,660
6465,3797
6553,1069
6385,6277
6484,3207
6399,5847
6487,3119
2098,8108
6573,452
6457,4048
2314,1411
6411,5481
2259,3119
222,730
6559,892
6412,5449
6468,3713
6548,1233
6455,4115
6453,4183
222,734
6481,3314
6481,3313
6563,771
238,239
6368,6815
6573,460
6461,3932
6548,1235
217,891
6455,4124
6411,5487
6484,3224
6397,5920
6485,3192
6394,6013
6411,5493
222,742
6573,470
6476,3477
6465,3818
6410,5522
6398,5894
6411,5491
6470,3661
6548,1243
221,775
6453,4195
6411,5497
235,344
6484,3232
6473,3572
4300,5405
6487,3145
2167,5991
6410,5531
6458,4042
6573,476
6393,6063
6481,3335
6474,3552
6410,5535
6462,3923
6396,5969
6458,4046
6470,3674
6375,6618
6316,8447
6470,3680
6400,5850
6410,5540
6368,6842
6470,3679
200,1441
6404,5724
6412,5482
6386,6287
6414,5418
6470,3681
6553,1115
6465,3843
234,393
6465,3840
6483,3289
6455,4157
6400,5860
6385,6325
6411,5525
6553,1122
6542,1463
222,775
6553,1120
6407,5646
6399,5899
238,283
6473,3611
6480,3394
6488,3145
6573,510
6468,3765
212,1093
6414,5438
6398,5940
6563,825
6452,4265
6563,824
6404,5752
6411,5535
6463,3922
6414,5447
235,393
6573,520
6477,3496
6403,5796
6578,371
6573,526
6455,4183
6468,3780
240,241
6394,6080
6481,3383
6553,1150
6460,4033
2257,3255
6573,528
2257,3254
6462,3975
6462,3974
2137,6978
6398,5964
6491,3081
6362,7080
239,283
6452,4289
6412,5528
6550,1250
2190,5340
2238,3852
2238,3851
6398,5968
2109,7855
6453,4266
2253,3392
6368,6900
6481,3397
6453,4265
6477,3521
209,1222
6421,5256
2336,821
6397,6007
6473,3651
6396,6038
6404,5789
6452,4301
225,730
6491,3091
6559,982
6483,3338
6548,1329
6485,3282
225,734
6476,3560
6387,6318
6475,3597
6404,5797
6548,1333
6414,5486
6485,3291
6414,5491
6485,3290
225,742
6485,3289
2178,5736
6396,6047
6468,3815
6455,4224
6398,5991
6573,565
6453,4284
6338,7855
6368,6924
6404,5808
6474,3637
6368,6923
6484,3327
2170,5991
2237,3916
6455,4231
6465,3926
6485,3306
6485,3305
223,821
6458,4146
6548,1361
6553,1205
6455,4249
6553,1211
6368,6945
6578,435
242,243
6465,3943
209,1269
2336,870
225,775
6455,4250
6465,3940
6573,592
2144,6821
6421,5311
6487,3264
6396,6083
6414,5525
221,904
2262,3172
6418,5405
2262,3171
6400,5969
6475,3643
6414,5534
6468,3860
6474,3674
6491,3153
6368,6966
6474,3680
6414,5540
6545,1478
6548,1384
2093,8419
6546,1445
6455,4266
6412,5599
6403,5885
6410,5667
6423,5264
6475,3651
6368,6967
2190,5415
6368,6973
6573,617
6396,6104
6488,3251
6462,4057
6407,5768
234,523
6477,3596
6407,5773
6394,6176
221,928
6555,1183
6549,1368
6473,3724
6481,3482
6487,3296
6499,2924
6374,6798
222,904
6573,635
6573,634
6573,633
6468,3887
238,413
6368,6993
6425,5226
6368,6991
6414,5572
6374,6811
6484,3401
6470,3833
6389,6344
6573,646
6374,6815
6374,6814
6397,6100
6411,5672
6555,1208
6455,4308
6468,3905
6455,4307
2230,4212
6491,3190
6555,1206
4292,5829
6426,5212
6573,655
235,523
6488,3289
6408,5768
6374,6822
244,245
222,928
6414,5581
6411,5681
6426,5215
6575,596
2187,5553
6404,5895
6559,1090
6462,4103
6420,5405
6375,6800
6465,4010
6485,3389
6477,3637
6375,6799
6485,3388
6426,5224
6559,1100
6413,5626
2255,3450
6426,5222
239,413
2096,8384
6399,6063
6561,1041
2248,3674
6553,1288
6455,4326
6488,3303
2248,3673
6481,3526
2105,8108
6396,6160
6465,4020
6396,6159
6426,5236
6426,5235
6481,3529
6456,4303
6481,3535
6573,683
211,1294
6573,682
6414,5611
6425,5269
2247,3716
221,988
6465,4034
2346,649
6404,5924
6485,3413
6487,3351
6426,5241
6426,5248
6549,1435
6458,4255
6485,3417
6485,3416
6340,7911
6488,3330
6484,3453
2342,781
4301,5588
6412,5684
6374,6861
6424,5311
6368,7047
6375,6830
6477,3674
6398,6123
6368,7053
6478,3643
6426,5253
6488,3338
6411,5724
6468,3957
6467,3993
6480,3590
6465,4054
6462,4147
6468,3959
6477,3680
6487,3370
2323,1384
6487,3377
6404,5950
2246,3774
6548,1485
6553,1329
6476,3716
6397,6171
6414,5642
6549,1457
6426,5270
222,988
6553,1339
6425,5306
2259,3378
6468,3971
6397,6172
6461,4195
2193,5429
6468,3977
6491,3263
6411,5743
6426,5284
6422,5405
6476,3738
6573,730
6425,5317
6374,6897
6372,6959
6426,5285
212,1315
6376,6842
6426,5290
6570,825
2190,5535
6575,676
6414,5667
6458,4303
6423,5388
6458,4302
6414,5672
6426,5300
2259,3403
6426,5297
6404,5979
6372,6978
6549,1491
6553,1367
2247,3780
225,928
6470,3944
6573,751
6487,3416
6426,5307
6425,5338
6462,4191
238,527
6372,6979
6465,4096
6470,3941
6426,5312
6372,6986
6413,5714
6374,6923
219,1120
6467,4038
6550,1465
6498,3084
6465,4107
6413,5719
6372,6990
6553,1378
6426,5315
6487,3422
6553,1376
6553,1382
2249,3735
6400,6129
6573,766
6473,3864
6488,3399
6407,5910
6570,857
6498,3096
6394,6320
6425,5359
6553,1390
6426,5327
6498,3095
6396,6255
6374,6937
6426,5332
2337,1017
2175,6038
6465,4121
6374,6941
6477,3748
6485,3507
6426,5336
4260,6946
6491,3320
6400,6141
6404,6016
6374,6946
6470,3970
6426,5333
2179,5920
6404,6022
6426,5340
239,527
6425,5369
6573,781
2120,7754
6491,3322
6591,229
6460,4289
6426,5342
6408,5899
6573,791
249,225
2182,5840
6414,5724
6491,3336
6485,3522
6426,5350
6396,6286
6474,3867
6379,6811
212,1383
6412,5794
6426,5359
6485,3530
6498,3127
6428,5296
6470,3993
6465,4154
2255,3590
6374,6974
212,1390
6465,4152
6488,3439
250,212
225,988
6431,5213
6379,6824
6478,3755
6491,3351
6573,809
6379,6822
6573,812
6426,5376
6471,3981
6400,6181
6465,4165
6378,6861
6494,3272
6375,6961
6483,3612
6485,3549
6468,4076
6426,5377
6498,3145
6474,3889
6396,6307
6481,3672
6494,3275
6425,5414
2259,3489
6374,6993
6380,6814
6375,6969
6374,7000
6425,5418
6375,6968
6468,4084
2262,3400
6468,4083
6379,6842
2268,3213
6566,1052
6412,5826
6573,833
6380,6815
6475,3870
6396,6325
6485,3564
6412,5827
6555,1401
6431,5243
6425,5429
6494,3289
6425,5434
6487,3511
6470,4038
6376,6952
6425,5433
223,1089
6481,3696
6481,3703
6470,4042
6412,5840
6408,5969
6470,4046
6553,1473
6426,5409
6381,6811
6426,5415
6484,3615
6425,5444
6412,5847
6464,4242
6468,4118
6470,4056
6404,6101
6474,3931
6498,3187
6376,6967
6426,5422
6374,7034
6407,6010
6464,4243
6487,3530
6381,6822
6374,7039
250,274
6425,5457
6412,5860
6397,6324
215,1361
6473,3975
6494,3323
6473,3974
6374,7043
6571,934
6498,3197
6425,5460
6381,6824
6477,3848
6379,6892
6425,5465
6484,3636
6485,3604
6498,3208
2262,3450
6431,5284
6473,3982
6426,5438
6379,6901
6485,3615
6487,3552
4268,6804
6433,5224
6426,5448
6379,6905
6426,5447
6381,6842
6426,5446
6488,3530
238,669
6426,5451
6374,7061
238,672
6374,7068
2190,5697
6374,7066
4268,6816
6376,7003
6473,4003
6487,3568
6488,3536
6374,7069
6379,6914
6555,1465
215,1394
6426,5463
6426,5461
4292,6086
6476,3917
6379,6923
6426,5465
221,1216
6421,5626
6431,5315
6488,3552
6412,5907
6502,3117
6575,854
6379,6937
6468,4177
6411,5943
6379,6935
239,669
6485,3655
6375,7065
6375,7064
6578,771
6484,3685
239,672
6374,7094
226,1075
6470,4124
6431,5332
6411,5951
6425,5516
6487,3594
2246,3995
6491,3477
6555,1493
6426,5491
6407,6080
216,1394
6408,6047
6426,5489
6468,4187
6491,3481
6481,3791
6407,6085
6375,7077
6431,5340
6431,5339
6426,5494
2337,1183
2263,3477
2261,3541
6565,1190
6468,4197
6468,4196
222,1216
6563,1250
6381,6892
6435,5218
6426,5497
6375,7078
4262,7051
6400,6310
6435,5224
6477,3921
6502,3145
2342,1035
6426,5508
6502,3152
6485,3678
6381,6901
6426,5505
6573,955
6494,3403
6426,5511
4301,5848
6381,6905
6379,6967
6468,4208
6380,6935
6487,3618
6488,3594
6379,6972
247,456
6468,4212
6376,7064
6426,5514
6478,3908
6381,6914
6573,961
6468,4222
6498,3289
6475,4008
250,374
6470,4161
6408,6083
6428,5470
6426,5531
250,378
6413,5933
6498,3297
6379,6993
6473,4079
2185,5933
6426,5535
6478,3923
6426,5534
6423,5626
6485,3711
6380,6966
6431,5383
6473,4080
6376,7094
6379,7001
6435,5265
6484,3745
6426,5543
6381,6937
6484,3744
6435,5262
6404,6223
6485,3718
250,394
6496,3376
6504,3127
6498,3320
6481,3846
6477,3970
6498,3318
221,1298
6428,5493
6404,6236
6426,5553
6470,4195
2204,5367
6435,5279
6487,3667
6597,257
234,903
6381,6952
2175,6268
6421,5719
6502,3208
6424,5626
6425,5594
2205,5340
6498,3330
6430,5438
2152,6985
240,726
6426,5572
6381,6967
6498,3338
6468,4268
6404,6252
6571,1074
6599,206
6468,4267
6491,3561
6380,7001
6573,1018
6491,3560
6573,1016
2112,8237
6414,5951
2157,6844
6414,5950
6563,1330
6381,6972
6470,4213
6573,1027
6468,4280
6468,4279
6494,3473
6485,3752
6426,5588
2133,7597
6435,5312
6414,5963
6423,5684
6491,3575
6412,6023
6573,1032
225,1216
6379,7053
6411,6060
2255,3822
234,938
6404,6276
256,257
6431,5438
234,942
6381,6993
6485,3775
6597,303
6573,1046
6408,6160
6498,3370
6487,3711
2271,3336
6381,7003
6426,5606
238,828
6589,559
6379,7069
6573,1054
6485,3781
6498,3377
6379,7066
234,956
6435,5336
6485,3786
6426,5614
6565,1304
6421,5768
6414,5992
6477,4038
6573,1062
6485,3789
238,839
6573,1060
6426,5623
6379,7080
6485,3793
6424,5684
6430,5497
235,938
6435,5348
6571,1131
6410,6121
6468,4323
2259,3732
2155,6956
235,942
6485,3802
6502,3273
6435,5350
2246,4142
6386,6875
6563,1387
6488,3711
2246,4143
2342,1170
6491,3624
6470,4275
239,828
6412,6072
6379,7094
235,956
6573,1085
2259,3748
6431,5493
6498,3416
6431,5491
6487,3754
6502,3296
6571,1157
239,839
6425,5682
6414,6022
6587,659
234,995
6411,6121
2190,5898
6404,6337
6475,4136
6426,5655
2263,3637
6502,3297
6573,1103
2244,4228
2160,6832
6381,7054
6439,5256
6430,5535
6430,5534
6435,5379
6381,7053
258,259
6430,5540
6389,6811
6416,5973
250,510
2190,5907
6380,7094
6507,3157
6389,6814
6573,1110
6502,3310
234,1011
6426,5665
6418,5920
6483,3904
6381,7066
6426,5670
2156,6970
221,1419
6488,3754
6381,7071
6426,5675
6423,5768
6573,1118
6565,1365
6381,7069
6484,3882
6386,6920
6485,3851
6485,3850
226,1271
6431,5522
6573,1120
2153,7070
6485,3855
6470,4320
235,995
234,1026
6426,5682
6563,1435
6504,3264
6485,3852
6426,5681
6426,5687
6431,5531
6381,7080
6573,1135
238,910
6563,1443
6431,5535
6435,5410
6431,5534
6412,6123
6499,3433
6431,5540
6510,3091
6383,7027
6412,6128
6589,640
6485,3871
235,1011
6381,7094
6498,3467
6433,5482
6426,5697
2281,3122
6563,1457
256,364
222,1419
6510,3098
228,1233
6589,655
6502,3351
6504,3289
6504,3288
2375,218
6475,4191
2157,6978
235,1026
6386,6956
6471,4320
221,1461
6471,4319
6382,7078
6439,5311
6494,3611
6412,6151
239,910
6426,5724
2342,1254
238,941
6510,3119
4301,6061
6485,3892
2246,4234
2190,5969
2277,3272
6502,3370
6426,5726
6504,3307
6510,3128
6485,3903
6485,3902
6563,1483
6485,3901
6421,5885
6414,6101
6484,3931
6426,5736
6425,5767
2213,5265
6426,5734
6502,3377
6426,5740
6498,3506
6510,3134
6426,5737
249,620
6435,5465
6498,3511
6573,1186
6425,5773
6426,5742
6414,6113
6487,3850
222,1461
6441,5283
238,966
6573,1189
6578,1034
2281,3171
6505,3303
6480,4076
239,941
6389,6901
6423,5847
6491,3738
6418,6007
6485,3930
6494,3651
2201,5660
6485,3929
6407,6347
6483,3997
6498,3530
2270,3528
6573,1204
6417,6047
250,614
6431,5611
6473,4308
254,492
6502,3416
250,618
6485,3940
6575,1150
6505,3327
6566,1434
239,966
6386,7018
6498,3552
6487,3892
6425,5819
2138,7642
6431,5632
6408,6344
6430,5661
6591,676
6389,6937
6573,1233
6504,3371
6498,3564
2112,8456
225,1419
6491,3778
6487,3902
6498,3568
6425,5831
6503,3413
6585,870
6389,6946
6408,6356
250,647
6414,6169
6426,5797
6431,5649
6487,3913
6488,3880
6494,3693
6362,7785
6487,3917
6485,3979
6485,3978
6589,753
6502,3449
6389,6952
2164,6860
6513,3114
6573,1254
6389,6963
6421,5969
6487,3928
6485,3995
252,608
6431,5667
6444,5264
6485,3992
6487,3935
6445,5237
6573,1268
6484,4027
2260,3901
6489,3878
6573,1274
6485,4001
247,773
6445,5240
6431,5681
2206,5581
6446,5213
6573,1276
6412,6267
6498,3608
6502,3484
225,1461
6485,4010
6488,3917
6502,3481
6510,3233
6426,5843
6368,7640
6426,5848
6483,4081
6426,5847
6483,4079
258,447
6573,1288
6497,3651
6498,3619
6386,7090
6485,4027
2202,5726
6573,1298
6389,7001
6389,7000
6446,5240
6426,5859
6487,3968
6571,1363
6412,6291
250,708
6414,6236
6502,3506
6597,566
6515,3107
6485,4036
6513,3168
6602,416
258,469
2120,8284
6434,5622
6513,3173
6487,3978
6423,5969
259,447
6588,857
6431,5724
6480,4204
6416,6187
6477,4303
6396,6814
6498,3651
6477,4302
6421,6038
2252,4203
250,730
265,266
6435,5609
2212,5447
6502,3530
2359,893
2270,3651
6389,7039
6396,6822
6502,3536
6421,6047
6598,559
6441,5425
240,1049
6426,5889
6440,5455
6426,5895
6435,5616
6484,4096
6435,5614
240,1054
6487,4009
6426,5899
6498,3667
6426,5898
259,469
6599,541
6446,5284
6445,5315
6441,5438
6431,5747
6498,3676
6502,3552
4301,6247
6424,5969
6426,5907
6510,3301
6396,6842
6488,3989
2196,5972
6426,5915
6389,7061
6430,5790
6513,3217
2270,3682
2194,6038
250,766
6498,3686
6502,3561
6484,4119
6573,1367
6423,6017
6418,6172
6389,7069
6421,6083
2274,3565
6491,3911
6512,3259
2342,1464
6485,4107
6446,5315
6448,5258
6510,3336
6435,5660
6448,5257
6498,3711
2216,5379
6510,3344
6389,7094
2118,8424
6423,6038
6573,1388
6431,5797
6426,5951
6491,3935
6573,1393
6487,4058
6421,6104
6573,1392
6426,5955
6504,3542
262,435
6494,3849
6485,4135
4300,6334
6578,1250
6606,382
6573,1411
6431,5813
6502,3612
6494,3858
6414,6337
6421,6120
6510,3368
6498,3739
6494,3868
6422,6100
6396,6905
6608,332
6517,3152
6494,3870
6573,1421
6487,4086
6398,6845
6590,899
6397,6881
6504,3564
6573,1431
6498,3754
6424,6047
245,992
2281,3413
6485,4162
258,590
265,373
6485,4161
6423,6083
6600,596
6504,3572
6433,5778
6398,6863
6418,6243
6491,3978
6441,5534
2138,7855
6431,5849
4285,6839
6374,7613
6445,5418
6426,6006
6487,4115
6396,6935
6421,6160
6494,3904
6587,1021
6368,7809
6396,6941
6423,6104
6435,5731
238,1231
6485,4180
6499,3753
4285,6854
234,1362
6446,5397
6504,3599
259,590
6452,5218
6446,5404
6494,3916
6397,6922
6445,5438
6573,1470
6374,7638
6397,6930
6504,3612
6439,5626
6504,3611
6445,5447
6396,6966
6400,6842
250,885
2270,3802
6485,4210
6611,303
6425,6069
239,1231
6587,1052
6368,7841
6578,1330
6485,4213
6396,6971
6376,7597
6452,5241
6421,6202
6488,4124
6375,7626
4287,6824
235,1362
6485,4223
6573,1495
6424,6114
6417,6330
6431,5895
6400,6856
6368,7853
6401,6830
6449,5342
6453,5218
6491,4039
6426,6053
6485,4231
6425,6090
6485,4234
6426,6063
6426,6061
238,1284
6452,5262
2134,8047
6487,4181
6400,6878
6452,5265
6485,4240
6497,3868
6396,7006
6430,5951
6445,5486
6374,7685
6396,7003
6491,4058
6578,1368
6445,5491
6426,6079
253,835
6435,5798
6446,5464
6452,5278
6494,3975
6451,5306
6498,3849
6454,5213
6510,3477
6439,5678
6502,3732
6439,5684
271,283
6487,4195
6453,5249
6598,753
6397,6984
6426,6085
6375,7673
6435,5812
265,473
6453,5253
6426,6090
6396,7019
6397,6995
6487,4205
239,1284
6403,6807
2276,3674
6421,6255
6578,1387
6510,3495
6424,6160
2281,3525
6453,5265
6426,6101
6374,7713
238,1324
6488,4186
6454,5240
258,705
6454,5237
6448,5423
2199,6075
6372,7785
6446,5491
6504,3693
258,710
2175,6821
6431,5961
6599,753
6455,5217
6396,7044
6396,7043
6421,6268
6445,5531
6523,3113
6485,4291
6455,5220
6523,3112
6403,6832
6400,6923
266,473
6445,5535
6523,3116
6523,3115
6439,5719
6426,6121
6400,6933
6453,5290
6597,825
6446,5505
6397,7030
6403,6844
6403,6843
6454,5268
265,516
254,858
239,1324
6455,5235
6431,5979
6519,3251
259,705
6523,3126
6588,1118
6376,7689
6424,6200
6425,6169
6452,5331
259,710
6610,440
6523,3137
6517,3323
6520,3230
6374,7753
6397,7040
6519,3264
6587,1156
6489,4194
6578,1435
6518,3295
258,747
6523,3138
6446,5525
250,996
6425,6183
2123,8471
234,1493
6454,5283
6498,3917
6485,4320
6401,6931
6578,1443
6446,5535
6396,7084
269,414
238,1376
6400,6966
6504,3740
6452,5351
6510,3560
6523,3157
6405,6814
6374,7774
6423,6255
6515,3403
266,516
6445,5572
6453,5331
6373,7811
6446,5547
6403,6880
6586,1206
6494,4057
6374,7777
6523,3158
6523,3165
6403,6884
6380,7597
6599,808
6523,3164
6374,7782
6403,6883
6510,3565
6449,5456
6431,6021
6421,6330
6453,5336
6375,7754
6435,5901
6354,8412
259,747
235,1493
6431,6022
6523,3177
6454,5315
6379,7640
250,1030
6523,3174
6400,6993
6403,6900
239,1376
6435,5907
6374,7804
6487,4301
6448,5509
6590,1106
6374,7802
6502,3833
6453,5359
6455,5296
6606,615
6456,5264
6362,8178
6424,6255
252,982
6491,4183
6381,7597
6454,5339
6498,3978
6375,7797
6431,6060
6523,3207
6502,3863
6504,3801
2145,7856
6368,8016
6373,7861
238,1440
6502,3868
244,1256
6430,6097
6498,3989
6376,7777
6376,7776
6430,6101
6379,7689
6423,6325
6455,5332
6488,4308
6440,5796
6597,929
2381,555
6452,5423
6403,6949
250,1081
6452,5429
6374,7847
6498,4002
253,992
6523,3232
6444,5684
6376,7792
2137,8131
6433,6024
6405,6892
6488,4326
250,1093
6426,6247
6455,5348
6368,8045
6597,945
6381,7640
6519,3362
6376,7802
6401,7026
239,1440
251,1068
6408,6814
6431,6101
252,1039
6523,3247
254,979
6408,6811
6375,7839
6455,5359
6408,6815
2290,3403
2295,3248
6405,6915
6498,4032
