place_of_birth_1,place_of_birth_2
12087,8477
3895,8475
296,9451
7952,9684
530,10395
3456,9802
1327,10265
3631,8475
3986,9759
686,9659
8223,9490
7689,9659
6218,10203
535,10248
1385,8476
12309,9797
8471,9991
8386,8531
3324,9812
5843,9547
8029,11419
292,9599
4202,11271
832,9243
3474,9264
499,11379
6248,9289
664,10361
1331,10170
3763,8509
937,10098
3764,8477
3585,9933
5614,8476
5482,8475
6935,8488
3741,9199
7727,8510
775,11033
360,11611
3329,9685
935,10170
5845,9514
857,8494
3831,10509
8070,10170
4028,8495
961,9367
9086,11440
6009,8525
11855,11629
7938,10170
4240,10123
3989,9716
3603,9396
7930,10431
7993,8476
6222,10129
6142,8513
5971,9724
5747,8476
6010,8513
3367,8531
3322,9928
7068,8488
3103,8526
330,8475
12059,9425
8032,11385
3237,8476
7027,1585
3711,10170
5218,8509
642,11109
7637,11353
7970,9221
7730,8476
6884,10123
4133,9389
1213,9799
805,10160
3286,11079
8977,10791
3238,8476
3634,8488
1387,8513
8055,10698
7808,10170
1124,8476
674,10140
6145,8477
3436,10537
3347,9203
8050,10867
463,8495
3448,10170
6870,10581
6013,8477
1070,10160
1334,10170
944,9972
8127,8483
5944,10626
7659,10707
8205,10170
5748,8513
4079,11100
6915,9199
1096,9366
390,10773
3465,9656
821,9702
8424,11582
8461,10435
11963,176
1125,8476
1097,9345
7784,10943
3635,8494
5946,10581
1350,9702
11937,9188
3328,9826
3607,9370
3768,8478
9092,11375
6735,10713
813,9972
3636,8475
12287,10634
4105,10320
3185,10170
3375,184
3271,11605
8062,10538
1330,10336
3372,8476
12410,10928
1087,9682
1499,9199
7031,9740
7942,10170
3734,9547
3990,9802
3133,11796
6147,8476
1257,8513
8341,10094
8261,8488
7041,9443
6940,8477
3901,8476
8128,8513
3944,11239
6853,11176
8392,8531
6359,10112
3738,9443
6213,10540
8324,10635
4237,10361
938,10232
4298,8476
8262,8476
5306,9999
7012,10362
4224,10773
598,8494
6148,8476
560,9673
4165,8509
1200,10316
1429,11409
934,10370
3902,8476
3179,10408
9021,9527
6015,8513
7050,9199
3601,9623
5678,10773
8096,9550
1319,10741
7734,8488
1309,11053
1468,10220
4167,8476
940,10210
996,8475
1051,10867
3710,10361
3452,10170
3903,8476
7800,10554
5317,9702
3829,10773
3320,10170
5885,8476
3770,8508
4034,8513
12677,10918
5316,9737
8225,9665
6941,8513
7712,9188
1361,9464
1501,9221
3706,10497
5489,8476
3301,10773
863,8526
7602,8514
3111,8476
12403,11248
6677,8526
1368,9264
3997,9691
11962,8532
12674,11034
3639,8500
1437,11229
827,9659
7867,8513
7704,9468
3508,8475
6150,8500
7075,8496
6992,11069
957,9737
3749,9203
606,141
6283,8475
6260,9188
7603,8515
5833,10136
7836,9490
11968,176
204,8513
6151,8475
6648,9451
337,8487
1214,9973
7039,9623
3204,9726
866,8475
3583,10265
790,10832
3905,8476
3725,9963
3736,9623
505,11481
4239,10417
5651,11698
3197,9953
6811,8512
4247,10170
1202,10361
3167,10893
1394,8513
8709,11128
5268,11302
3245,8476
6345,10681
1092,9685
3376,8513
6232,10094
1395,8488
5358,8513
1215,9973
206,8487
5325,9547
3774,8475
5320,9700
8036,11523
3173,10729
5840,9973
3642,8477
1489,9685
1130,8526
5755,8513
6953,51
7908,11405
6020,8494
7737,8513
5492,8475
1396,8477
5491,8513
3351,9319
4017,9155
6241,9846
7078,8475
6944,8531
7676,10415
845,9190
6021,8476
8333,10539
7820,10058
4146,9264
1342,10170
1304,11348
7077,8513
1488,9741
5228,8487
8469,10424
1090,9796
1322,10797
12441,10170
12231,8488
1204,10362
6231,10170
6814,8488
941,10328
8398,8533
3510,8513
7829,9799
12078,9155
6774,9733
923,10899
9061,8476
5310,10075
6815,8476
3195,10102
8099,9630
5604,9155
3809,11559
5626,8478
3323,10243
12414,11051
3425,11176
8354,9931
8474,10318
3812,11478
5757,8524
8204,10497
5976,9928
3115,8513
3421,11315
8352,10001
6286,8513
3312,10597
5333,9388
895,11800
7741,8475
3380,8497
3187,10384
822,9973
3555,11267
4280,9275
3381,8477
3785,51
6155,8498
5627,8487
12062,9714
1236,9443
6816,8496
8401,8513
3776,8531
4243,10438
871,8476
8201,10629
9027,9599
3909,8513
8138,8488
510,11481
1267,8496
6069,11184
7010,10691
1234,9522
7672,10649
3326,10208
1207,10361
5628,8476
4173,8531
529,10904
4087,11200
8222,9995
1067,10614
739,8494
8403,8476
5231,8513
872,8476
3460,10170
8206,10496
5759,8531
1346,10170
5893,8476
6266,9208
3095,9203
6256,9517
4306,8526
4121,10170
3350,9493
7059,9203
4114,10389
3594,10129
713,9331
781,11321
1218,10062
607,8525
931,10773
1445,11224
8008,8477
3970,10773
5364,8526
6827,35
609,8475
6783,9596
4203,11751
3516,8476
1083,10170
7692,10094
5498,8476
3890,9172
3573,10809
5366,8476
407,10654
5955,10700
7082,8531
11976,176
5462,9604
4177,8476
4090,11180
5762,8497
5588,9795
7084,8475
5327,9695
6242,10007
8602,10570
7700,9864
8009,8476
5972,10184
1185,11128
778,11460
3449,10581
8864,10648
3438,10924
5233,8525
5631,8475
5866,9382
3575,10775
3304,10984
3119,8531
5422,10867
6894,10289
1005,8531
6819,8525
703,9702
1365,9660
308,9659
3253,8476
689,10140
3709,10729
323,9199
1403,8488
853,9155
3609,9737
6028,8476
1464,10698
8090,10094
8224,10046
587,9221
1496,9714
5632,8475
3518,8476
8097,9885
1404,8475
7013,10726
4045,8524
6138,9178
3316,10648
5573,10315
11973,8528
4238,10744
3918,184
3728,10170
4178,8505
3459,10319
12669,11527
5559,10754
440,9702
8011,8476
7904,11792
5896,8509
11929,9909
7724,9188
4310,8526
274,10766
1212,10362
1007,8525
12107,8495
348,8476
8408,8476
3387,8476
216,8475
7755,51
6224,10648
3650,8525
12424,10962
11975,8496
7594,9147
8232,9853
7747,8505
5898,8477
7791,11235
7811,10614
3470,10021
5853,9881
8744,10370
4244,10614
811,10542
823,10170
7047,9740
4313,8476
3165,11299
5238,8477
8277,8476
3289,11559
7839,9771
6162,8509
672,10766
3520,8498
5999,9470
1405,8526
7749,8475
7702,9931
3255,8525
8123,9172
1098,9859
1407,8475
3388,8505
6103,10361
5823,10848
3472,9999
7088,8495
4050,8475
7089,8475
696,10048
7684,10509
7065,9216
1053,11272
5664,11694
3521,8495
7859,9188
3917,8513
5451,10112
4231,11069
3256,8526
8370,9731
8349,10395
6825,8487
4258,10239
8770,9637
12375,8476
5732,9604
4315,8475
8411,8475
1177,11549
1408,8488
12639,8490
880,8476
974,9659
3919,8476
854,9287
5460,9859
3424,11544
12640,8478
6335,11415
8644,9480
5939,11410
8766,9796
5859,9795
7057,9527
12340,9587
3202,10248
432,10102
8412,8478
1409,8487
3127,8476
8369,9820
5743,9304
12337,9688
6959,8476
956,10248
1355,10170
6104,10408
7022,10621
7090,8513
5723,9931
4052,8488
3849,10691
1336,10773
3260,8476
1472,10655
7845,9702
8244,9625
3225,9562
5870,9493
8060,11235
7092,8475
12315,10403
4004,10001
3176,11093
3999,10160
8377,9613
680,10648
5724,9934
4317,8495
1014,8488
1074,10726
8255,9297
967,9953
7680,10749
7004,11224
5375,8475
5684,11184
4186,8475
6253,9934
6906,10170
3717,10729
5350,9260
8185,11481
6168,8476
6901,10328
5987,9995
751,8475
1410,8526
5483,9238
3602,10208
6961,8476
6361,10698
6829,8476
6109,10316
12347,9451
8326,11224
3588,10659
12378,8509
7094,8476
7827,10327
4187,8478
7865,9155
6962,8475
3369,9264
1280,8488
884,8487
4242,10887
8209,10784
449,9685
3883,9729
1016,8494
8416,8475
7051,9827
3869,10170
7728,9323
