award_winner_1,award_winner_2
3187,3916
6384,3118
7515,824
3194,3703
1984,8448
7406,4208
7424,3649
7521,642
1187,388
5309,3676
7428,3524
7320,6872
3210,3211
3190,3831
7350,5941
6384,3119
6368,3615
1170,917
7320,6877
1187,392
6452,1016
7426,3590
1100,3090
3212,3156
7416,3906
3297,520
1166,1046
1153,1449
6385,3098
7316,7004
6384,3128
2083,5388
7505,1144
6384,3127
6370,3561
7407,4189
3198,3593
7358,5707
7407,4188
6373,3474
1097,3190
7500,1304
3195,3688
1097,3191
6370,3565
3281,1025
7417,3883
3211,3194
4240,4069
6446,1219
6373,3481
3275,1216
7417,3884
6379,3300
1187,412
3208,3297
3210,3235
7429,3523
7412,4050
4261,3427
4235,4236
1167,1038
3211,3210
6452,1043
7416,3934
3195,3710
3212,3186
7531,367
3195,3712
7510,1017
7412,4055
7434,3380
4258,3532
3199,3590
7495,1488
7508,1085
6384,3161
6381,3254
3215,3097
7426,3626
3215,3096
2010,7685
7435,3352
7412,4064
1097,3223
7412,4063
3208,3320
6452,1062
6373,3511
7319,6952
1154,1459
2143,3569
7428,3572
6460,812
3210,3262
7532,354
7416,3950
6362,3855
7507,1127
3211,3235
7528,481
3207,3361
3211,3236
7372,5315
3210,3270
7435,3369
7320,6934
2031,7050
7435,3368
3212,3209
6376,3434
6369,3651
3187,3989
4236,4235
7499,1387
3196,3712
6370,3624
6384,3190
6370,3623
4239,4146
7412,4088
6454,1017
6446,1265
6384,3187
3216,3096
7412,4094
7356,5830
3180,4211
2090,5233
7500,1365
7412,4093
3190,3904
3216,3097
2008,7777
6374,3501
7412,4091
6384,3191
6462,773
6387,3098
7508,1122
3209,3316
3209,3319
3309,218
6446,1273
6376,3450
3211,3258
6378,3387
6459,875
7496,1495
3211,3262
6367,3732
7508,1127
6446,1281
3210,3298
7514,947
7443,3148
7412,4108
7409,4200
6381,3300
6444,1354
3296,635
7434,3431
7434,3430
4237,4238
3215,3153
7435,3403
3213,3214
7511,1046
7500,1387
1103,3090
7505,1239
7415,4028
7533,369
7532,400
6373,3561
3210,3314
1184,583
3200,3626
7350,6046
6453,1085
7419,3907
6373,3565
1100,3190
6384,3223
3310,218
1100,3191
7419,3913
5319,3477
3281,1118
7412,4127
7532,414
6379,3393
1097,3293
6460,880
7320,6987
7431,3553
7446,3088
6386,3180
3211,3298
1170,1035
3297,635
7504,1288
7432,3520
7426,3706
3205,3486
3301,510
7438,3333
6445,1348
7432,3519
6385,3208
3193,3860
1183,635
5319,3493
7368,5509
3281,1135
1097,3302
6444,1390
3214,3213
6453,1110
4238,4237
7412,4148
6376,3496
3216,3153
7508,1171
4239,4212
7429,3627
7429,3626
1184,613
3211,3313
3274,1360
7416,4028
6448,1274
3211,3314
7428,3661
1100,3223
3194,3846
1171,1023
3272,1427
7528,565
7508,1184
7417,4011
1167,1151
7362,5714
7499,1472
7417,4012
6454,1097
3206,3486
2083,5531
6453,1135
7412,4174
7420,3925
3302,512
7420,3924
7508,1196
6374,3588
7367,5572
6374,3587
6390,3091
7440,3308
6462,858
7323,6934
7412,4175
7326,6848
6384,3281
3302,520
7327,6815
7525,677
3215,3216
7417,4031
3281,1172
7417,4030
3207,3469
7428,3688
3209,3406
6373,3624
7500,1455
6387,3190
6478,369
3212,3316
1097,3344
6384,3289
7412,4189
3273,1427
6384,3288
3207,3472
3297,682
1101,3224
6476,442
7426,3760
6462,876
3212,3319
7533,442
7426,3759
6384,3293
1172,1025
6478,378
6385,3261
3210,3383
13860,908
7326,6864
7431,3609
6454,1127
7323,6955
7508,1220
7418,4009
6379,3450
7326,6868
6384,3302
7502,1411
6381,3393
7439,3362
7508,1223
7440,3331
6389,3151
6445,1414
14746,6231
3203,3613
1167,1193
3220,3088
6384,3310
6462,892
3208,3459
6384,3309
3220,3089
7420,3959
1167,1198
6452,1206
7417,4059
3216,3215
2087,5449
6476,460
7413,4187
7429,3691
6384,3318
7541,218
7429,3690
1097,3374
7429,3688
1103,3190
1103,3191
6376,3569
6462,903
7532,500
7444,3228
7528,623
7429,3692
3211,3383
1198,253
7351,6121
7429,3702
3219,3141
1100,3293
3192,3978
6385,3296
6374,3637
3192,3979
7323,6992
6462,915
6463,883
2006,7979
3211,3397
6462,918
1100,3302
3204,3613
6379,3496
6463,892
6385,3310
6376,3588
7416,4116
7337,6564
7332,6719
6475,518
1167,1230
3281,1232
6453,1206
6384,3344
7417,4088
1167,1234
6384,3350
6446,1427
6376,3596
7346,6293
3275,1427
6387,3261
1103,3223
3075,7626
6463,904
6384,3352
6463,903
3192,4001
3220,3133
6389,3196
7513,1127
6384,3358
6455,1157
6381,3450
1167,1244
7444,3264
7419,4039
1187,625
1171,1122
3289,1001
7448,3146
7412,4261
7437,3484
7505,1376
7426,3825
3289,1005
7329,6838
6463,915
7526,729
7412,4270
6374,3680
6384,3369
6459,1043
6384,3368
1196,358
3205,3617
3192,4020
6384,3374
3221,3120
7323,7032
7361,5853
7412,4272
6452,1263
7521,892
3208,3528
4242,4243
7326,6944
6476,526
3293,892
6380,3501
3212,3406
7349,6229
7353,6105
7353,6104
7426,3841
1100,3344
1166,1299
3208,3536
7508,1309
7422,3975
6384,3385
6459,1060
2147,3661
1172,1118
2147,3660
6367,3917
1097,3445
6387,3296
7511,1219
7417,4133
7507,1342
7532,567
6376,3635
6452,1286
3208,3546
7428,3796
7369,5624
3208,3547
7505,1414
7436,3553
6368,3892
6393,3117
7442,3365
6478,481
1184,759
6460,1046
7436,3557
3201,3771
3281,1291
3222,3120
7534,518
3201,3770
7429,3772
1172,1135
3223,3090
3222,3121
3206,3617
7506,1390
6387,3310
7444,3311
6389,3248
6384,3403
6372,3782
6376,3657
6385,3378
4243,4242
7508,1332
6380,3532
7415,4215
6381,3501
6367,3935
4248,4088
1100,3374
7427,3842
6379,3569
6388,3289
6462,994
7533,560
7525,808
6372,3783
7527,753
7523,875
6391,3199
7428,3819
7377,5407
6463,973
1081,3973
6463,972
1081,3974
1171,1184
1103,3293
6390,3233
6376,3674
7521,947
6368,3921
6448,1441
6386,3362
3209,3549
7435,3616
6455,1228
3217,3303
3222,3148
7508,1351
1103,3302
3202,3770
6460,1078
3217,3304
1171,1196
3217,3307
1167,1321
3202,3771
7446,3277
1085,3864
3210,3526
7356,6074
7355,6105
3281,1324
1097,3495
6462,1017
6386,3373
3210,3529
3207,3622
7429,3813
3205,3686
7429,3812
2073,6013
7508,1370
6384,3445
7424,3972
6387,3351
7424,3971
4266,3572
6384,3449
6384,3448
1167,1337
1193,532
7508,1378
7444,3362
6380,3576
1184,815
6369,3922
3217,3330
7532,635
7444,3363
6389,3300
7439,3525
6463,1013
6473,703
6382,3524
1170,1254
2158,3393
7329,6934
2099,5224
7526,825
7447,3274
3223,3151
7521,987
7453,3094
3223,3152
6382,3525
7510,1332
3211,3529
7332,6848
6384,3468
3200,3869
1184,830
5394,1390
7523,926
7422,4057
7537,492
6396,3095
4245,4246
3206,3686
2154,3530
6396,3102
3209,3592
6454,1303
1103,3344
3221,3222
7521,992
6489,216
3318,218
7517,1122
7523,935
6381,3569
1166,1396
3208,3632
6368,3978
7508,1405
6478,567
1100,3445
3209,3603
5250,5866
7506,1465
7420,4131
6384,3479
6370,3913
1187,750
7523,944
3222,3206
6385,3459
3222,3205
7429,3862
7453,3117
1193,571
6384,3487
3220,3274
3293,1010
7507,1446
1167,1382
6370,3932
7437,3622
7422,4086
6390,3310
6384,3495
7444,3410
6454,1332
6455,1301
1172,1232
7507,1456
7365,5857
1101,3435
1103,3374
3223,3191
3222,3221
3315,338
3223,3190
1171,1268
4246,4245
7377,5489
6372,3876
7425,4000
3199,3939
3215,3443
1167,1395
6455,1308
7451,3199
3193,4129
6380,3637
6374,3822
6393,3233
3226,3110
7534,635
6369,3982
3293,1035
3226,3111
6462,1097
6385,3484
6451,1438
7372,5660
3212,3549
6488,301
7429,3897
3221,3274
7429,3896
6396,3151
7532,710
6384,3530
6398,3095
1167,1416
7428,3932
7332,6908
7546,274
5341,3093
6453,1388
7429,3900
6379,3682
1100,3495
3192,4180
7450,3256
7444,3442
1097,3589
2076,6007
7429,3906
7532,712
7443,3471
6369,4003
7424,4065
7429,3910
6380,3661
6381,3629
6460,1179
3216,3443
6453,1401
7523,998
12758,2550
7380,5438
6462,1127
13887,333
3223,3233
6381,3637
1171,1309
13863,1075
6453,1411
6380,3674
3223,3234
6376,3796
7448,3332
2138,4103
7523,1013
6485,423
7450,3274
7429,3925
7330,6993
7431,3862
7429,3924
7510,1420
7442,3528
7521,1079
6460,1200
6380,3680
1193,639
1172,1291
7374,5639
6399,3096
6476,708
7510,1421
6382,3621
6367,4086
3212,3592
7429,3939
3293,1080
6390,3378
7526,929
6478,649
3222,3285
3224,3225
6385,3536
6387,3481
1103,3445
6374,3881
6476,726
7446,3424
1114,3106
3212,3603
6387,3484
7429,3950
7446,3423
7448,3360
7429,3949
6393,3296
6376,3823
6489,320
3293,1097
6399,3117
6381,3674
7438,3674
7420,4231
6478,665
1101,3516
7429,3959
6456,1354
3293,1100
6451,1508
3293,1103
7420,4242
7528,893
6384,3589
6381,3682
6400,3093
6493,210
7354,6286
6400,3092
7429,3960
6381,3680
1172,1324
2158,3525
7453,3222
6461,1206
6463,1144
6385,3561
6373,3932
1196,583
2136,4212
6370,4032
7454,3195
4249,4250
6455,1401
3225,3224
7513,1370
7455,3168
7331,7011
7528,903
7521,1120
1171,1366
3297,996
3222,3324
3223,3293
7429,3977
1198,532
6476,751
3221,3357
7532,790
1187,875
7336,6864
6452,1500
3192,4257
7329,7086
6459,1288
3080,7734
6373,3952
7346,6564
7446,3464
3223,3302
7513,1384
4255,4085
1103,3495
6397,3222
1100,3589
1196,613
3308,677
13863,1150
7443,3567
6374,3944
4285,3167
5321,3819
7419,4316
6483,564
6374,3943
4250,4249
7526,998
7337,6857
3226,3227
3215,3568
6491,314
3223,3323
6369,4103
4252,4192
7427,4070
6487,442
7513,1411
7451,3333
7428,4045
7450,3363
6379,3796
7528,944
7450,3362
6370,4074
6460,1284
6384,3640
1171,1405
6453,1500
3211,3703
7421,4267
7423,4205
1198,571
6456,1411
7314,7588
7423,4209
4270,3645
6385,3623
3302,892
6370,4086
7430,3993
7426,4117
7361,6138
3223,3344
6385,3624
7423,4221
7550,284
7550,282
1184,1023
3216,3568
7455,3233
3227,3226
7421,4286
6463,1216
6368,4161
6476,811
6463,1214
6384,3663
7385,5407
6475,849
6397,3267
6390,3484
1187,935
6396,3297
6373,4009
6379,3823
1170,1464
2260,444
6376,3921
7339,6835
6378,3858
7451,3362
7336,6932
1118,3084
7457,3180
1118,3085
7429,4055
7453,3310
6475,858
7438,3780
3209,3806
2010,8207
3217,3561
7311,7721
3223,3374
1107,3435
3226,3284
7528,992
7454,3286
3226,3283
3221,3442
7336,6947
6373,4039
6388,3574
6399,3233
3226,3292
3228,3229
6385,3664
6462,1281
7336,6955
13861,1285
3232,3112
2004,8412
3232,3113
3217,3578
6459,1378
6381,3796
3296,1132
2164,3456
2011,8199
7361,6191
7337,6934
7451,3400
6386,3647
6368,4205
7443,3647
1114,3242
1198,639
13863,1242
7429,4091
3232,3126
1103,3589
7438,3809
7455,3289
7423,4281
7455,3288
1118,3127
7313,7689
6403,3131
1118,3128
6399,3261
6379,3881
4278,3476
6389,3569
6388,3599
7423,4282
6398,3289
4253,4254
7380,5622
6403,3141
3217,3600
3229,3228
7550,350
7358,6308
7348,6618
7432,4014
3207,3914
4262,3980
7429,4106
2086,5899
6378,3923
6388,3612
7373,5845
6374,4045
3297,1132
7363,6160
1183,1132
7363,6159
7462,3090
7448,3523
2152,3864
3226,3337
7358,6324
7456,3286
7335,7037
6462,1332
6370,4183
6400,3253
7341,6849
6390,3561
6382,3809
6393,3474
6405,3102
7451,3444
3226,3348
7530,994
6398,3318
6473,992
3210,3846
1118,3161
3308,808
6379,3913
5330,3664
6382,3819
3223,3445
3296,1183
7311,7792
6399,3296
6403,3172
6491,444
6370,4195
4254,4253
6372,4132
6403,3171
6497,257
6393,3481
3230,3231
1184,1122
7349,6618
7429,4138
6385,3732
3222,3486
6372,4142
3232,3177
3223,3456
1196,759
3302,1010
3233,3151
3220,3553
7540,703
6372,4143
7426,4244
3233,3152
3212,3806
7425,4273
3301,1046
6460,1419
2178,3093
6378,3967
6403,3192
1118,3187
6405,3129
7337,7011
7434,4004
7451,3476
1107,3532
3227,3348
7455,3350
6396,3418
3297,1183
3235,3105
7373,5897
6462,1370
13863,1310
6381,3881
3235,3104
6397,3384
6407,3081
3231,3230
1187,1059
7341,6894
6396,3420
6476,944
7426,4262
3302,1035
7431,4106
6372,4167
7435,3989
7429,4175
3232,3207
6404,3181
7450,3523
6465,1288
7338,7000
7316,7681
6398,3371
6404,3185
3234,3152
6398,3370
6407,3091
3234,3151
6475,982
7458,3277
7550,425
3223,3495
5319,4056
1101,3741
6403,3219
1187,1078
1184,1171
1193,892
1122,3094
1122,3095
7427,4247
4275,3655
6407,3098
7443,3757
6460,1462
7451,3509
7532,997
7443,3756
6389,3661
3235,3135
7459,3265
6475,1001
6381,3913
3235,3136
3236,3105
3213,3821
7532,1006
6494,416
3208,3975
6368,4321
6387,3732
7342,6894
6379,3978
3235,3143
1196,815
1189,1032
6484,730
7528,1133
3223,3517
2174,3268
7429,4201
13862,1381
3235,3144
6374,4144
5344,3306
1184,1196
7395,5263
6374,4146
6388,3711
3320,520
6373,4183
3222,3557
7462,3191
3302,1080
7462,3190
1196,830
7342,6909
6374,4149
6380,3970
6462,1427
3233,3223
6384,3844
6393,3565
7444,3751
3235,3163
2158,3782
6398,3416
6498,316
6389,3695
6478,935
2158,3783
7363,6273
6373,4195
6381,3946
7320,7609
1189,1062
7374,5934
6473,1097
3233,3234
3224,3516
3221,3609
3302,1097
3236,3143
3224,3515
3302,1100
3221,3610
5344,3338
6388,3740
6384,3864
3302,1103
7436,4026
2254,825
3219,3681
7464,3156
6400,3372
1182,1294
7462,3223
6403,3282
1118,3281
2158,3809
7534,995
7532,1057
7466,3102
3234,3223
7455,3449
6461,1495
6394,3572
3235,3194
7455,3448
7376,5897
6403,3291
6403,3290
7465,3142
6381,3978
6379,4039
7461,3265
6404,3264
7526,1256
3234,3233
7466,3115
6400,3393
3225,3515
7429,4261
7532,1067
3225,3516
3226,3488
7450,3614
7526,1257
7314,7829
3235,3211
3222,3614
7464,3186
3235,3210
1107,3643
6376,4144
3301,1166
7467,3090
6403,3306
3222,3617
6376,4149
3223,3589
7555,367
2031,7772
6372,4271
7346,6852
7464,3194
6476,1054
7450,3627
6396,3532
7461,3285
6473,1144
3214,3873
1184,1268
7429,4282
6404,3289
1198,835
6374,4218
6463,1459
7363,6332
6410,3107
7460,3325
6380,4042
6390,3732
7443,3857
7532,1097
6378,4103
6489,662
7546,662
6378,4102
13863,1439
7443,3854
4259,4260
7464,3210
7526,1288
7314,7860
6380,4046
7464,3209
7455,3487
3235,3236
3240,3081
7444,3827
6372,4298
3220,3706
7464,3212
6387,3831
7465,3181
3236,3211
6488,705
3303,1136
7551,518
7465,3184
7429,4300
7437,4058
7436,4088
6478,1017
13864,1438
7465,3193
7453,3564
2180,3192
4264,4126
2158,3876
7348,6824
6408,3196
3220,3721
6399,3474
6399,3481
7466,3171
7438,4039
3233,3323
1118,3352
7462,3293
7526,1316
6402,3392
7458,3424
3240,3107
3235,3262
7394,5407
7521,1470
7458,3423
1184,1309
7464,3236
6385,3917
6396,3576
7532,1127
7464,3235
3241,3081
7444,3862
3236,3235
7373,6062
7315,7860
4260,4259
7532,1132
7462,3302
3232,3361
7438,4045
6402,3393
7465,3208
3320,635
3235,3270
2081,6276
1193,1038
2022,8108
7523,1414
7347,6870
6372,4327
3304,1136
1118,3368
1118,3369
6385,3935
7557,369
7445,3841
1198,892
6385,3932
3226,3562
3222,3686
7537,995
7533,1119
7450,3692
7349,6822
6476,1116
7537,992
7534,1085
7532,1154
6407,3261
7521,1495
2179,3254
3240,3134
6383,4002
7431,4282
6403,3389
6403,3388
6377,4194
3241,3107
3236,3262
6487,783
3234,3323
7343,7014
6373,4316
7447,3794
3235,3298
6498,451
6379,4139
3237,3238
4269,4013
7358,6564
6504,270
6379,4145
6379,4144
1106,3767
7399,5291
7440,4019
7316,7870
7462,3344
6397,3590
6374,4303
7438,4086
6374,4302
3233,3370
7377,5976
4293,3282
1118,3403
7467,3191
3226,3591
7467,3190
1189,1204
6379,4157
6403,3413
7537,1026
7466,3227
3320,682
7530,1242
7451,3691
7379,5929
7465,3263
6397,3601
1184,1366
3241,3134
7532,1183
3242,3106
7432,4290
7346,6955
6396,3637
7443,3948
3226,3604
7443,3947
6404,3387
7465,3264
2174,3450
1218,318
6400,3522
3238,3237
7371,6187
7540,948
7544,824
4263,4231
7321,7742
6412,3153
6374,4330
6470,1354
1118,3429
5353,3218
7350,6848
6399,3561
6400,3530
6380,4149
6387,3932
7462,3374
6473,1265
7343,7069
6399,3565
7555,497
3301,1299
3236,3314
7467,3223
7464,3316
7459,3471
3236,3313
7453,3656
7459,3470
6405,3376
13865,1489
7533,1183
6396,3661
6398,3599
7464,3319
7530,1273
1196,1023
7550,659
4291,3388
3227,3604
7465,3296
7466,3272
6398,3612
6396,3674
6381,4139
1184,1405
7440,4076
3221,3794
1187,1313
3226,3639
1216,414
7440,4075
1218,354
7362,6499
6390,3863
7403,5232
1221,266
7549,705
6396,3680
6381,4145
3307,1136
6381,4144
7346,7004
3327,518
7314,7994
7457,3561
6381,4149
7539,1018
6473,1303
6387,3969
7537,1085
7458,3534
3232,3469
3232,3472
7440,4097
7347,6980
7399,5367
6381,4157
1198,992
7537,1088
6385,4032
6378,4249
3235,3383
2026,8093
1193,1151
6411,3230
5275,5684
7466,3300
7400,5346
7455,3640
1202,875
7368,6335
6379,4231
7347,6990
3321,729
963,8290
6376,4330
3233,3456
7439,4143
3240,3241
7439,4149
7540,1017
3304,1261
1193,1167
3224,3741
6400,3587
6404,3463
6498,549
7533,1239
6478,1176
6385,4058
6496,617
7453,3723
6381,4185
5344,3564
6381,4184
7467,3293
6404,3478
6389,3943
6403,3507
3222,3815
7462,3445
7453,3724
7346,7048
1208,716
3240,3261
6389,3944
7382,5929
3219,3915
7348,6990
7453,3735
12758,3123
6416,3113
7439,4167
6496,632
6489,849
5288,5312
12758,3122
6502,451
6411,3272
3234,3456
2180,3362
7467,3302
7318,7921
6416,3115
6386,4052
3241,3240
1198,1038
6489,858
7350,6934
7540,1043
7545,888
6403,3522
3225,3741
7464,3406
6417,3095
3226,3709
6385,4086
1193,1198
7556,551
6386,4053
3226,3714
6390,3935
3233,3499
1218,428
5355,3251
7354,6824
6476,1274
7436,4282
6475,1305
7436,4281
7462,3474
6475,1303
7454,3722
2157,4090
7379,6046
6478,1216
3301,1396
2040,7719
6416,3137
7391,5679
1218,436
6391,3910
3241,3261
1192,1245
7450,3854
1196,1122
7541,1032
6379,4293
6381,4231
6489,883
6403,3549
7349,6990
1216,505
4290,3519
3233,3517
7439,4205
4290,3520
3240,3301
5344,3612
6494,729
3233,3521
7462,3495
6487,952
6398,3711
3222,3863
7451,3841
7467,3344
1193,1230
7323,7806
7540,1085
6403,3564
6475,1332
6413,3254
1193,1234
6493,773
1122,3436
7453,3787
6411,3321
1218,463
6391,3939
7387,5830
6407,3449
7539,1124
1193,1244
4271,4132
4299,3265
6379,4320
3316,969
4271,4131
5341,3735
7532,1349
6397,3765
3327,635
3241,3301
7450,3896
6398,3740
3234,3517
6398,3739
6383,4203
3316,977
7451,3862
6383,4202
4267,4268
7352,6938
6494,768
6388,4053
3243,3244
6379,4330
2266,766
7476,3098
6510,276
7328,7685
2152,4302
7467,3374
7554,677
7455,3746
7555,646
1196,1171
3217,4057
7456,3722
2174,3621
2152,4303
2157,4151
7473,3193
6512,216
6494,773
6386,4127
6398,3754
7443,4133
7532,1373
6381,4286
6403,3604
7465,3450
6388,4069
6489,937
7532,1378
3233,3572
1196,1184
3233,3575
7379,6118
7543,1034
1122,3483
7452,3860
6389,4045
6489,945
7469,3333
5428,1068
7532,1379
7469,3332
7373,6308
7451,3897
6388,4081
1135,3084
4274,4077
7439,4267
1135,3085
6489,948
3244,3243
2189,3180
4268,4267
7332,7588
6400,3711
7534,1332
7569,247
1187,1479
7356,6849
3235,3529
3232,3622
4273,4117
6513,212
6397,3815
7382,6046
4292,3532
7374,6300
3240,3379
7563,440
7537,1245
7541,1127
6386,4164
7444,4133
1198,1151
7466,3450
7460,3640
6381,4320
7446,4073
3336,416
7469,3367
7475,3181
6418,3180
7469,3366
7451,3924
7326,7798
12758,3249
12758,3250
5330,4143
6513,239
5330,4144
7561,518
6381,4330
7357,6841
6494,825
1220,483
6421,3095
1193,1321
1198,1167
6411,3403
6421,3093
3245,3246
7453,3868
7462,3589
7402,5455
6476,1393
3236,3529
6489,988
7467,3445
13892,881
1135,3127
7532,1429
1135,3128
1208,865
3241,3379
7468,3412
7465,3511
3236,3535
7465,3510
6396,3881
6383,4283
7397,5616
1193,1337
7533,1406
3319,969
6489,1001
7476,3177
7472,3300
7474,3244
7448,4050
7461,3647
7533,1414
6513,266
3319,977
12758,3282
1198,1193
2154,4326
7534,1388
2188,3271
6403,3678
6386,4205
3246,3245
4270,4272
1220,518
6404,3651
6417,3255
7455,3844
7376,6293
6497,773
6513,283
1196,1268
6485,1150
7465,3538
6386,4219
6409,3505
1135,3161
7467,3474
7532,1459
6410,3473
3219,4095
12758,3295
6478,1370
6398,3850
5341,3849
7475,3230
12758,3294
1218,593
6397,3887
7319,8072
6513,290
6393,4009
6421,3141
1204,1032
5330,4197
7567,386
7328,7802
1216,668
6389,4146
6481,1294
7444,4209
1193,1382
7467,3495
1221,516
1198,1230
7463,3624
7464,3592
6423,3095
3247,3248
3079,8456
1220,551
7555,777
1135,3187
1198,1234
7532,1488
7446,4153
3246,3286
6404,3693
6487,1120
1218,619
7465,3569
3246,3287
1193,1395
7460,3723
6400,3822
6414,3387
7460,3728
1198,1244
7464,3603
7321,8036
6420,3199
7331,7733
7358,6895
12758,3340
6418,3267
1196,1309
1204,1062
6398,3892
6498,792
1132,3296
1132,3297
7469,3457
7377,6308
7355,6990
7537,1354
7546,1075
7475,3275
6497,825
3338,451
1223,483
4272,4270
7357,6938
6414,3403
6408,3588
6408,3587
3253,3093
1193,1416
3336,520
6408,3594
6497,835
3253,3092
1231,239
3248,3247
6398,3902
6424,3095
6396,3970
4300,3410
6478,1427
2262,1052
7359,6883
6421,3193
3222,4059
6421,3192
5355,3476
3336,527
12758,3364
7476,3260
7540,1275
7466,3569
7476,3259
6487,1150
7412,5243
1218,653
7472,3390
6510,444
6491,1032
7532,1528
2258,1183
7569,380
3240,3512
3240,3511
7546,1099
7355,7019
7472,3391
2261,1097
6510,452
6513,358
7356,6992
7538,1350
7330,7797
6391,4138
7444,4270
6398,3928
6397,3959
6398,3927
6498,827
7469,3494
1216,729
7358,6934
7460,3772
3233,3738
4271,4327
6421,3219
2180,3615
2116,5599
7460,3777
7476,3280
6388,4240
1216,734
1223,518
2179,3651
6403,3781
7453,3998
7450,4091
3222,4088
1136,3217
6272,7840
3249,3250
7478,3221
7465,3624
6513,374
7557,777
7451,4063
1216,742
3253,3130
2098,6167
7463,3690
7357,6976
7466,3597
7362,6821
1198,1301
3222,4094
6403,3789
7311,8408
6513,378
4272,4311
1196,1366
7413,5244
6404,3755
7461,3756
7357,6987
7450,4104
6403,3793
1231,283
6408,3637
3240,3542
3241,3511
6517,257
3235,3696
6426,3084
3241,3512
1224,505
7450,4106
7465,3641
6420,3267
6426,3081
3236,3672
7332,7770
6405,3738
7460,3801
6513,390
6400,3892
3343,356
6513,388
6426,3085
1220,635
7467,3589
7550,1016
6426,3091
7356,7028
6426,3090
5330,4298
5337,4081
7451,4082
6513,392
1198,1321
12758,3407
6489,1143
6426,3096
12758,3408
6426,3095
6491,1085
1223,551
3250,3249
6426,3099
6478,1487
7540,1332
6489,1145
6426,3098
1135,3281
7569,432
6513,400
7395,5833
7456,3942
1132,3377
6391,4187
6512,436
1216,775
7479,3233
6426,3107
6404,3787
6497,904
1198,1337
3236,3696
3316,1215
6513,414
3249,3295
1141,3106
6513,413
3241,3542
2027,8408
7569,444
6513,412
6396,4046
12758,3435
6408,3674
7469,3551
3240,3575
1196,1405
7311,8447
12758,3434
7473,3431
6391,4205
6510,516
7337,7646
7473,3430
6426,3119
6426,3118
7478,3274
7569,452
7395,5853
7466,3651
6408,3680
6396,4051
6426,3128
6426,3127
6421,3282
3251,3252
7479,3254
12758,3450
12758,3447
7482,3166
6426,3134
2253,1426
12758,3446
6403,3852
6403,3851
6403,3850
6513,446
3241,3575
1118,3853
6420,3333
1204,1189
7466,3674
7333,7797
6421,3300
7477,3332
7473,3463
6399,3989
6421,3306
7450,4175
1136,3303
6389,4303
1198,1382
1136,3304
6498,923
6410,3651
6389,4302
3247,3401
1136,3307
6393,4183
6407,3747
1198,1388
7399,5762
4276,4277
3252,3251
6421,3317
6426,3161
6481,1463
6404,3849
1198,1395
6498,934
7450,4189
7402,5684
6489,1219
6399,4009
7460,3886
7460,3885
1135,3352
7455,4039
6513,473
3235,3791
6513,479
7563,696
6389,4321
3344,416
6504,762
6420,3366
6497,979
3256,3146
3323,1068
1144,3082
1136,3330
2048,7825
6420,3363
6397,4076
1144,3083
6519,301
6512,518
6397,4083
1223,635
3256,3147
7481,3246
7452,4144
7451,4175
7451,4174
6416,3491
6420,3367
3257,3121
6426,3188
6392,4242
7540,1421
6426,3187
1135,3368
6404,3868
3248,3401
1198,1416
1135,3369
7460,3906
6424,3254
3347,334
6426,3191
6426,3190
6398,4058
1132,3466
6426,3189
6392,4243
6403,3902
7463,3816
4277,4276
7451,4187
7323,8154
7556,937
6513,500
3319,1215
1110,4157
6491,1189
6423,3297
6510,600
3258,3105
7459,3948
3232,3914
7537,1528
7478,3357
6513,511
6403,3921
3236,3791
7383,6308
1231,413
2200,3141
6494,1097
6513,514
3257,3147
3256,3178
7462,3862
3257,3146
7485,3148
1142,3177
7464,3806
1120,3860
6396,4144
7481,3277
6513,516
6398,4081
7319,8305
6421,3375
6396,4149
12758,3537
6497,1017
6426,3217
6513,527
1218,830
1135,3403
7481,3286
6426,3223
6404,3904
7486,3129
7487,3098
7465,3787
6418,3476
3259,3098
6404,3908
3254,3255
7546,1273
1221,745
3235,3846
2284,559
7397,5897
7557,937
4285,4065
3258,3135
7484,3199
6513,532
1216,904
6520,321
6494,1127
6520,320
7550,1158
6493,1157
1221,752
7468,3706
7477,3427
6426,3240
6424,3300
6421,3393
7450,4261
6510,633
7465,3796
6513,540
1107,4292
6425,3273
3257,3178
6404,3923
6426,3241
6398,4115
1141,3242
7476,3463
3258,3154
1144,3151
1144,3152
2169,4144
3249,3435
7488,3096
7475,3499
7556,988
6417,3528
7464,3846
7452,4218
6409,3783
7562,808
7365,6914
6409,3782
3260,3098
7478,3410
3323,1144
3258,3162
4279,4280
6426,3260
3255,3254
6426,3259
6421,3413
3258,3163
7361,7040
6517,436
6498,1025
6394,4249
6408,3822
7483,3264
6431,3107
6426,3261
6513,571
1232,440
3321,1216
2046,7973
7459,4012
7479,3391
7459,4011
1215,969
7479,3390
6403,3978
3261,3081
6426,3272
6398,4140
6420,3457
7470,3674
7363,6990
3228,4108
3344,512
6426,3275
6513,578
6489,1322
4301,3612
1215,977
6426,3273
7471,3646
6513,583
6426,3280
6414,3651
7451,4272
6403,3992
7324,8207
3344,520
1132,3556
7419,5268
6502,926
7459,4026
6426,3281
6397,4187
6426,3288
6425,3318
6498,1055
1224,709
7465,3845
7459,4031
3258,3194
4280,4279
3256,3257
6426,3289
6510,692
3237,3848
6421,3450
3261,3107
1218,903
3314,1463
1230,532
7317,8440
6426,3293
6397,4196
2169,4196
6426,3302
6426,3301
