adjoins_1,adjoins_2
10156,11813
11553,9466
10737,10197
10737,10196
137,11113
6705,17
11655,10412
11619,11522
17,6645
10605,10190
9642,11381
5110,8509
11352,11615
14,6750
6702,126
97,82
8477,10642
11366,11190
11548,9644
168,10172
5088,5113
5086,5175
11420,9529
9245,11415
11381,10745
10738,10197
17,6676
10950,11813
9187,9137
10485,9865
11561,9278
5088,5141
10640,9154
10064,10625
9834,9574
10425,11732
9506,11548
11815,9600
5090,5086
