influenced_1,influenced_2
8167,12076
11862,8124
8173,7795
11862,8118
7889,8405
12135,3752
8689,4092
12389,8173
6723,7699
7904,7957
8391,1055
3537,8170
12398,7910
7762,8272
