nominated_for_1,nominated_for_2
5338,2341
3222,2403
5397,513
6419,1605
6409,1915
6379,2844
6414,1759
6373,3030
6374,2999
6389,2534
6378,2875
6382,2751
6418,1635
6414,1758
3292,238
6418,1633
6387,2594
6381,2787
6409,1919
6376,2942
6408,1949
6381,2786
6463,244
6396,2321
6408,1948
6387,2599
6380,2815
6421,1544
6394,2381
6379,2846
6372,3063
5360,1668
3128,5328
6397,2294
6400,2200
6374,3006
3208,2850
6421,1548
6409,1920
6374,3005
6373,3036
6379,2850
6385,2671
6402,2144
6403,2113
6392,2454
6404,2082
6389,2547
6454,531
6446,779
6417,1678
6404,2081
6409,1925
6385,2669
5359,1706
6381,2792
6397,2296
6463,250
6382,2768
6387,2613
6385,2675
3262,1182
6381,2798
6380,2829
6402,2147
6411,1868
6419,1620
6397,2301
6385,2673
6387,2611
6402,2146
6421,1556
3233,2082
6393,2431
6396,2338
6404,2090
6418,1656
6379,2865
6392,2462
6394,2399
6387,2616
6400,2213
6380,2833
5232,5654
6386,2646
6404,2088
1176,317
6396,2335
6421,1567
6463,265
6375,2993
6374,3024
6387,2621
6460,357
6385,2682
6385,2681
6465,201
6459,387
6393,2433
6421,1564
6379,2866
6397,2308
1127,1841
6419,1633
6392,2470
6379,2873
5327,2716
6410,1910
6381,2809
6402,2158
6404,2096
6415,1755
6422,1537
6419,1630
1110,2372
6375,3001
6381,2815
6406,2040
6379,2876
6411,1884
6421,1573
6374,3030
6378,2906
6448,736
6396,2347
6421,1572
6387,2626
6400,2223
8412,5394
6383,2756
6446,802
6418,1670
6387,2631
6460,368
6282,5886
6423,1514
6381,2816
6463,281
6417,1707
1174,397
4266,2851
6423,1520
6421,1582
6404,2108
6402,2169
6374,3037
6375,3006
6413,1835
6400,2238
6408,1990
6393,2454
5397,563
6378,2918
6379,2887
6402,2174
6465,221
6419,1646
6373,3072
6418,1677
5337,2421
6373,3079
6404,2118
6408,1994
6463,289
1150,1149
6412,1869
6381,2830
6407,2023
6402,2178
6381,2829
6389,2581
6465,224
5336,2456
6385,2711
6414,1812
6418,1688
6397,2339
3217,2613
6395,2400
6397,2338
6374,3051
6382,2803
6419,1656
6397,2337
6414,1809
6465,228
6373,3080
6399,2274
6423,1537
6395,2405
6383,2776
6376,2993
6387,2652
6380,2869
6465,234
4283,2341
6459,419
6421,1597
6379,2899
6460,387
6396,2378
6390,2564
4283,2344
6465,238
6403,2160
6395,2407
6411,1911
6396,2375
6411,1910
6378,2940
6410,1948
6386,2692
6402,2196
6389,2599
6376,3001
6418,1699
6423,1544
6424,1513
6411,1915
6414,1822
2179,2037
6418,1697
6463,302
6379,2906
6381,2844
6401,2231
6411,1921
6415,1796
6423,1548
6381,2850
6379,2911
6403,2167
6446,834
6379,2910
5351,2011
1162,800
6421,1615
6387,2669
1127,1886
6465,250
6460,405
6384,2761
6397,2358
6379,2916
6387,2667
6380,2884
6421,1613
6380,2883
6407,2046
6378,2945
6402,2201
6380,2890
6399,2301
6385,2735
6415,1805
6406,2084
6393,2487
6379,2920
6380,2889
6382,2827
6397,2362
6404,2144
6401,2237
6387,2671
1139,1520
6379,2918
6418,1709
1179,281
6388,2646
6374,3080
6379,2925
6389,2615
4280,2457
6421,1622
6399,2304
6379,2924
6376,3017
6410,1962
6387,2675
6379,2923
6419,1683
6393,2489
4181,5524
992,6081
6415,1806
6395,2426
6418,1713
6414,1837
6402,2216
6378,2959
6462,355
6423,1564
6381,2866
6409,1998
6463,324
3208,2923
6402,2214
6376,3020
6385,2741
6381,2865
6414,1841
6389,2616
6418,1717
6408,2027
6404,2151
6396,2405
6400,2281
6421,1629
6423,1567
6414,1846
6397,2373
6418,1722
6381,2869
6465,265
6460,419
6406,2093
6463,326
6379,2930
3208,2929
6389,2627
6396,2410
1122,2061
6408,2037
6401,2254
6406,2099
6379,2935
6381,2873
6459,455
6421,1633
6421,1632
6398,2345
6382,2841
6388,2655
4284,2344
992,6094
6380,2909
6401,2258
6411,1948
6401,2257
6408,2040
6419,1699
6407,2071
6375,3063
6419,1698
6415,1829
6379,2944
6423,1580
6403,2200
6417,1766
1127,1915
6424,1548
6404,2168
6399,2323
6418,1734
3246,1764
6393,2508
6384,2787
6381,2887
6389,2639
6418,1740
6394,2483
6427,1460
6460,437
6421,1646
6418,1738
6465,281
6414,1862
6382,2853
6419,1713
6402,2240
6465,287
6376,3045
6379,2952
6390,2611
6460,441
6403,2207
6424,1556
6381,2889
6459,471
6375,3075
6421,1648
6385,2764
6396,2423
6418,1748
6393,2523
6413,1903
6402,2244
6446,879
6419,1716
6399,2335
6465,289
6422,1622
6394,2489
6410,1993
6404,2179
6387,2706
6397,2403
6463,357
6459,480
6398,2371
6402,2246
6415,1843
6421,1657
6419,1719
6393,2524
6409,2028
6396,2431
6399,2338
6379,2958
6421,1656
4298,1934
6415,1849
6406,2128
6418,1755
6421,1661
6397,2405
1124,2029
6419,1722
6424,1567
6397,2411
6412,1945
6389,2658
6465,302
6402,2255
6381,2906
6390,2626
6460,455
6389,2656
3223,2500
6384,2818
6385,2787
6392,2570
5226,5947
6385,2786
6463,368
6381,2910
3219,2626
6380,2940
6404,2196
6414,1886
6407,2103
6388,2692
6398,2381
6381,2908
6378,3001
6402,2257
6389,2667
6392,2574
6397,2419
6426,1520
6419,1737
6397,2418
6412,1952
6378,3006
1127,1948
6414,1889
6417,1796
6385,2788
4271,2787
6421,1679
6402,2268
6415,1865
6396,2454
6381,2919
6414,1895
6381,2918
6378,3011
6381,2917
6385,2793
6376,3072
6392,2576
6423,1615
6462,405
6399,2358
6381,2916
6404,2203
6408,2086
6381,2923
6400,2334
2192,1708
6392,2581
6404,2209
6415,1868
6417,1806
4264,3014
5249,5247
6414,1898
6422,1650
6421,1681
6403,2238
6381,2920
6396,2455
6460,471
6408,2083
6418,1780
6404,2214
6396,2462
6424,1594
6379,2989
6422,1656
6419,1748
6389,2678
6384,2833
6420,1716
6381,2925
6408,2088
6381,2924
6423,1622
5312,3296
4279,2551
1100,2798
6403,2249
6379,2993
3237,2089
6419,1752
6465,326
4278,2588
2179,2118
6389,2681
6460,480
6463,387
6404,2216
6380,2959
6397,2432
6412,1967
6465,324
6421,1688
6426,1533
6413,1943
6423,1633
3219,2651
6411,2004
6400,2345
6397,2437
6385,2809
6414,1910
6418,1786
6426,1537
6388,2715
6404,2219
6379,3001
6386,2784
6421,1699
6385,2815
6414,1915
6415,1884
6408,2101
6408,2106
6385,2819
6401,2322
6421,1702
6408,2105
6381,2942
6394,2539
6414,1919
6462,431
6410,2042
5350,2133
6392,2599
6384,2847
1175,489
6421,1707
6396,2482
6388,2730
6402,2295
6392,2605
6404,2233
6384,2853
6380,2977
6417,1829
6407,2139
3278,836
6382,2913
6381,2944
6379,3006
6465,347
6396,2486
1118,2261
1110,2509
6395,2516
6397,2454
6421,1709
6398,2421
6424,1615
6381,2948
6415,1894
6393,2576
6380,2979
6423,1646
6402,2304
6379,3017
6408,2118
6424,1622
4287,2332
6402,2303
6462,443
6392,2613
6409,2085
6421,1713
6418,1806
6388,2736
6381,2953
6392,2611
6409,2084
6390,2673
6421,1719
6381,2959
6402,2308
6448,882
6423,1657
6423,1656
6397,2462
6387,2772
6381,2958
6379,3020
6407,2152
6410,2059
6419,1780
1133,1805
6419,1779
6401,2337
2182,2056
6459,538
6418,1809
6409,2088
3278,847
6403,2281
6414,1940
6385,2839
6408,2126
6427,1537
3298,230
6421,1722
6392,2621
6460,513
6380,2993
3238,2089
6399,2403
6463,419
6465,357
5332,2711
6381,2960
6410,2061
6393,2588
6380,2991
6400,2371
1120,2214
6421,1727
4275,2716
1127,1998
6427,1540
6424,1633
6389,2718
4271,2841
6415,1911
6415,1910
6409,2103
6396,2506
6381,2971
6414,1948
6378,3064
2192,1756
6400,2381
6407,2164
6411,2040
6385,2846
5235,5729
6418,1822
6419,1791
6404,2256
4286,2377
6402,2317
6392,2627
6385,2844
6418,1821
6379,3030
6418,1828
6404,2262
3299,211
6385,2850
6398,2447
6396,2509
6387,2788
6411,2044
6409,2105
6387,2786
6402,2321
6423,1670
6401,2352
6465,368
6379,3041
6415,1925
6424,1646
6378,3072
6381,2979
8409,5640
6401,2358
6421,1737
6409,2108
6378,3069
6379,3045
6384,2890
6402,2332
6408,2146
6397,2487
6384,2889
6402,2331
6410,2083
6290,5803
6417,1865
5339,2514
6421,1740
6392,2639
6460,531
6423,1678
6393,2615
6382,2956
3117,5864
6410,2086
6391,2675
6407,2178
6384,2891
6418,1837
6465,387
6381,2991
6380,3022
6399,2433
6421,1751
6423,1688
6427,1564
6412,2029
6392,2649
6379,3051
6424,1656
6402,2338
6380,3020
6399,2431
6418,1842
6408,2152
3219,2709
6410,2089
6394,2585
6421,1748
6401,2375
6392,2654
6381,2995
6399,2437
6406,2219
2056,5995
6381,2993
6407,2187
6399,2435
6402,2342
6415,1938
6392,2651
6421,1752
6381,2999
6412,2038
6423,1697
6408,2162
6421,1758
6394,2595
6410,2099
6393,2625
6463,455
6396,2532
6402,2352
6415,1948
6381,3001
6423,1699
6408,2164
5412,271
6277,6225
6409,2132
6394,2597
6402,2349
6419,1822
3298,271
6448,930
6390,2728
4271,2880
6381,3006
6427,1580
6411,2076
3262,1389
6387,2819
6401,2385
1127,2040
6380,3035
6392,2663
6385,2880
6397,2508
6423,1702
6385,2887
1127,2042
3254,1642
6407,2204
6417,1894
6400,2421
6410,2111
6379,3072
8419,5363
6423,1707
6402,2358
6402,2357
6426,1613
6427,1582
6418,1868
6419,1837
6423,1713
6462,504
6426,1619
6385,2890
6389,2766
6425,1650
6402,2362
6463,471
6385,2889
4298,2049
6424,1679
6406,2237
6399,2454
6423,1710
6419,1834
6404,2306
6382,2987
6379,3080
1015,5523
4314,1560
2078,5337
6392,2676
6425,1653
6426,1622
6412,2056
6421,1776
6414,1993
6408,2179
6415,1962
6465,419
4284,2493
6392,2681
6385,2897
6414,1998
6419,1843
6421,1780
6382,2989
6381,3020
6421,1786
6414,2003
6415,1972
6422,1755
6402,2375
6409,2158
6418,1878
6392,2684
6418,1877
6383,2962
6382,2993
6423,1722
6401,2411
6400,2442
6418,1884
6380,3061
6382,2999
6385,2906
6393,2658
6381,3030
6397,2534
5336,2658
6411,2099
6423,1727
6414,2006
6427,1609
6446,1020
6424,1702
6385,2910
6389,2786
6396,2569
6414,2010
6402,2382
6380,3064
6384,2940
5237,5728
6424,1699
6419,1854
6406,2257
6427,1613
6393,2667
6402,2387
6380,3069
6408,2201
6396,2572
6387,2851
6381,3037
6384,2944
5337,2632
6418,1889
6421,1796
6387,2850
6385,2912
6424,1703
6415,1989
3233,2325
6409,2174
6462,531
6385,2918
6387,2856
6423,1740
6454,779
3255,1642
6418,1894
6465,437
6426,1646
6385,2917
6448,963
6408,2203
6424,1707
6399,2489
6396,2582
6385,2923
6415,1993
6392,2706
6408,2209
6419,1868
6421,1806
6389,2798
6424,1713
6381,3045
6465,441
6399,2487
6384,2952
6385,2920
6460,595
6415,1990
3295,408
6414,2028
6381,3051
6410,2152
6426,1656
8424,5247
6423,1748
6392,2709
6465,445
6385,2925
6421,1809
6385,2924
6402,2397
6390,2769
6415,1994
6427,1622
6405,2311
6419,1877
6463,513
6418,1908
6402,2403
6417,1938
6385,2930
6396,2589
6423,1751
6404,2340
6398,2526
6409,2185
1127,2088
3219,2773
6382,3021
8421,5355
6396,2594
6402,2408
6424,1726
6392,2718
6465,455
6398,2531
6397,2562
6408,2219
6403,2381
6414,2040
6431,1512
6421,1822
6402,2410
6394,2658
6396,2602
6424,1734
6430,1548
6399,2508
6415,2012
6387,2880
6414,2043
6406,2290
6454,802
6407,2259
6389,2816
6397,2568
6385,2940
8424,5266
6389,2823
6396,2606
6396,2605
6425,1706
6401,2450
6404,2357
4295,2201
6402,2418
6409,2201
6401,2448
6397,2572
6421,1828
6385,2944
6423,1766
4308,1796
6387,2889
6465,471
6397,2579
6426,1679
6394,2671
6401,2454
6411,2143
6419,1895
6463,531
6424,1740
6418,1925
6459,654
6381,3072
6396,2613
6402,2427
4180,5774
6421,1837
6422,1806
6411,2147
6412,2116
6398,2549
6411,2146
6385,2952
6387,2890
3230,2455
6384,2990
6399,2524
6411,2152
6389,2834
1133,1929
3270,1217
6394,2678
6397,2585
6421,1841
6381,3080
6389,2839
6431,1537
6392,2746
6421,1846
6419,1908
6385,2961
6424,1752
6431,1535
6423,1783
6384,2991
6465,480
6424,1751
6404,2377
6396,2625
1184,357
6431,1538
6424,1755
4307,1847
6432,1514
6397,2599
6385,2971
6404,2382
6426,1699
6408,2257
6421,1854
6432,1513
6382,3063
6394,2690
6424,1759
6399,2534
6392,2751
6408,2262
6387,2913
4184,5669
6418,1951
6408,2261
6387,2912
6408,2260
6429,1608
6396,2631
6415,2042
6392,2755
6418,1949
6403,2421
6385,2979
6429,1615
6426,1707
6396,2637
6386,2947
3219,2818
6385,2977
6397,2605
2056,6106
6410,2201
6393,2735
6397,2611
6398,2580
6402,2455
6417,1990
6387,2920
4298,2144
8415,5583
6421,1865
6402,2454
6386,2949
6427,1678
6459,693
6423,1809
6418,1964
6414,2088
8408,5811
6402,2459
6412,2149
6460,661
6392,2768
6397,2613
6382,3078
3141,5247
6421,1868
6431,1558
6423,1806
6409,2240
1132,1990
6400,2526
6431,1564
6414,2090
6431,1563
6401,2493
6402,2462
6426,1717
8412,5686
5237,5809
6385,2995
6403,2436
6465,513
6421,1877
6418,1970
6397,2621
6419,1939
6402,2466
6403,2434
6404,2403
6411,2186
4291,2371
8421,5419
3295,480
6427,1697
6385,2999
6397,2627
6404,2410
6431,1573
6475,209
6384,3030
6406,2346
4177,5908
6411,2190
6400,2531
6406,2352
6415,2073
6399,2569
6421,1887
4180,5821
6387,2940
6425,1762
6400,2537
6409,2257
3233,2411
6386,2969
6423,1822
5348,2380
3125,5758
6412,2170
6402,2480
6414,2108
6402,2479
6423,1828
6387,2944
6385,3006
6475,215
6402,2478
6432,1548
6459,711
6421,1889
6409,2261
6392,2787
6414,2105
6401,2508
6419,1957
6465,531
6414,2111
6396,2669
6421,1894
6411,2204
6399,2576
3223,2726
6406,2358
6400,2544
6408,2295
6392,2798
6424,1806
6411,2209
6427,1713
6422,1868
6423,1837
3100,6544
6415,2084
6387,2952
6408,2301
6402,2487
6463,595
6415,2083
6402,2486
6432,1556
6428,1679
6422,1865
6402,2485
6396,2671
6409,2268
6412,2182
6423,1841
6424,1810
6412,2181
6465,538
6402,2491
6459,723
6385,3017
6408,2304
6412,2180
6393,2769
6419,1962
6399,2582
6396,2675
6397,2651
6386,2992
3243,2119
6430,1627
6399,2588
1172,784
6398,2618
6413,2153
6424,1812
6385,3020
2192,1933
6408,2314
6421,1911
1160,1159
6421,1910
6408,2313
6403,2468
6388,2933
6418,2003
6397,2654
6384,3056
6427,1723
6392,2808
6385,3024
6421,1908
6396,2683
6419,1970
6423,1846
6400,2559
6432,1567
6424,1822
6415,2101
6421,1914
5351,2317
6432,1572
6415,2099
6427,1727
6397,2656
6402,2508
6392,2818
6390,2880
6415,2105
6421,1919
6397,2663
6462,648
6410,2259
6418,2011
1118,2470
6405,2413
6418,2010
6402,2505
3298,427
3219,2876
6409,2295
6387,2977
4197,5330
6446,1147
6385,3038
6412,2200
6424,1828
6389,2912
6425,1796
6405,2416
6460,711
6414,2144
6392,2826
6476,221
6422,1894
6391,2855
6415,2111
6385,3041
4298,2201
8409,5838
6392,2823
6399,2613
6429,1683
6397,2675
6389,2923
6476,226
8413,5708
6404,2457
6389,2922
6423,1868
6424,1837
8408,5864
3101,6544
6476,224
6390,2890
6400,2580
6389,2920
6475,254
6404,2455
6390,2889
6392,2834
6385,3051
3254,1806
6421,1934
6412,2213
6424,1841
6399,2615
6410,2274
6460,723
3233,2458
6408,2342
6423,1877
6424,1846
6415,2125
6429,1690
6432,1597
6421,1938
6395,2744
6396,2712
6421,1937
6413,2185
6397,2681
6417,2061
6396,2711
6419,1998
6409,2308
3259,1656
6399,2625
6423,1881
6431,1633
6475,269
6476,238
6396,2716
6421,1940
6409,2312
3297,482
6429,1699
6432,1606
6423,1884
6418,2039
6415,2132
6402,2535
6476,240
6402,2534
6412,2223
6448,1107
6404,2478
6425,1827
6426,1796
6423,1889
3299,427
6393,2818
6430,1671
6419,2012
6419,2011
6423,1887
6432,1608
6402,2538
6411,2259
6418,2041
3263,1544
6388,2978
6408,2358
6423,1893
6476,250
6431,1644
6402,2543
6418,2047
5338,2760
6389,2945
6400,2604
5336,2820
6465,595
6463,656
6402,2547
6425,1834
6404,2485
6424,1865
6408,2360
6460,748
3141,5335
6432,1615
6418,2049
6404,2483
6423,1894
6431,1646
1110,2760
4286,2606
6463,661
6432,1622
6397,2707
4190,5587
6388,2985
6414,2179
6393,2829
6426,1806
6424,1868
6408,2364
6389,2952
6396,2735
6411,2277
6410,2308
6398,2680
5360,2089
6431,1656
6399,2648
6415,2152
6409,2338
6387,3020
3255,1806
6475,291
6409,2337
6476,260
6428,1747
6385,3080
6435,1537
6388,2994
6431,1661
1135,1994
6424,1877
6421,1970
6409,2342
6413,2218
8413,5750
6419,2030
6412,2247
5247,5595
6402,2564
6417,2099
6389,2966
6394,2811
6432,1633
8412,5792
1187,387
6403,2531
6396,2748
6432,1632
6397,2716
6390,2940
6398,2692
6436,1514
6404,2506
6401,2599
6435,1544
6459,800
6419,2040
6417,2101
6399,2658
6397,2720
6390,2944
6419,2044
5350,2416
6429,1733
6423,1919
6424,1887
6409,2352
6431,1670
6402,2569
6411,2290
4308,1948
6424,1894
6388,3010
6432,1646
6476,281
6429,1738
6414,2203
6403,2544
3259,1702
6404,2512
6399,2667
6408,2387
6478,224
6390,2952
6431,1681
6408,2394
6475,317
6471,441
6397,2734
6431,1680
6418,2083
6409,2362
6421,1990
6414,2206
6395,2795
6406,2454
6396,2764
6478,221
6425,1864
6463,693
6429,1747
6418,2088
6400,2646
8421,5524
1113,2700
6476,289
6402,2582
6475,319
6415,2179
6401,2613
6421,1993
5337,2828
6419,2054
6386,3077
6414,2209
6415,2178
6401,2619
6402,2588
6426,1843
6389,2990
4302,2152
6409,2369
6432,1656
6387,3051
6418,2090
4186,5745
6423,1934
6402,2585
6475,329
6401,2622
6414,2219
6401,2621
6435,1567
6390,2961
6436,1542
6411,2317
6401,2627
6389,2999
6395,2812
6401,2626
6404,2532
6414,2222
6421,2005
6421,2011
6478,244
6397,2755
6421,2010
6402,2599
6396,2785
6423,1948
6413,2257
6407,2443
6389,3001
6431,1699
6427,1822
6408,2411
6421,2008
6475,334
6419,2070
6424,1915
6393,2883
6408,2418
6460,806
6415,2201
6465,651
6428,1797
6397,2758
4308,1982
2192,2039
6463,711
6402,2602
6421,2013
6424,1920
6422,1982
1120,2505
6424,1919
6431,1702
6418,2105
3145,5266
4320,1608
6398,2732
6425,1894
6465,654
6418,2111
6478,250
6410,2358
6402,2606
6427,1830
6394,2853
6418,2109
6414,2233
6392,2915
6402,2605
4302,2170
6426,1868
6475,349
6403,2580
6419,2084
6402,2611
6423,1959
6422,1990
4320,1615
6432,1679
6396,2795
6406,2492
6427,1841
6424,1934
6421,2027
6419,2088
6465,661
6463,723
6431,1715
5359,2178
6402,2613
6408,2427
6409,2403
6419,2093
6421,2031
4303,2152
6476,324
6408,2432
6399,2711
6400,2680
6401,2649
6419,2090
6421,2028
8424,5478
6396,2809
6423,1972
6404,2561
6409,2405
6424,1940
6415,2219
1191,324
6308,5536
6408,2435
6402,2621
6431,1722
6414,2256
6430,1759
6432,1697
6389,3030
6419,2099
6401,2657
6431,1727
6426,1881
6401,2656
6409,2408
6421,2036
6404,2570
6397,2787
6432,1702
3295,643
5337,2878
6397,2786
6401,2662
6400,2692
6414,2257
6396,2815
6432,1699
6419,2102
6409,2419
6435,1613
6394,2884
6413,2294
6403,2604
6410,2387
6409,2418
6404,2572
6392,2944
1118,2599
6414,2261
6432,1703
6438,1517
6397,2788
6421,2044
6397,2795
6427,1865
6463,748
6419,2112
6421,2049
6440,1460
6425,1925
6419,2111
4303,2170
6432,1707
6478,281
6423,1993
6417,2178
6406,2519
6478,287
6396,2829
6400,2705
6397,2798
6432,1713
5356,2302
6414,2270
6394,2890
6401,2673
6399,2735
6423,1990
6389,3044
6418,2152
6396,2833
6431,1748
6404,2585
6430,1779
3295,661
6419,2118
6478,289
6427,1877
6424,1970
6431,1752
6476,357
6438,1535
6436,1597
6427,1876
6404,2589
4195,5533
6401,2681
6423,1998
6415,2253
6399,2749
6393,2935
6402,2656
6408,2470
6432,1726
6412,2345
6404,2593
4186,5816
6426,1910
6404,2591
6400,2715
6415,2257
6481,211
6419,2133
6392,2970
6421,2070
6414,2287
6423,2008
6415,2255
6430,1790
6434,1666
6409,2441
6478,302
6429,1820
6431,1758
6432,1727
6459,890
6402,2664
6432,1734
6465,711
6397,2819
6408,2478
6396,2850
6411,2385
6423,2012
6421,2074
6431,1764
4312,1918
6423,2011
6476,368
6412,2351
6423,2010
6430,1793
6397,2823
6427,1893
1131,2226
6392,2977
6460,869
6411,2387
6390,3038
6398,2790
6418,2169
6412,2355
6421,2076
6419,2138
6404,2603
6393,2944
6424,1990
6421,2083
6404,2610
6400,2734
5361,2174
4280,2917
6397,2826
6409,2454
6419,2144
5376,1710
4284,2794
6432,1740
6421,2081
6400,2732
5332,3071
6402,2669
6436,1615
6465,723
6436,1622
3233,2609
6408,2489
6418,2179
6402,2675
6424,1993
6395,2892
6431,1776
6404,2613
6400,2736
6397,2829
6426,1929
6421,2084
6419,2146
6435,1657
6397,2835
6436,1626
6413,2339
6424,1998
5364,2089
6392,2989
6409,2462
6407,2524
6481,230
6402,2679
6410,2431
6396,2865
6404,2616
6414,2306
6402,2678
6395,2895
6432,1748
6401,2709
3233,2615
6421,2088
4324,1560
6475,421
6409,2466
6404,2621
6432,1752
6437,1597
6478,326
6476,387
6402,2681
6412,2371
6432,1751
6424,2006
6396,2873
6475,424
6409,2470
6421,2098
6397,2841
6424,2003
6418,2189
6424,2010
6426,1948
6412,2381
6439,1544
6438,1575
6392,3001
6427,1915
6424,2008
6438,1574
6423,2039
6440,1512
6404,2628
6412,2380
6418,2193
6425,1976
6409,2479
6419,2169
6439,1548
6400,2757
6404,2633
6431,1796
6424,2013
6423,2044
1113,2813
6427,1919
6399,2787
6406,2570
6421,2105
6408,2508
6462,834
6423,2042
6437,1608
6436,1646
6399,2793
6437,1615
6406,2576
6421,2111
6397,2855
6423,2049
4282,2883
6476,405
6440,1520
6421,2109
6418,2202
6418,2201
6401,2728
6463,806
6396,2890
6409,2487
6435,1681
3233,2637
6396,2889
6439,1556
6478,347
6409,2486
6410,2454
6409,2485
6438,1586
6440,1524
6419,2175
6404,2640
6465,748
6396,2887
8419,5709
6421,2119
6418,2212
6406,2584
6415,2304
6437,1622
3129,5864
6419,2179
6399,2798
6419,2178
6415,2302
6431,1806
6411,2433
6438,1596
6414,2340
6402,2711
6415,2308
6411,2431
1118,2675
4325,1560
6415,2306
1018,5776
6407,2561
6402,2716
6404,2654
6440,1538
6394,2963
6419,2188
6427,1940
6439,1567
6393,2993
6476,419
6440,1535
6478,357
6439,1573
6481,271
6402,2720
1118,2681
6439,1572
6431,1818
6423,2073
6393,3003
6478,368
6407,2569
4298,2411
6399,2816
6396,2909
6406,2599
2078,5693
6431,1822
6397,2876
6418,2232
6423,2076
6415,2323
6424,2044
6435,1703
6409,2508
6424,2043
6402,2725
6423,2074
6404,2669
6429,1894
6419,2203
6397,2885
6431,1830
6414,2357
8421,5683
6438,1620
6432,1806
6419,2209
6421,2147
6418,2240
6399,2829
6421,2146
6411,2456
6402,2735
6440,1556
6426,1990
6413,2393
6423,2083
6402,2734
6411,2455
6412,2424
3233,2671
6440,1555
6421,2144
6408,2547
6396,2919
6404,2678
6432,1810
6431,1841
6394,2987
6462,879
6423,2088
6401,2770
6396,2925
6308,5653
6415,2335
6401,2769
6410,2489
6430,1876
6407,2589
6478,387
4322,1688
6431,1843
6432,1812
6415,2338
6439,1594
6421,2152
6440,1563
2078,5715
5337,2994
5368,2034
6402,2746
6419,2219
6406,2622
6415,2342
6429,1908
6406,2621
6440,1567
6404,2683
6475,482
3237,2558
6432,1822
6440,1574
5337,2998
6484,209
6409,2534
6393,3030
1120,2652
5368,2038
6432,1820
6418,2254
6421,2161
6435,1727
6406,2626
6408,2564
3267,1633
6432,1819
6410,2501
6480,331
6424,2074
6423,2105
6436,1702
6429,1918
6404,2693
6415,2352
6412,2445
6414,2382
6396,2940
3209,3435
6418,2257
6436,1699
6465,800
6440,1575
6463,869
1018,5821
6475,496
6465,806
6424,2076
6418,2262
6421,2169
6432,1828
6396,2944
6398,2882
6397,2912
6484,215
6441,1548
6419,2237
6402,2764
6421,2174
6429,1925
6439,1615
6423,2111
6431,1862
6411,2482
6415,2358
6411,2489
6421,2179
6432,1837
6419,2240
6421,2178
6431,1868
6413,2426
6401,2798
6438,1650
6424,2084
6404,2704
1185,654
6424,2083
6476,471
6396,2958
6422,2152
6411,2493
6423,2121
6408,2585
6431,1872
6440,1593
6417,2306
6432,1841
6398,2894
6418,2274
6448,1344
6402,2770
6417,2304
6439,1622
6423,2125
6432,1846
6398,2900
6406,2651
6414,2403
6476,480
6396,2960
6408,2588
6396,2959
6406,2649
6417,2308
6425,2060
6411,2501
6395,2997
6439,1633
6404,2718
3238,2558
6405,2686
6406,2654
6415,2375
6412,2468
5350,2621
6425,2064
6437,1699
6419,2257
6440,1606
6427,2008
6440,1605
6421,2194
3233,2716
6404,2720
6414,2410
6394,3030
3264,1758
6438,1665
6409,2564
6421,2199
6426,2044
6415,2385
6427,2013
6424,2105
6405,2694
6402,2787
6394,3035
6431,1887
6427,2011
6440,1608
6409,2569
6426,2042
6408,2599
6421,2196
6396,2971
6421,2203
6402,2792
6435,1768
6399,2883
6401,2821
6480,372
6415,2387
6419,2262
6397,2944
6401,2820
3233,2726
6418,2300
6484,254
6423,2144
6401,2826
6408,2608
6443,1522
6396,2979
6440,1615
6409,2576
6424,2111
6439,1646
6440,1622
6484,258
6418,2304
4320,1805
6402,2798
6440,1620
6421,2209
6422,2178
6432,1868
6418,2302
6395,3015
6406,2673
6408,2611
6404,2735
6419,2270
6423,2146
6418,2308
6403,2773
6397,2959
6423,2152
6432,1873
6421,2214
6404,2741
6439,1656
6441,1593
6481,353
6408,2616
6408,2615
6421,2212
6478,445
6415,2405
6404,2746
6440,1630
3261,1873
6475,544
6396,2993
6476,513
6432,1877
6417,2342
6415,2403
6421,2216
6396,2991
6426,2061
6398,2929
6406,2681
4327,1595
6440,1633
6406,2687
6401,2842
6397,2966
6440,1632
6460,1012
6419,2283
1196,357
6402,2809
6418,2313
6431,1910
6476,522
6409,2599
6396,3001
6402,2815
6484,273
2078,5785
6431,1915
6424,2132
6415,2411
3313,271
6431,1921
6400,2882
6423,2169
6404,2758
6424,2138
6402,2820
1189,580
6432,1889
6441,1610
6427,2044
6402,2819
6441,1609
6432,1887
6440,1646
6429,1987
6404,2762
6432,1894
3234,2726
6430,1955
6417,2358
6421,2233
6409,2605
6465,869
6422,2201
6427,2046
6415,2418
6463,930
6419,2294
6403,2790
6435,1805
6440,1650
6439,1681
6409,2611
6399,2920
6426,2083
6484,285
6414,2455
3248,2295
6397,2981
6395,3043
6440,1648
6439,1679
6424,2144
6414,2454
8438,5251
6424,2143
6418,2336
6476,538
6400,2894
6396,3017
6423,2179
6409,2613
8430,5495
6424,2147
6396,3015
6421,2240
6435,1806
6431,1937
6396,3022
6478,480
6395,3052
6421,2246
6415,2431
6396,3020
6418,2338
6484,291
6417,2375
6431,1940
4284,2962
6432,1908
6409,2621
6415,2435
6402,2838
5385,1596
6436,1783
6421,2255
6402,2844
6408,2658
6426,2099
6465,890
6440,1665
6484,300
6429,2005
6399,2935
6408,2656
6412,2531
6411,2569
