award_1,award_2
2466,6498
6660,7555
320,7499
2470,6385
2470,6387
6660,7574
353,6481
2470,6392
2466,6515
2469,6428
2469,6436
2470,6408
2469,6438
2470,6409
8630,12054
355,6446
8630,12063
353,6511
8630,12064
2468,6488
320,7546
355,6462
2470,6438
353,6532
353,6538
353,6539
2466,6574
353,6542
2470,6452
2469,6488
321,7544
2470,6464
2466,6591
354,6530
2469,6502
355,6507
355,6508
355,6510
357,6459
357,6460
357,6463
355,6525
357,6465
8782,7432
357,6476
357,6478
361,6377
359,6442
357,6507
2473,6449
357,6513
2474,6425
357,6520
2476,6370
357,6525
2474,6436
2476,6373
357,6533
2476,6379
2476,6385
361,6416
357,6541
358,6513
357,6553
2474,6464
357,6560
332,7336
363,6377
8787,7383
2476,6414
2473,6514
2476,6423
332,7352
2474,6488
2475,6458
2473,6522
8787,7394
2474,6498
2478,6374
2478,6373
2476,6435
2478,6378
2474,6502
2476,6439
364,6377
2473,6537
8637,12064
2478,6385
363,6416
2476,6452
2478,6389
364,6388
12843,12758
2474,6515
2478,6402
333,7360
2478,6404
2479,6372
2478,6408
359,6560
2478,6414
2479,6382
2478,6419
361,6512
2478,6421
2478,6424
361,6523
332,7423
2479,6402
2480,6374
2478,6435
2480,6373
2480,6375
2479,6409
2478,6440
2474,6563
2478,6439
2480,6379
2480,6381
2480,6385
2473,6606
364,6454
365,6425
363,6488
363,6489
2478,6464
2480,6402
2479,6432
364,6462
2479,6437
2479,6436
362,6528
366,6405
367,6385
8786,7544
367,6387
363,6512
2480,6421
2479,6455
363,6523
2480,6439
2482,6380
8787,7536
366,6446
2479,6483
364,6512
2482,6396
367,6426
2476,6584
8792,7394
363,6555
2480,6468
2479,6498
367,6435
364,6530
2479,6502
365,6502
2482,6411
2482,6414
367,6452
2483,6394
332,7544
2482,6431
2483,6404
369,6404
369,6411
369,6414
2483,6421
2478,6584
368,6460
369,6431
368,6463
2485,6372
368,6465
333,7550
2482,6470
2485,6378
2483,6445
2485,6385
368,6476
369,6445
368,6478
367,6510
2256,13488
369,6454
369,6458
2486,6372
369,6462
2485,6402
2486,6373
2485,6404
2482,6497
2486,6376
2486,6375
2485,6409
372,6377
2486,6380
2486,6379
2486,6381
2485,6414
369,6475
2486,6385
369,6478
2486,6387
370,6454
2486,6396
2480,6584
368,6520
2486,6402
2487,6370
2483,6494
368,6525
2487,6373
2487,6372
2486,6409
368,6533
2487,6381
2484,6474
368,6541
367,6573
2486,6421
2485,6452
2486,6424
2487,6393
2486,6423
2483,6516
2487,6397
2486,6427
2487,6399
367,6586
2487,6402
369,6525
2486,6435
2486,6440
2487,6409
2484,6502
2486,6439
2487,6415
370,6508
2487,6419
2486,6452
2487,6421
2487,6426
373,6426
2489,6369
2489,6370
2487,6435
2489,6373
2489,6374
2487,6436
2486,6470
2489,6379
369,6563
2489,6381
2487,6444
2489,6384
2489,6389
371,6510
372,6480
2489,6393
372,6484
2489,6394
2488,6430
2489,6399
372,6489
2487,6470
2489,6408
2489,6411
2489,6410
2488,6444
2489,6415
2489,6417
372,6507
2489,6421
372,6512
2489,6423
2489,6431
374,6459
372,6523
2489,6432
2491,6373
2491,6375
2491,6374
2489,6439
372,6530
2491,6379
371,6563
2491,6381
2491,6385
2486,6543
373,6513
371,6578
372,6548
2489,6458
8800,7423
2491,6402
373,6530
2489,6473
8800,7444
2488,6506
2491,6419
2491,6421
374,6513
8802,7388
373,6548
2491,6431
2492,6406
2491,6439
2493,6376
2491,6440
379,6377
2493,6383
377,6442
374,6535
8800,7478
2492,6419
8805,7329
8652,12068
2486,6613
2492,6430
2487,6584
2493,6401
374,6553
2493,6411
8653,12065
8653,12060
2487,6603
379,6416
380,6385
2493,6427
8653,12070
378,6463
379,6433
8805,7386
378,6478
379,6448
2493,6450
380,6426
2489,6584
2489,6586
2494,6447
380,6448
2493,6482
378,6513
8802,7518
379,6484
379,6489
8805,7423
378,6525
380,6476
379,6523
2493,6527
8657,12063
2493,6536
8807,7425
386,6370
386,6385
2495,6549
386,6396
2501,6369
2495,6558
2501,6380
2500,6414
2500,6418
350,7550
2501,6411
386,6439
2501,6410
2501,6431
2500,6468
2503,6387
385,6510
2501,6453
382,6606
2502,6425
387,6459
387,6460
387,6463
387,6465
2501,6473
8839,6599
2501,6474
2501,6477
387,6476
2503,6419
387,6478
2505,6379
2505,6385
387,6513
2502,6488
387,6520
2505,6402
387,6525
2501,6529
2502,6498
2506,6373
2506,6375
2502,6502
2506,6380
2506,6379
387,6533
2506,6381
2506,6385
2505,6419
387,6541
2505,6418
386,6573
388,6513
2506,6396
387,6553
2506,6404
2505,6439
387,6560
2505,6440
2506,6419
2506,6421
2506,6423
2506,6427
2501,6585
2508,6370
2506,6431
2508,6374
2508,6373
394,6373
2506,6439
2506,6452
2508,6389
390,6513
2508,6393
2508,6397
2508,6399
2508,6402
2508,6401
8844,6599
2508,6408
394,6407
2508,6409
2509,6380
394,6412
2508,6415
2509,6384
2508,6418
2508,6417
2508,6421
2508,6424
2508,6423
2509,6396
2508,6432
8845,6589
392,6513
2508,6453
2508,6456
2508,6458
2509,6435
2508,6468
2511,6375
394,6476
393,6513
2509,6461
2512,6375
2509,6470
2511,6413
394,6510
8671,12072
2512,6404
2513,6379
2513,6381
8671,12089
2512,6419
2512,6421
394,6553
2508,6555
2514,6371
2512,6440
2513,6413
394,6584
2512,6468
2515,6374
2513,6439
2515,6381
2511,6509
2515,6385
8825,7386
397,6521
8825,7394
2511,6527
2514,6438
2510,6563
8675,12063
2516,6382
8675,12065
8675,12060
8675,12070
2515,6421
397,6546
2516,6395
398,6521
8825,7425
2515,6439
2514,6471
2513,6509
367,7499
403,6385
398,6546
367,7521
8829,7352
8825,7478
2516,6447
367,7531
2518,6388
400,6513
2514,6515
369,7475
403,6426
8825,7503
6564,12058
367,7555
6564,12060
6564,12070
367,7569
8828,7426
6564,12074
369,7509
8828,7427
2519,6406
6564,12089
8829,7412
8857,6545
406,6388
402,6519
8829,7423
406,6404
369,7556
369,7557
406,6411
407,6385
8829,7444
407,6387
2520,6430
405,6460
405,6462
406,6431
405,6476
373,7487
371,7550
2523,6393
407,6452
408,6433
406,6504
8828,7571
2524,6393
2524,6399
2523,6435
2524,6407
405,6573
408,6484
8684,12068
373,7569
8684,12070
8867,6397
2526,6368
2524,6444
2526,6386
2526,6388
6753,6420
2526,6398
2526,6400
408,6523
6719,7499
409,6513
407,6584
414,6370
407,6605
2525,6487
8837,7423
2527,6430
209,12758
2526,6485
414,6426
2523,6584
416,6369
415,6405
416,6378
412,6513
8840,7386
414,6459
2531,6368
416,6404
416,6410
416,6414
415,6446
2531,6386
413,6513
416,6426
2531,6398
2532,6370
2531,6400
416,6430
2531,6403
416,6431
2532,6380
2531,6412
416,6445
416,6446
418,6384
6753,6604
414,6513
380,7569
2532,6396
416,6462
2532,6404
2530,6466
2532,6414
416,6473
2532,6415
415,6510
2532,6424
2530,6486
2532,6423
414,6548
418,6426
2530,6492
2534,6370
2532,6432
414,6553
416,6494
2534,6374
2534,6373
2534,6376
2534,6375
2532,6439
416,6502
2534,6381
2532,6445
414,6573
2534,6389
2531,6485
2534,6397
2534,6399
2534,6402
2535,6373
2535,6372
416,6526
414,6588
2535,6374
2532,6470
2535,6379
2534,6409
2535,6381
2531,6504
2535,6385
2534,6415
2534,6419
2534,6421
2534,6424
2534,6427
419,6459
2532,6494
419,6460
2535,6402
419,6463
2536,6374
2534,6435
2536,6373
419,6465
2530,6562
416,6559
2534,6439
391,7341
8843,7478
419,6476
2536,6385
421,6416
2535,6419
417,6541
2535,6421
2534,6458
2536,6396
2535,6429
8845,7423
2537,6368
420,6463
421,6433
217,12758
2535,6439
2534,6472
2530,6595
2535,6440
391,7373
416,6602
421,6448
2537,6388
423,6388
419,6513
2536,6421
8846,7423
423,6398
2537,6400
423,6400
386,7547
2538,6372
422,6433
2538,6373
2536,6440
419,6533
2537,6412
2538,6381
421,6475
2538,6385
420,6513
386,7567
421,6484
386,7569
391,7416
421,6489
419,6553
2538,6402
2534,6527
391,7429
424,6416
2538,6421
2539,6394
421,6523
241,12104
424,6433
424,6448
426,6388
2537,6485
2537,6487
423,6485
421,6548
425,6426
425,6433
221,12758
422,6530
423,6504
424,6475
2540,6419
424,6484
8846,7544
2542,6368
424,6489
394,7419
2540,6429
391,7518
2540,6440
8877,6599
2536,6582
424,6523
2543,6372
2543,6375
2543,6374
424,6530
2539,6502
2543,6381
2542,6418
2542,6422
424,6548
426,6489
2543,6402
224,12758
425,6530
427,6481
2538,6582
2544,6400
427,6493
6765,6620
2544,6403
2543,6437
426,6530
427,6505
427,6507
427,6511
431,6405
427,6532
427,6538
427,6539
6741,7412
427,6542
2547,6370
2547,6373
2547,6372
2547,6375
2547,6374
428,6530
2547,6379
2547,6381
2543,6509
2547,6389
431,6454
432,6426
431,6462
2547,6402
434,6373
2547,6408
402,7368
2544,6504
8707,12063
8707,12060
2547,6418
2547,6421
2547,6423
2319,13490
431,6491
2547,6435
431,6508
431,6510
2549,6398
2547,6468
436,6377
432,6510
434,6453
435,6425
434,6460
2550,6403
436,6404
431,6573
2548,6486
431,6579
433,6533
436,6445
2548,6509
8862,7388
2551,6419
433,6541
2551,6418
434,6510
434,6513
2549,6487
2551,6431
433,6560
435,6498
439,6377
2551,6440
2550,6485
437,6460
435,6523
436,6494
440,6370
437,6465
440,6373
2551,6468
436,6512
8861,7478
435,6546
436,6517
440,6393
435,6549
440,6399
435,6555
436,6526
436,6530
2555,6383
437,6507
437,6513
8862,7478
435,6578
440,6425
440,6426
442,6368
8866,7373
2553,6464
442,6371
437,6533
437,6541
438,6513
2554,6457
439,6493
441,6433
8716,12057
8716,12058
437,6560
6753,7375
8658,13862
8716,12065
442,6412
8864,7478
8866,7412
2555,6450
8716,12068
441,6460
406,7547
444,6370
441,6465
238,12758
8716,12089
444,6373
443,6405
441,6471
8893,6599
439,6538
2554,6509
439,6539
8866,7444
439,6542
2555,6482
8867,7423
442,6459
442,6460
2555,6500
442,6476
8867,7444
407,7569
443,6454
442,6487
2559,6400
443,6462
240,12758
444,6435
2555,6536
2560,6387
442,6513
444,6455
2561,6367
443,6491
442,6530
445,6442
2561,6385
443,6508
8866,7544
443,6510
2560,6423
442,6548
440,6610
444,6491
6753,7527
2561,6404
445,6465
2561,6407
444,6502
445,6478
444,6510
8898,6589
2562,6397
8871,7423
446,6463
2560,6474
2559,6504
2561,6445
2562,6418
446,6478
444,6543
445,6513
8900,6549
8900,6550
2561,6456
443,6579
2564,6367
2564,6372
2564,6374
414,7487
8900,6563
2562,6440
445,6533
2564,6379
2564,6382
2561,6477
449,6412
2564,6385
2564,6390
444,6573
450,6388
8873,7423
446,6513
2564,6402
444,6586
2562,6468
2564,6408
2564,6409
8873,7444
2563,6447
451,6384
448,6480
2564,6421
2561,6517
2564,6426
2564,6429
2564,6432
2564,6431
2564,6436
246,12758
452,6373
2564,6440
447,6530
451,6426
451,6428
452,6399
2560,6588
2567,6373
2567,6372
2567,6375
2564,6468
8879,7315
2567,6379
452,6407
2566,6418
2566,6422
8872,7544
450,6489
2568,6369
8878,7373
2568,6379
450,6504
2567,6419
2567,6421
450,6512
8877,7425
8873,7544
449,6548
2567,6429
2569,6367
2568,6397
451,6489
452,6460
2569,6370
8879,7373
2569,6373
2565,6498
451,6498
2569,6376
450,6530
2569,6379
2567,6440
8878,7412
2569,6381
451,6502
2569,6385
452,6476
2569,6387
2568,6418
451,6512
2568,6424
2569,6396
454,6426
2569,6399
8878,7423
2570,6367
2570,6370
6798,6374
2569,6402
250,12758
2569,6407
2567,6468
2570,6378
2569,6409
451,6530
2569,6411
8878,7444
2569,6414
452,6510
2569,6421
2570,6392
2569,6423
8879,7426
2569,6424
2569,6427
2569,6428
2569,6431
2569,6432
2570,6404
2569,6435
6799,6375
2570,6406
2569,6436
2569,6439
2568,6472
2570,6414
8879,7450
2569,6453
2569,6452
8878,7478
2569,6456
452,6548
456,6426
455,6459
455,6460
452,6553
2572,6369
455,6463
455,6465
6800,6375
2570,6439
2569,6470
2569,6473
2572,6380
2570,6444
2572,6381
2569,6477
2570,6445
2572,6385
452,6573
2572,6396
2572,6397
2570,6464
2573,6371
2572,6404
2569,6496
2569,6498
2570,6470
2572,6414
8879,7503
2572,6421
455,6513
2572,6423
2567,6584
2572,6431
2569,6527
6796,6565
254,12758
460,6373
8884,7373
455,6533
2574,6382
2569,6543
2574,6392
8880,7518
6796,6589
455,6553
8884,7407
455,6560
2572,6470
8884,7412
2574,6419
460,6425
460,6426
2576,6370
2576,6372
2576,6373
2574,6438
2574,6437
2574,6440
2576,6382
2569,6603
8884,7444
2576,6392
460,6453
2576,6393
2574,6455
2569,6613
8885,7423
6802,6468
2576,6399
2574,6464
2576,6406
425,7550
6803,6439
2576,6409
460,6476
8885,7444
2573,6515
2576,6429
460,6491
2576,6436
258,12758
2575,6469
2576,6438
2576,6437
460,6498
464,6377
2575,6479
8885,7478
2576,6464
2577,6449
8884,7544
459,6575
2576,6488
2579,6397
2580,6368
6807,6403
2575,6524
2576,6498
2573,6591
2576,6502
8885,7544
460,6573
2580,6398
2580,6400
2580,6403
2581,6375
2574,6591
2581,6376
2579,6438
2581,6381
435,7376
2581,6389
2577,6514
6806,6485
2581,6392
464,6484
466,6426
464,6489
2577,6522
2582,6370
8890,7425
2582,6373
6808,6440
463,6530
2581,6411
2577,6537
8893,7352
2582,6381
6807,6485
6805,6546
2581,6419
464,6512
2579,6487
2582,6396
2581,6427
2582,6399
464,6523
2582,6402
2578,6526
6811,6374
6811,6381
6811,6379
464,6530
2581,6440
6811,6389
2582,6413
2582,6415
6810,6417
8893,7383
6810,6421
2582,6421
2582,6426
2580,6487
6809,6465
6810,6439
6811,6408
434,7487
465,6530
6811,6417
6811,6421
8893,7417
6811,6423
2577,6606
432,7569
8893,7423
2582,6461
8920,6598
2585,6372
2581,6496
2585,6375
2582,6468
2584,6406
6811,6439
2582,6470
2582,6472
2581,6509
8893,7444
6811,6456
8921,6589
2585,6394
6811,6458
2585,6397
472,6369
6814,6374
2585,6402
6814,6380
2585,6404
2584,6438
6811,6477
2585,6408
472,6377
6811,6474
2585,6417
2585,6418
6814,6389
6814,6396
2585,6422
6815,6368
469,6489
6814,6408
2582,6527
6815,6374
6814,6405
2585,6437
6815,6380
6814,6423
2584,6488
471,6459
471,6460
2588,6370
2588,6372
472,6431
471,6463
6815,6408
2588,6374
471,6465
2588,6373
6814,6444
2588,6375
2584,6502
469,6530
2588,6379
2585,6472
2588,6381
8747,12065
2581,6601
6811,6545
471,6476
6815,6423
6814,6458
2588,6393
2588,6399
6815,6436
2588,6402
472,6463
6810,6595
6814,6470
2588,6408
6815,6444
6816,6418
2589,6380
2589,6385
2588,6415
2588,6418
471,6512
471,6513
2588,6421
2587,6455
2588,6423
6815,6458
2589,6396
2588,6435
2589,6404
2589,6407
471,6530
6815,6477
471,6533
2587,6474
472,6504
2589,6415
475,6412
2588,6452
470,6573
8902,7329
8899,7423
472,6512
2589,6423
472,6513
2589,6426
2589,6430
471,6553
2591,6373
6816,6468
2591,6374
6814,6535
472,6530
2591,6381
6818,6413
6813,6575
8899,7444
8900,7423
473,6513
2589,6456
2590,6429
478,6371
2586,6559
2591,6404
2591,6421
8902,7394
6818,6457
478,6398
2589,6494
2593,6373
2593,6374
2593,6381
478,6412
2588,6543
2589,6517
2589,6516
478,6425
8902,7423
6822,6374
2594,6371
2589,6529
2592,6435
2593,6404
6822,6379
2594,6380
2594,6379
6822,6381
2594,6382
474,6566
2594,6381
2594,6385
8899,7544
2594,6387
6822,6396
6817,6549
2594,6396
2588,6584
2595,6372
2593,6439
6821,6440
6818,6537
449,7373
474,6600
2594,6415
8754,12060
2594,6418
6822,6423
8900,7544
6822,6421
2594,6424
2594,6423
2595,6394
476,6548
6817,6589
6822,6439
479,6463
2594,6436
6824,6381
477,6530
2594,6439
6824,6379
482,6377
2595,6412
476,6573
6819,6546
444,7569
2595,6429
480,6459
6819,6561
2594,6461
480,6460
8905,7425
481,6431
480,6465
2595,6437
2595,6436
2594,6470
2594,6471
2597,6380
6820,6546
480,6476
6824,6421
481,6446
480,6478
482,6416
479,6513
2597,6394
479,6517
449,7450
481,6462
482,6433
6824,6439
483,6407
482,6442
481,6478
482,6448
480,6513
480,6520
8934,6589
480,6525
2599,6372
2597,6436
2599,6374
2599,6376
2599,6379
480,6533
2599,6381
2599,6382
482,6475
2599,6384
2599,6387
6826,6424
2599,6389
482,6480
481,6513
2599,6392
482,6484
2596,6490
2599,6397
482,6489
452,7419
2599,6401
480,6553
2596,6495
2599,6402
481,6525
6826,6439
2599,6406
2599,6409
6797,7341
2599,6408
2597,6470
2597,6474
449,7527
2599,6415
6795,7412
2599,6419
2594,6574
2599,6418
2599,6421
482,6512
6823,6546
2599,6422
2599,6424
6826,6457
2599,6426
2597,6488
2599,6429
482,6523
2599,6432
449,7550
2599,6436
2599,6439
2599,6438
482,6530
2599,6440
2597,6502
2594,6601
6796,7412
6796,7415
2598,6488
482,6548
6825,6527
488,6367
6830,6375
2599,6464
2596,6562
488,6373
2599,6468
482,6560
483,6530
6826,6506
2602,6379
2602,6381
452,7499
488,6385
485,6478
8761,12070
481,6602
6797,7412
6825,6551
488,6390
2602,6396
488,6393
6828,6465
6826,6527
2597,6555
6830,6401
2602,6402
488,6399
6796,7460
2603,6374
488,6407
6795,7500
2603,6381
485,6504
8761,12089
6825,6577
2602,6419
2602,6421
2601,6455
6827,6523
488,6426
2604,6368
6829,6465
484,6555
490,6370
2603,6402
2603,6404
488,6435
490,6373
2602,6440
2602,6439
6796,7500
2603,6419
2603,6418
2603,6421
488,6452
452,7569
2603,6429
2604,6400
6832,6403
2605,6372
2604,6403
2605,6375
285,12758
2605,6376
2605,6379
2603,6440
2605,6381
489,6442
2605,6382
490,6412
2605,6392
2599,6580
2605,6397
490,6425
2605,6396
8914,7425
2606,6372
2605,6402
2599,6591
2606,6373
2606,6375
488,6498
2603,6468
2605,6409
6828,6574
2606,6381
2605,6418
2605,6421
2605,6423
490,6453
2605,6424
2606,6396
2605,6427
2599,6613
2605,6429
2606,6402
2605,6432
2605,6437
287,12758
2605,6439
6833,6440
6832,6485
2606,6421
2604,6485
2604,6487
492,6426
6834,6440
2608,6374
492,6433
2608,6376
2605,6468
2606,6440
2605,6472
489,6546
8920,7329
492,6459
488,6584
2608,6402
491,6493
6835,6440
2606,6468
492,6465
289,12758
2608,6408
8768,12058
2609,6384
2608,6415
8768,12068
8768,12070
8768,12063
488,6603
490,6543
8945,6589
2608,6427
494,6426
8945,6599
460,7487
8768,12081
2610,6378
496,6377
2609,6411
8768,12089
491,6538
8920,7383
492,6513
2608,6455
2611,6367
6836,6465
8770,12054
8921,7373
2609,6435
2610,6404
2611,6372
2611,6375
8920,7412
2611,6382
2609,6444
8770,12058
2611,6385
2611,6384
2611,6387
496,6416
2605,6574
2611,6390
8921,7386
2611,6392
2611,6397
8920,7423
8921,7394
492,6553
6837,6465
495,6462
2611,6402
495,6463
496,6433
2611,6409
2611,6408
8921,7412
8771,12063
497,6411
2611,6415
2612,6383
2610,6445
2611,6417
497,6414
8917,7544
2605,6604
8921,7423
2611,6422
2611,6425
460,7569
2605,6613
2613,6367
2611,6429
6803,7547
495,6489
2613,6369
8921,7426
2613,6370
2611,6432
497,6431
2613,6373
6839,6440
2611,6437
2613,6375
2611,6436
8771,12089
2611,6438
2613,6376
2613,6379
2611,6440
2613,6381
2613,6380
6836,6541
496,6475
2613,6387
497,6446
498,6416
2611,6452
6842,6368
2613,6392
496,6484
2613,6397
499,6394
2613,6396
496,6489
2613,6399
2613,6401
2610,6494
6842,6376
2613,6402
2611,6464
2609,6529
498,6433
2609,6528
2613,6404
6842,6379
6840,6440
2613,6409
495,6530
6842,6381
2611,6472
6836,6574
2613,6415
2613,6414
498,6448
2613,6418
2613,6421
6842,6396
496,6512
2613,6423
6842,6400
2613,6424
2613,6426
2615,6369
496,6523
2613,6432
2615,6370
2613,6435
2615,6373
295,12758
2613,6436
2615,6374
2611,6501
2613,6439
2615,6376
496,6530
2611,6502
2615,6381
2613,6445
2613,6444
6842,6424
2615,6389
2612,6482
6842,6421
497,6513
2615,6393
498,6484
496,6548
497,6517
8920,7544
499,6455
497,6519
2615,6399
498,6489
497,6520
6843,6403
497,6525
6842,6439
2612,6500
2613,6468
497,6529
2613,6470
2615,6408
2615,6411
2615,6410
2615,6415
2615,6417
2616,6387
2615,6421
6838,6578
2616,6389
2615,6424
2615,6427
2615,6426
2615,6431
498,6523
6844,6403
2615,6435
2616,6404
2613,6497
6842,6472
2615,6439
2616,6408
498,6530
2610,6596
2616,6414
6843,6447
6812,7412
2615,6453
6845,6398
2615,6458
2612,6554
2615,6461
2618,6368
2612,6556
298,12758
499,6530
2615,6473
2615,6477
2616,6445
6844,6447
6843,6485
8928,7383
500,6513
8928,7386
2616,6455
2618,6398
505,6367
2612,6592
6813,7434
2618,6412
2619,6382
505,6385
6844,6485
505,6387
6810,7543
505,6390
2612,6611
2616,6494
2619,6401
8928,7425
6846,6440
6817,7336
6841,6598
6817,7341
2620,6382
6810,7568
2613,6601
2613,6603
504,6446
2615,6543
6842,6580
2619,6422
6817,7356
2613,6613
505,6426
504,6462
2621,6372
6847,6440
2621,6375
2619,6437
2619,6438
2621,6379
2621,6380
2621,6382
2621,6387
503,6513
505,6452
2621,6392
505,6453
2618,6488
2618,6487
6842,6613
2621,6397
2615,6584
2621,6401
6816,7429
2416,12758
2621,6402
2622,6374
2621,6404
2620,6438
2621,6406
2621,6409
2618,6504
2621,6415
2615,6603
2621,6419
508,6385
504,6510
2621,6418
2621,6421
470,7569
2620,6455
2621,6424
2621,6426
2622,6401
2621,6432
2622,6406
8782,12058
2621,6439
2621,6438
2621,6440
8782,12065
2621,6444
508,6412
2622,6415
8782,12068
505,6510
2622,6419
8782,12064
6817,7444
6817,7450
2621,6455
506,6484
6814,7547
8782,12070
8782,12081
510,6367
2621,6464
510,6373
8782,12089
2622,6440
2621,6470
8934,7373
510,6384
504,6573
510,6387
8933,7426
2621,6486
8933,7427
510,6393
510,6399
2621,6494
2621,6497
2622,6468
510,6407
8934,7412
2625,6380
506,6534
2625,6393
6817,7515
8961,6589
6851,6465
2625,6396
510,6426
2625,6399
8934,7423
2626,6372
2619,6591
2624,6437
2626,6375
510,6439
507,6534
2623,6474
2626,6385
6817,7538
512,6384
2626,6387
508,6510
510,6448
2626,6390
6849,6549
8933,7478
510,6452
510,6453
481,7355
2627,6369
2626,6401
2626,6406
2627,6375
2625,6444
2626,6415
510,6476
511,6446
8932,7544
2627,6389
2627,6392
2627,6397
512,6426
2625,6461
2627,6401
8936,7426
6854,6440
2628,6374
2628,6373
6849,6599
2626,6437
510,6498
6849,6598
2628,6375
2626,6440
2621,6597
2628,6381
2627,6414
6850,6575
2627,6419
511,6478
2627,6418
510,6510
510,6513
6856,6400
2627,6430
2628,6402
2628,6404
2629,6375
2626,6468
2627,6440
2629,6382
8936,7478
8787,12091
2628,6421
511,6513
8934,7544
512,6487
514,6426
513,6460
2628,6431
513,6463
511,6525
513,6465
2628,6440
513,6476
513,6478
510,6573
8940,7394
2631,6369
514,6460
2629,6436
2629,6438
2631,6381
2631,6380
2631,6385
2629,6447
2631,6387
2631,6396
513,6520
2627,6524
2630,6438
518,6377
516,6448
513,6541
514,6513
2631,6424
6856,6523
513,6553
6861,6374
2630,6464
2631,6432
2633,6373
6861,6378
2633,6375
2633,6374
2631,6439
2633,6379
2629,6502
518,6408
2633,6385
516,6476
518,6416
2632,6429
2633,6404
6861,6408
2630,6502
2631,6470
520,6384
2633,6419
2633,6418
516,6510
2633,6421
2633,6423
516,6513
519,6426
6826,7521
6861,6441
2633,6440
518,6475
6861,6455
520,6426
6863,6398
2633,6468
6861,6477
6831,7412
518,6512
2637,6367
518,6519
2634,6464
518,6523
518,6530
2637,6380
488,7465
2637,6385
2637,6396
488,7487
2637,6411
2638,6382
2637,6415
2631,6601
520,6510
6863,6487
519,6548
2637,6426
2639,6369
2639,6370
2639,6373
2639,6374
2639,6379
2639,6381
2637,6444
522,6476
2639,6389
2637,6452
2639,6392
2638,6429
6865,6465
523,6463
2640,6373
2638,6437
2637,6473
2639,6421
520,6573
2639,6423
2639,6424
6627,13872
522,6520
6838,7329
6866,6465
2640,6404
2638,6468
2639,6439
6862,6599
522,6533
2640,6419
523,6511
523,6513
526,6426
522,6553
6865,6533
2640,6440
6838,7373
6869,6419
6838,7383
490,7569
527,6426
8948,7529
529,6370
6864,6598
529,6373
2637,6563
497,7368
8802,12064
2639,6509
526,6476
529,6385
6838,7423
6838,7432
6838,7431
2637,6588
6838,7429
529,6407
6867,6546
2637,6615
528,6460
2643,6436
6841,7376
527,6513
2646,6368
326,12758
2641,6531
531,6405
6838,7503
2646,6386
2646,6388
526,6573
2640,6578
497,7475
6870,6523
2643,6488
2646,6400
2646,6412
531,6442
6875,6386
531,6446
6874,6421
6841,7450
531,6454
6871,6523
532,6426
2648,6367
531,6460
6873,6465
531,6462
531,6463
531,6465
2648,6373
6871,6534
2641,6597
2648,6385
6875,6418
531,6478
528,6573
2648,6399
2649,6375
2649,6376
6843,7434
497,7555
6841,7503
2649,6382
531,6508
6872,6550
531,6513
6841,7515
2649,6392
2646,6485
2646,6487
535,6394
8961,7329
2649,6401
531,6525
2648,6435
2649,6406
2647,6468
6872,6563
2649,6409
531,6533
2649,6414
531,6541
6875,6487
532,6513
2649,6425
6878,6400
535,6426
2648,6461
531,6553
2649,6432
6871,6623
6848,7336
6848,7341
531,6560
2649,6438
8961,7383
6872,6599
2651,6382
536,6416
2651,6392
531,6579
2651,6397
2652,6369
536,6433
6849,7336
2651,6406
2648,6502
6849,7341
8961,7412
6848,7381
2651,6419
13017,12758
2652,6387
2651,6418
8961,7423
6849,7356
2651,6429
6880,6403
539,6371
537,6433
6875,6563
2651,6436
6849,7373
2651,6440
8961,7444
2649,6509
2651,6447
2648,6543
2652,6424
536,6484
6881,6397
536,6489
2652,6432
6848,7429
334,12758
2654,6378
2652,6439
6875,6604
6876,6578
536,6512
2654,6392
6878,6523
535,6548
2653,6429
2654,6397
538,6459
6641,13872
536,6523
2654,6404
6849,7429
538,6465
2654,6406
6879,6504
536,6530
6882,6416
2654,6409
2651,6502
2654,6414
538,6476
538,6478
2654,6419
2655,6388
536,6548
539,6459
2656,6370
6883,6403
2650,6558
2656,6374
537,6530
2656,6379
2654,6441
2654,6445
2656,6389
6853,7352
538,6513
2649,6611
2650,6583
2656,6397
538,6520
2654,6464
2656,6402
2656,6401
6884,6403
538,6525
6852,7400
2656,6408
2656,6410
6853,7373
2656,6409
538,6533
2656,6414
6849,7500
2656,6415
6852,7412
539,6513
2656,6424
6849,7515
541,6453
6883,6465
2656,6430
2656,6432
2657,6401
538,6553
2654,6494
2658,6370
2656,6431
2658,6372
2658,6374
2654,6497
2658,6373
2658,6375
2656,6439
2658,6381
6885,6416
6883,6485
6849,7538
6853,7412
2658,6389
540,6513
6853,7416
2658,6394
2658,6393
6882,6523
539,6548
2658,6399
539,6553
6853,7429
2656,6468
2658,6408
2657,6438
2658,6410
2658,6409
2656,6473
2658,6414
2658,6415
2658,6417
6884,6485
2658,6419
2658,6422
2658,6421
6853,7450
6852,7480
8969,7394
2658,6431
6853,7460
2658,6437
2658,6440
2658,6439
2660,6380
2656,6506
544,6448
6884,6533
542,6530
2658,6473
2654,6602
544,6475
545,6448
6885,6523
545,6452
544,6484
545,6453
546,6433
6884,6566
6885,6534
2662,6375
6857,7407
2662,6380
8997,6599
2661,6413
8969,7477
8969,7478
541,6599
8970,7444
6857,7412
2660,6452
2658,6516
6857,7416
2660,6456
511,7546
2662,6401
2663,6370
2663,6380
547,6442
6858,7412
