atlocation_inv_1,atlocation_inv_2
866,68934
978,36669
1966,9084
36,51167
56033,156
192,47430
1627,65714
2063,69018
1844,16193
38062,156
23939,7249
45675,599
8495,42748
3090,156
4767,20927
49655,163
1050,29207
9674,435
3327,163
25868,156
20652,435
11556,435
4729,156
14242,435
65456,435
3370,31559
8949,56039
4592,5954
38921,156
1627,3869
10448,163
17,32154
250,61231
6,48233
192,27969
30778,156
351,22764
10971,5954
2145,13578
1016,4708
751,17062
1627,62052
1966,59763
1057,49
8601,35296
1944,9236
10802,435
34345,156
40733,4593
1844,10127
1922,156
19960,192
1627,28843
2145,31132
9549,1674
3005,23275
1944,6103
69348,135
321,7690
2662,44266
844,7860
819,46141
36,63080
31737,435
21052,23845
602,64315
192,6154
588,8843
6,617
17,22338
243,660
8647,49721
819,59171
3005,15256
18820,1674
13627,7249
321,17632
37353,435
3,54122
904,34095
38009,156
64087,435
4767,599
22492,163
44234,435
4952,163
35929,156
3222,11792
192,15764
133,61532
15050,435
1627,1772
17301,435
36,53430
49537,156
12228,163
1953,21572
36,135
17,55692
819,29474
751,40797
34315,156
22810,435
6,31571
27184,435
1627,20859
1568,46872
74,69775
69776,163
192,21259
819,21659
39708,4593
25663,163
14319,5954
3262,44643
3813,15452
8495,15368
1256,35080
321,8745
8601,5618
10892,4365
35888,156
844,25385
779,21867
57237,135
5997,6186
114,28960
859,36362
23519,435
6375,59703
164,163
4196,11954
859,34140
30273,156
844,69932
38702,6782
22206,32471
36,64677
36,65820
321,6562
192,74
1953,30273
8272,33744
1050,34178
351,617
4299,17518
36,28283
10367,17888
36,70033
6,5813
819,299
38571,435
3417,163
866,10742
1966,70050
2063,19539
243,53339
39581,70097
1844,10152
192,4593
8862,163
37108,435
1627,70172
40198,156
40710,163
3870,49574
1873,163
243,12411
4532,163
351,31571
250,58855
3870,3231
2416,6154
29037,156
1627,15460
3005,3004
25909,163
5764,12201
40978,52564
56037,163
321,2063
1882,61533
790,609
47244,163
859,712
26362,609
3005,12196
819,70361
321,58448
21054,435
1966,70385
6181,1674
37379,163
37000,435
23360,163
12500,163
6,55642
39828,4593
4959,135
65615,435
133,14261
3897,602
2158,602
24200,21050
6118,609
31422,156
3757,435
9422,70494
26961,156
299,156
2796,2416
3005,12587
7001,1674
21271,156
819,23999
3726,27869
905,60747
859,19110
25352,435
10758,435
4089,37448
321,21627
14602,163
588,70568
33312,435
23335,135
2145,5954
11970,435
8601,14020
4489,135
8272,63547
8495,70657
15788,156
10971,860
321,70669
6872,435
42314,156
7303,1674
6,1516
3005,55859
12658,156
8835,163
321,33935
5997,9306
14047,435
133,11608
3763,609
250,44027
192,49699
6372,435
4836,33987
26773,435
866,1016
37982,435
321,22189
859,21658
21756,25807
977,29927
819,1855
5802,48670
70897,163
2079,2078
34247,156
32510,435
25063,156
819,46473
21271,435
14542,435
3538,37737
1868,12411
14107,435
53976,435
11955,2416
15568,599
6,58532
16724,4593
36,14967
36,71027
3370,34351
819,7650
133,39913
3726,49319
1050,17857
192,27938
43943,156
36,5623
2285,435
192,13490
5345,163
17,32788
36,56014
321,14764
1724,46154
7557,3859
22921,31132
36,68998
2145,22482
8601,36746
2158,60736
2063,135
21838,156
26344,135
27324,435
436,156
321,44021
34654,156
2810,435
25425,3421
21422,11463
2303,8415
7905,71284
29518,435
494,14930
40244,435
321,16508
56277,51428
1966,37623
2100,1674
45853,135
8647,156
1050,33279
15545,435
19587,156
1516,192
17,68318
12681,435
1901,1674
321,7084
800,156
1627,38824
844,35880
56707,156
321,35948
71457,435
17,71483
21929,156
8952,67604
36,13880
36,71515
2829,435
36,61226
1944,34441
1944,32088
20859,435
11955,7425
2425,435
7141,435
866,49844
250,68520
6288,21508
819,6883
114,55513
36,36986
22315,435
36,25126
50934,435
712,435
38635,435
321,22351
36,23875
10327,156
36,60721
36,43732
1966,61018
22056,156
56387,163
1092,65254
1016,22353
250,39250
14319,135
1247,67223
2079,30273
3689,43328
17,22926
27159,135
6,21802
36,71758
33936,163
321,2188
3726,1302
7543,435
34374,860
41291,156
63725,609
49979,156
243,8091
7905,5128
904,39032
904,50437
4325,156
35880,435
1857,135
36,64719
23184,435
17646,435
36,62516
3813,56340
8647,1674
2708,435
3870,26184
44295,163
23075,156
1454,44924
250,32334
51672,163
47430,163
36,62744
3005,2949
26013,163
21627,599
32787,163
1374,71958
32237,163
56497,599
19203,1674
53180,156
779,17939
14704,156
6,4880
978,34924
6,29474
6,52194
4047,21655
41720,163
3805,56059
12167,156
7924,435
321,52252
4196,48991
844,36943
243,7985
2158,72062
904,54650
3538,68415
844,25527
331,3195
22913,163
819,36356
18325,435
36,72103
243,72125
36,10725
133,17731
1627,7220
3870,25352
36,41896
36,19819
751,72173
6431,1674
321,58936
12905,135
56923,163
36,53054
3005,32751
321,31952
2303,10466
26750,59280
243,72219
598,4365
659,14171
2706,17496
2424,32549
25904,135
978,53252
1575,163
13280,435
904,70910
1868,2303
4047,39620
15962,27969
16689,435
347,135
1944,57420
43758,435
494,11792
4099,156
3005,10868
2079,29291
44092,860
484,36746
1016,24453
1868,63371
28094,156
819,1079
3279,23325
351,7532
717,70730
20075,156
844,36243
14497,435
4047,7401
859,1166
48,6536
3370,72462
61757,163
6,14442
13294,435
6968,156
1790,609
32092,3772
859,23261
2760,68882
20898,435
8601,24204
3370,17289
4299,21236
1627,66793
36,59382
10826,14808
53578,163
1374,72539
68528,135
3105,1901
1877,156
52203,435
2796,26706
33644,163
28139,163
3034,6877
844,71506
1568,34619
25792,163
31753,435
3870,20727
192,10270
621,163
1627,17744
1568,18225
819,410
44670,156
321,18312
25304,435
17834,435
1868,6325
6,10503
16141,163
9653,163
62437,435
47467,435
20020,163
1953,10675
1944,56928
3538,24177
1966,6657
1868,11293
1016,19832
1016,2188
35787,135
1568,9202
10963,587
844,72758
6258,163
27098,435
866,72772
4767,2707
53423,435
1966,27195
11955,6186
250,28965
1050,17790
19309,435
250,10418
8206,163
17901,435
1568,44152
2078,435
36,70174
250,20069
36538,163
819,35488
13049,435
565,39835
1724,1465
41501,599
40390,435
4767,15847
1868,66055
24942,599
17692,609
192,19606
13280,156
26961,435
3223,1674
351,47299
1050,67938
1627,53790
4665,1674
288,192
7832,156
2424,5773
51245,163
5802,12085
6,14106
55339,163
10971,31132
18494,135
14242,156
1107,135
4499,156
3870,8589
8310,156
4203,35080
41579,435
978,47542
844,6017
10367,43690
649,156
3518,12196
5802,19030
5981,435
63013,47887
7178,6964
4170,435
26991,135
41306,435
22170,435
2424,22546
11128,156
321,57842
978,32156
37148,609
250,13350
49537,435
321,42959
36,41118
3279,73122
250,32471
321,57373
565,7270
20585,156
80,156
819,14704
9339,435
1016,12004
2145,860
36,63934
14319,860
2079,41059
2307,156
20079,156
1966,71222
58356,4365
321,37532
21106,435
2625,40119
4047,2261
10367,3324
10480,163
192,6176
1868,28480
9422,12856
2307,41225
1868,42
29831,135
9492,49978
819,16461
36892,1674
55778,156
42093,192
11823,2796
4888,435
6375,54313
602,13189
2079,599
819,18804
1953,31362
321,33831
12278,156
2145,74
72834,599
904,57756
26563,156
31998,156
1627,68639
8601,1110
38220,163
192,11654
27891,163
40681,435
819,2349
20498,135
36,54664
192,114
1944,35103
26773,156
1724,12139
270,27266
46783,250
8997,156
192,36329
8756,156
978,21026
26010,163
47010,163
819,58289
615,4593
46490,163
2063,58870
3870,36864
3870,61408
6,69598
377,6593
62806,435
1966,29352
6,609
36,62806
11955,31342
3897,6405
192,3421
36,42707
37193,435
8601,37247
11955,441
904,3279
13002,2269
9811,4365
22921,4593
15064,609
1374,56899
24672,156
51533,435
1016,52081
36,64268
3124,3195
26845,435
3538,66933
25425,3669
1627,17730
1627,43698
602,45577
11768,435
8601,12258
3034,2269
321,48894
2111,135
6698,2796
73581,435
13818,1674
1944,14011
250,71254
12103,435
978,54959
8756,435
250,16714
3757,156
751,3421
1844,3675
1894,1674
4767,11956
1627,9497
751,887
321,21909
250,54725
819,33949
1627,10372
3034,163
3195,5163
21756,73669
55733,163
36,39493
8983,435
8495,135
351,435
1627,3981
866,7150
8888,435
66411,609
192,617
28966,156
1627,10154
36,66169
904,65701
270,18087
3870,25691
904,5675
50836,135
250,11954
1050,26650
1016,7860
36,73505
819,39034
1516,156
2145,71552
11805,156
14319,610
4047,9417
29718,609
2307,52809
58356,435
4074,156
8743,156
2662,1674
8162,68297
56460,163
1568,73822
57308,163
13889,156
3870,1894
9790,435
10442,4593
2424,73853
36,38364
602,6968
8601,35913
3005,41055
844,36076
866,30778
1627,12951
3870,31548
2424,62580
36,54524
38760,156
321,649
866,7401
69974,156
19179,435
717,50604
1627,5040
321,1834
27825,156
12566,435
114,68682
990,135
66024,163
32240,435
6,6331
250,32417
1966,36916
41430,163
133,23750
1944,250
321,42238
18182,156
3370,20070
24076,435
90,1674
22651,156
819,27092
9462,11624
192,22370
270,8983
2662,42266
8162,21982
7543,156
4729,39251
56322,435
8942,163
43094,2796
36,73350
49078,599
10805,1674
30018,135
741,163
1092,20075
5129,135
36009,435
866,54681
866,64462
8260,435
10042,2083
9811,435
6,65986
32510,156
21293,37375
36259,156
8495,28827
36,60057
1916,7249
4708,37306
66036,435
3930,1674
1016,353
243,2839
1953,19417
1247,58788
17970,11974
4376,599
28657,1674
13230,11792
5966,156
36,45752
3370,51198
321,66036
1188,435
14788,156
12478,435
36,20228
21838,435
2063,66784
36,48681
15962,163
20415,156
74,135
321,25957
3538,14340
11955,23991
62381,163
114,21422
1868,25987
38881,156
37448,1674
321,2261
1673,156
36544,163
3262,74256
2424,73842
659,4242
2366,8746
18494,435
192,116
14788,435
904,1329
60683,156
1868,16373
17665,163
49293,135
36,74294
751,40590
659,33178
819,17455
23657,156
819,14340
3538,74305
80,1674
2504,74339
15575,163
10365,135
19439,4365
7826,435
14319,6154
10903,435
42254,156
42262,435
11709,135
2707,599
270,70838
6,4408
2078,156
250,59538
5802,25896
866,9417
40978,156
9900,61764
17,74424
56116,163
46452,156
2494,62130
22926,156
250,24714
1944,2106
6,20821
39301,156
30090,163
18589,163
24437,435
192,13338
1953,6709
459,14921
1868,31407
51559,163
8310,74477
243,32117
26688,163
2662,25850
45373,435
866,72174
844,38641
779,6782
299,44999
8910,35296
23960,435
36,71098
25846,135
4767,135
31372,6154
26893,435
2366,54463
1247,1735
25957,435
3068,13041
64351,156
16490,156
904,55608
19172,156
250,72296
36,38699
250,72033
9813,435
11769,156
53423,135
48261,156
8297,11956
2706,63762
12280,156
14319,2611
5264,435
3870,16705
321,74617
4089,23339
484,35855
717,32455
3726,3118
36,5158
1627,23275
58832,135
17,7650
712,135
9492,19468
11050,163
243,62633
133,1516
7905,56910
751,24344
7452,156
1351,609
2145,9383
66544,599
43129,156
36,74619
8272,39932
39689,163
10802,156
36,74381
859,43289
7312,435
48204,435
4089,52954
3538,55678
16153,4593
3538,8535
5983,163
1627,29208
19250,435
2780,156
779,9383
39450,156
18704,435
22836,163
1953,556
58266,4273
5997,12499
28226,609
36,53582
250,13650
18910,156
16740,609
114,44456
8910,17419
65856,435
12280,435
27437,599
10946,156
21215,435
15788,435
3262,48158
47372,156
5764,70770
866,71718
6441,19674
11003,135
9487,435
11420,156
321,32808
5997,332
43129,435
6375,65927
859,71697
192,54116
270,50086
14669,163
20062,1674
819,74797
459,46627
192,48490
36,72222
2366,66652
1016,33990
32532,135
15962,6782
1966,15584
11508,163
8495,12886
4242,135
2706,74839
243,45396
905,41677
1516,52845
4196,609
2424,54809
321,40154
2063,435
321,37380
3538,5436
36,56246
250,16333
8495,33846
819,14032
321,64010
36,74553
1868,12016
56835,163
1374,6748
5747,156
36,71102
72834,435
36,68777
4527,156
62707,599
24064,163
4482,156
3579,7249
9758,435
1016,65456
3055,72897
4556,74646
22080,23845
351,9831
4299,8045
3870,6092
36,60247
321,17897
35062,163
904,30764
4089,74937
46139,435
494,35080
1966,72444
11455,1674
11128,1674
1568,15929
24723,435
22622,435
12835,163
844,59
3538,8276
40244,156
90,1465
1944,74114
21000,435
1568,22622
1050,68824
55778,435
3813,37324
52523,156
192,12611
1016,8276
10673,4593
2063,156
19964,163
5444,163
7557,47530
47696,435
299,74994
3813,40131
943,163
43514,163
8952,73977
484,34462
37000,156
3689,64526
71882,4593
905,35753
33531,156
29231,1674
53976,156
192,3655
66562,6782
34750,163
1627,42834
15568,435
33802,163
700,1674
351,1576
16689,599
5764,75051
2504,23723
34218,435
1882,51486
20759,163
819,14288
17974,435
10367,12495
588,70463
39349,156
36252,163
460,156
484,62086
6,43328
4053,10181
321,8258
1868,20134
459,12573
39817,156
36,68399
52035,435
321,65245
28272,156
3538,3675
3279,435
28935,156
61718,435
23354,163
2424,49885
74,435
19487,156
1070,435
17751,435
7043,163
5339,156
43928,163
914,11463
2195,435
59395,435
1966,38961
2706,73467
6,19417
74864,4365
20414,163
15103,135
11579,156
351,19539
42834,156
321,20836
859,65232
2544,156
33448,156
49396,135
6254,435
7695,435
15962,22482
4099,29676
14319,27969
351,61532
588,3489
3034,860
27904,156
44477,609
728,435
866,65115
659,16552
12221,135
36,62136
47806,156
1868,12280
321,19510
6441,20585
2425,156
243,67827
1627,8276
64718,4593
3370,75108
484,483
819,23058
18014,4593
5997,5637
8601,4987
659,12103
1868,28039
3897,6743
11579,435
14718,163
36,25916
250,19539
250,36188
1374,66733
466,16724
15151,435
43943,435
5675,156
1638,163
36,802
4242,435
18071,163
36,67467
1568,16884
17632,599
3005,40755
1079,156
66653,163
321,6289
22634,435
28559,435
6,22158
10442,163
1944,2707
1627,36356
7057,156
6698,156
459,69670
321,11128
3689,1914
192,3192
243,28349
1953,20619
48081,163
1627,36956
3711,156
33489,163
494,28928
3055,11831
75070,163
1944,49574
54129,860
321,58516
484,163
321,23845
11955,163
4047,1674
11455,156
1079,37761
25764,435
21880,163
866,250
1323,163
7444,609
14211,609
52523,1674
3370,5708
26396,156
8910,156
1079,435
4047,9084
192,3138
6,1253
3870,40262
904,70978
42833,163
3005,12544
1627,25083
1627,28039
1724,39309
36,50748
556,555
17577,435
15962,4593
2706,21438
10998,435
5802,18184
5802,10327
26907,28376
54269,7425
36,74915
351,163
819,37989
4242,75246
321,51763
321,57866
8601,35855
26373,435
3262,64291
1966,9417
1627,19417
8760,435
4330,135
1454,26907
2079,18898
13626,435
20652,156
61841,609
4047,25385
1627,9755
192,20140
321,30862
4767,14299
35199,156
6,63134
192,17991
18894,163
6375,35605
1944,25338
321,9407
47358,163
58872,163
21476,435
13310,17706
3476,435
2626,1674
2796,3195
17,696
24811,4593
2303,15196
819,53276
40813,435
6,7532
4052,435
34766,156
12182,435
321,9809
866,19832
38370,435
1092,51788
49841,435
351,14261
3055,6289
4592,860
978,25662
6,3876
6,31005
700,3195
114,36248
4089,74734
23184,156
28657,156
49647,4593
4592,22601
588,712
114,20385
12201,435
15026,435
66452,609
4047,3880
10327,435
52807,609
17,21572
321,4708
18910,435
4836,44832
17,1894
28730,156
44106,135
71716,163
10496,435
321,61252
25262,156
8174,435
8354,860
29359,435
22698,156
43632,156
6,11463
36,66090
866,10517
10971,7367
46860,435
6,48205
13338,163
2706,609
321,44164
659,47922
321,13975
20169,599
270,2205
904,18500
40931,4593
53777,135
10367,6251
914,7249
3370,24901
243,14632
42505,135
321,75421
42341,135
5802,40642
4047,1015
8024,163
4491,156
15453,163
819,74679
8297,332
7538,163
2303,156
20978,156
36,66978
866,31422
1844,66173
44036,15452
45875,163
34010,435
6596,435
779,31132
3005,44166
114,52223
8910,12378
2737,135
10043,66103
37534,135
9497,22965
4047,51662
1627,31119
1724,6092
41169,435
62012,435
1722,435
36,74266
20588,435
4047,44369
321,9008
30205,435
859,135
5790,75434
3370,23792
2982,163
57242,156
60204,163
819,7994
34977,609
1944,70135
4767,25765
114,66335
1627,48630
36,73239
192,48076
859,32088
3897,4641
36,71725
34433,163
4196,12105
4089,32788
24282,156
321,10848
26549,163
16414,1674
30928,163
2796,981
8276,435
602,435
2349,70599
19317,156
11266,435
351,11608
2145,2611
31753,156
250,9704
38503,156
36,75228
1966,19073
2063,55356
20706,4209
859,36741
26175,609
36323,36322
27436,2796
36,65195
659,30709
1092,61478
1953,1901
5474,156
3124,1674
1844,5614
19439,435
2796,163
36438,156
39326,135
243,32156
779,15764
3538,5540
19250,156
10996,163
321,17839
866,44508
2303,435
243,1379
62806,156
819,54170
54478,435
4888,156
4592,610
243,51915
6372,156
7905,7312
27402,135
1627,27324
25957,156
321,36027
54653,163
321,41310
904,25063
243,2991
5984,156
1016,1015
10016,163
250,73440
8601,23905
1070,156
1868,41345
192,17939
250,63544
36,3782
2760,156
6,23085
54658,163
659,65946
3870,43931
2760,25883
1627,19212
36,72001
321,7906
11475,67365
1953,9462
588,35142
1050,27168
46932,435
10176,163
1050,44937
2285,156
8276,156
321,44280
2796,11956
114,7249
9738,156
9549,156
40702,435
49332,163
7178,13490
48970,163
1247,69562
2079,48283
1016,22351
192,2262
7143,135
114,42743
2158,23657
34999,609
866,25026
905,40478
192,50045
859,67498
3115,50502
10882,435
192,11974
13281,163
1844,68805
1568,56307
192,156
