atlocation_1,atlocation_2
36943,844
11769,3005
40083,1944
50308,2063
25883,2760
435,64406
156,4099
2416,11955
49673,751
28513,3370
23723,1944
435,22797
609,66452
435,14011
34615,2366
2802,133
10529,321
21982,8162
156,2494
435,5997
156,1722
22612,6
7401,866
135,8114
3675,3538
435,3423
55250,484
163,5345
23845,2796
135,1175
435,2195
435,5602
435,27544
44256,3538
192,6922
31466,17
156,46487
1901,3105
135,11197
56432,1966
1894,17
35028,35027
29566,36
23206,270
14133,299
135,6340
22089,1868
59171,7905
6532,321
61528,6379
23464,2307
8664,321
11505,1016
69562,1247
3090,1724
1016,866
62814,1627
69598,6
712,4047
156,39349
435,38411
66772,2424
3371,3370
36956,1627
69670,459
57399,2158
1674,23206
64360,1092
24704,133
435,4482
29208,1627
156,49537
435,33312
16954,6
599,11970
599,2707
332,331
599,21627
163,726
599,27437
435,22810
135,23335
3138,192
55999,299
66594,17
135,712
32724,3870
6877,3034
10826,20292
615,4047
163,27891
435,21186
135,69348
24204,8601
435,21106
39505,3870
156,16961
11624,2953
43060,17
27957,905
44077,36
163,50297
18636,321
1674,299
9653,859
435,47372
12688,3538
163,7538
435,598
33990,3538
69775,74
39304,16328
42238,321
8284,34011
599,351
163,19964
435,8746
156,10976
21711,8910
25083,1627
435,5966
70135,1944
30028,8495
156,67603
70174,36
20342,4047
156,8647
14704,3005
163,24064
42183,866
22179,1016
11956,331
32763,36
163,34384
74,6
435,2223
163,27609
44643,3262
156,22698
48118,602
156,3675
35957,3870
3421,192
732,889
163,47257
435,1079
156,250
7401,1016
5708,270
602,3897
435,13091
163,23360
156,15022
12870,3005
156,64351
156,41306
11974,192
30147,819
12416,6
65760,3534
4730,4729
156,19086
70463,588
67650,321
135,35787
435,35154
2796,6698
44027,250
2416,5997
50996,321
5128,7905
44021,321
4593,10690
435,67145
163,45875
163,69776
62894,17
1674,7303
28669,904
1674,9414
4593,64718
70599,2349
18500,904
1674,3950
163,2493
156,35540
599,7759
435,62806
163,30809
66236,36
23275,3005
435,21423
70730,717
1674,979
435,45675
30486,3538
70770,5764
36356,819
3192,192
163,45277
609,1098
192,1901
13901,36
163,34893
7690,1868
163,34934
2839,243
70838,270
156,53180
435,18878
163,2805
7367,14319
36362,859
19019,917
1465,90
435,57229
1079,819
70910,904
40590,751
66159,2625
609,19218
36201,1966
49770,1627
70978,904
40797,751
435,31753
163,61158
13850,6
1674,16490
7869,2079
25863,1966
27720,2158
156,10672
435,20348
23019,905
35597,1374
435,4871
24355,192
435,2063
163,38220
435,8309
16789,904
71098,36
71102,36
6782,15962
57952,1050
3782,4047
57816,1627
3195,22080
435,27994
156,6968
35142,36
26312,114
32455,717
163,62771
435,22170
68219,250
135,12085
435,66036
18225,1568
68410,36
163,9050
2796,43094
7425,331
27309,889
599,17751
71254,250
35955,36
156,12278
135,37929
67516,3538
435,800
11463,250
4365,31042
156,11579
1465,866
617,48
56483,133
617,192
163,25501
435,10176
1674,56228
23905,8601
435,7761
7776,1724
435,19284
5637,5997
58936,844
156,18087
34441,1944
1674,90
74,2145
71506,844
435,15788
56027,8910
163,6955
135,34374
40298,321
2083,2708
35134,1374
71552,2145
156,13626
599,66544
14106,6
5163,3195
38127,3005
22482,779
39493,36
23325,3279
55237,4089
33935,321
69018,2063
135,12221
435,56423
599,321
156,8276
10903,321
135,1874
55040,321
55153,1421
156,30764
8673,8672
7906,321
163,25585
4365,18325
435,3034
71697,859
163,13446
599,41501
163,71716
71718,866
435,19553
435,728
435,4499
163,35666
63222,978
12705,819
71725,36
36009,1627
33462,2810
435,66544
135,2737
55519,17
156,7452
44266,2662
7001,1627
13338,192
31132,192
435,5206
599,37982
435,35167
4593,71882
13189,602
4593,2079
7425,54269
63041,3870
13110,1966
435,4242
156,4482
29132,36
1674,20836
39620,4047
163,36143
435,8608
4593,16153
7989,1953
42743,321
33958,270
609,34977
16039,192
63019,1374
36735,905
435,61718
72001,36
135,13491
163,16595
31117,904
20140,192
435,58356
72033,250
9383,779
163,48970
860,15962
34756,555
435,7543
163,5678
48076,192
435,37907
21137,321
435,14374
26043,819
31787,351
72174,866
32691,4089
23227,36
24821,1627
54355,8495
72222,36
48475,1953
435,39817
72173,751
156,40345
135,39668
41809,250
435,32948
52571,6405
28272,844
72296,250
44999,299
163,23880
70385,1966
156,36112
18176,36
156,27904
156,11455
5718,1627
4593,904
435,4099
435,16122
41395,321
6058,588
74,866
156,3950
156,23270
22965,9497
70050,1966
44496,6
156,876
71284,7905
435,22651
163,10996
57858,819
8521,243
332,466
4272,6
37737,3538
435,11266
8030,270
69932,844
72444,1966
156,565
46297,6
156,1454
61764,9900
49,15962
26185,321
156,43129
135,33506
25411,250
13578,13577
435,10219
23608,243
163,30789
12278,1016
156,4871
156,17033
43289,859
156,20075
23421,192
609,32970
156,38301
55470,819
29456,4089
53389,36
1674,4665
599,52035
30709,659
33661,2063
20821,351
32751,3005
16461,866
8380,2760
51766,250
435,64087
163,47244
1674,46874
61594,6
58792,1966
435,53180
156,34455
1674,36892
1465,1098
6331,6
36356,1627
163,54658
15256,3005
435,8260
4242,889
435,26893
599,10188
28827,8495
163,41072
23593,5802
435,22634
192,62237
14930,494
37418,1868
32117,36
14930,299
156,14107
10725,36
42009,133
54116,192
22141,819
35948,321
135,7815
156,460
17744,1627
71027,36
156,36065
435,51533
72103,36
23489,905
24121,8310
435,72834
23339,4089
5813,6
4365,10892
4802,1627
18162,466
435,5747
435,34218
19417,844
63437,1868
20493,866
40131,3813
435,8276
72539,1374
47479,9422
435,16246
68934,866
72897,3055
29680,1627
435,1915
1399,819
163,8593
41219,1627
435,46860
435,55778
27772,250
68824,1050
435,19309
10154,2366
9769,8495
20228,36
23862,8601
34351,3370
11983,859
163,13357
14340,2158
435,58609
39801,3538
156,2285
67565,404
135,61227
156,24076
435,39836
55991,751
46340,3870
6405,3897
38752,1724
4346,978
435,24437
156,751
599,3476
156,21929
37746,978
435,42038
27938,192
53273,15492
72062,2158
67467,36
48840,114
156,22810
1894,1627
41523,250
435,43758
435,33959
163,1638
435,44603
4987,484
66899,114
50772,36
65701,904
34797,2424
23760,321
163,5214
14011,1944
21631,1868
43698,1627
31892,3870
435,1936
28309,250
435,10371
135,65265
1674,28657
24458,1724
27195,1966
68190,80
1015,4047
12951,1627
135,11419
45619,3538
73239,36
3324,10367
156,37542
780,192
2991,1953
435,39450
25416,192
435,35929
4408,1627
11463,751
7249,114
156,2307
435,18683
55485,905
26763,2079
23939,3538
22117,904
15120,3068
33279,1050
609,18651
6709,1953
73350,36
74,192
30819,751
435,41579
72758,844
135,2395
11956,8297
860,14319
71758,36
14920,4047
435,41764
435,8952
435,41981
156,1786
2188,1016
599,38789
38231,321
163,56116
11956,11955
2899,6
163,19168
20742,270
1674,4527
73440,250
156,36285
70669,321
163,46490
156,12051
73467,2706
163,30090
33987,4836
156,31545
14480,36
163,12500
73505,36
599,3324
435,10788
62594,6375
8711,2079
65714,1627
4593,18014
19417,819
20748,36
156,20652
435,13491
22351,321
36864,3870
4561,1016
54725,859
66243,17
37761,1079
6782,38702
51704,1627
17953,4767
712,588
7425,8297
6877,90
435,50934
8284,11225
42819,1016
163,38558
156,41291
114,192
163,34013
39473,1953
156,8091
5874,1966
54697,36
67944,250
20595,2796
6998,3518
435,2708
35855,484
156,44146
4520,114
23999,819
3118,3726
65017,819
49991,2307
163,7178
19918,1050
61532,133
435,3476
7587,36
163,55339
22382,321
156,60683
30978,3005
20391,114
435,21215
156,27324
28869,36
5954,779
156,436
3594,1016
135,10294
435,27058
1987,3689
6968,321
53809,321
24704,351
5954,15962
63084,321
156,7543
3880,4047
163,11565
7249,23939
17632,36
52276,351
14564,63013
435,4729
15077,700
156,37000
47223,299
61946,17
73842,2424
599,72834
36741,859
435,20978
27266,270
52887,1966
435,53976
23845,5997
39056,866
163,20357
435,17834
25203,3870
609,52807
156,1079
163,17672
4593,3336
156,859
16221,844
59199,192
163,47430
73822,1568
19510,3005
74,4196
435,10742
1674,3930
30273,1953
62801,2796
135,55484
54719,4089
1674,33794
72125,243
34140,859
250,3870
55107,2810
29474,6
135,4489
14020,8910
73977,8952
15452,44036
48894,321
6272,859
34884,904
18173,866
3669,250
1576,484
135,45344
250,866
599,26893
352,13926
116,192
163,22988
64526,3689
7046,6379
435,31737
12378,8601
435,41748
24204,8910
44508,4299
16884,3726
435,27184
53530,36
63544,250
59819,250
71222,1966
435,4364
46152,1953
18799,243
21155,1966
12258,484
609,7444
435,46140
163,35062
435,41036
64054,2366
26347,859
57409,3813
4365,27184
163,1523
74114,1944
156,10742
163,21880
37985,1844
156,5206
18216,3538
6782,17970
860,2145
50734,6441
156,11128
156,20978
38252,36
15764,192
26515,4767
38125,866
9906,779
163,30205
599,23960
163,33802
860,2724
7249,21137
19317,321
39759,6
156,4499
156,7695
156,28730
163,51672
23275,6
163,42387
435,54478
66183,321
435,8296
70097,39581
435,32240
32088,1944
7860,321
24344,751
6536,48
435,21756
435,14704
156,2953
435,17001
4987,8601
74266,36
4593,54062
163,30602
11954,4196
18804,819
435,36259
66327,6
55896,4836
435,460
156,22170
3210,1844
156,25063
9426,321
24177,1724
9962,1050
74305,3538
135,53423
1674,6
4593,30827
9906,192
1465,1724
6154,3195
30874,4767
156,3757
1674,114
46809,4767
1516,192
135,41784
156,33531
74381,36
435,351
156,36224
163,66653
19539,2063
40092,3726
12196,3005
21527,243
135,18494
16193,1844
4094,321
2839,1953
435,18399
163,3228
59,844
299,192
4593,15962
53290,250
860,54062
163,25723
435,46139
435,26763
156,5640
435,6109
18222,36
135,14319
4868,321
12139,1724
163,10971
163,36538
22750,3534
5656,321
163,3194
435,18910
609,35696
70361,819
36692,1092
16440,459
8711,819
156,25352
73669,21756
156,18318
609,1790
7776,1966
156,3279
74294,36
135,2494
7144,192
599,5981
163,20226
435,32213
156,12952
29352,1966
435,64679
17976,36
24485,4047
74553,36
1302,3726
865,866
435,12201
435,26641
156,9549
435,6698
599,38411
36886,4047
48205,6
70568,588
435,18312
353,1568
163,70897
37471,1627
135,25904
156,5339
21106,819
74619,36
36746,8601
163,18071
26641,1050
135,8495
435,35629
54650,904
587,41501
17062,751
14288,1724
2503,659
156,3689
74646,4556
599,15492
33329,1568
156,17974
135,466
34462,484
13379,700
10742,866
602,904
435,12051
20003,5802
135,19538
435,11805
65152,36
435,25352
74679,819
163,5466
135,33550
12280,17
29474,1953
435,35990
6481,1966
63885,2349
435,11970
72219,243
156,80
599,21423
435,16421
156,50876
9721,6788
65382,270
4826,1627
34209,2706
53790,1953
163,11050
44508,866
3772,32092
23991,2796
163,8942
49978,9492
1674,14289
74734,4089
435,13626
1674,0
1674,5017
156,28880
21658,859
135,2572
37423,751
30813,3279
981,2796
14261,133
156,4202
135,12905
49448,588
435,41306
49485,36
435,45373
460,1953
15760,1724
4038,270
1674,6181
68540,36
17577,270
435,28880
12477,321
435,56322
3728,3034
435,40978
39625,8162
609,41120
12544,3005
12280,1868
28438,114
435,73581
10044,819
49699,192
156,14542
4408,819
61521,3370
135,48897
22791,17
38951,6
435,7049
13975,321
435,38462
435,29518
3950,3870
163,4301
163,21521
156,43758
70494,9422
435,52429
163,42833
156,60716
163,10448
163,15876
7487,1568
51286,20706
30470,904
1674,977
66840,192
23845,13569
1674,19317
163,23745
135,16039
58223,8162
2261,4047
70657,8495
54116,2145
860,16724
156,28678
63694,36
617,6
163,56923
156,27825
1674,11128
1674,10946
435,5981
163,17542
8119,250
156,2760
63486,6441
3782,9800
74915,36
35560,819
22351,6
9915,2063
3819,859
8045,4047
15050,321
11463,4592
27378,2424
163,26549
13172,1092
35644,1944
435,22315
156,53976
2416,466
156,19487
12378,8910
52845,1516
163,14718
435,44361
26907,1454
7001,17
1593,844
135,11003
9699,5802
38576,36
2269,1098
163,943
7400,36
299,819
24177,819
35717,321
22982,5802
27168,1050
49794,1247
6154,192
3421,299
435,3372
156,42254
10045,779
17419,8601
14788,321
156,28935
163,27285
192,27938
4365,19439
17834,36
156,62806
28960,114
135,60917
6154,31372
53067,904
435,21000
163,15962
163,779
599,12495
435,48716
17839,321
163,30653
2261,321
25971,3813
68304,321
2542,5997
24453,1016
435,22901
48158,3262
156,7826
163,6758
74339,2504
23845,3124
1674,80
3655,192
61039,3262
41043,1454
156,42965
73122,3279
4593,1644
58718,270
156,17646
163,10480
71483,17
435,40681
9755,1627
435,12228
5618,8601
1674,6431
44152,1568
21317,321
163,75070
435,21627
54463,2366
30534,6
649,321
74256,3262
163,3127
435,19172
14204,7905
75108,3370
435,42194
609,63725
8743,1050
11380,351
42013,36
6092,1724
609,61841
7223,6
32417,250
25527,844
40788,1966
44344,1454
135,53777
34666,2424
43485,114
10673,2796
36583,4089
33178,659
5954,38702
435,6770
18937,4047
58870,2063
54784,36
163,33644
35080,1256
135,47296
47370,74
8276,1627
55451,36
68297,8162
50307,819
156,4170
4987,8910
44475,3262
3231,3870
163,53867
19417,1953
163,15575
3966,2625
4593,10673
4593,9417
74424,17
435,11143
14288,8272
845,844
163,49827
17219,4047
21683,3870
74617,321
435,53965
1166,859
3105,2626
435,41169
43763,1050
1674,3223
25515,36
31591,36
21783,192
27938,3105
56970,1953
35880,844
156,898
779,8297
53086,270
70033,36
163,8024
23058,321
156,26563
163,5094
37823,36
599,32828
156,155
5708,321
25678,1802
12870,3870
4880,6
26612,14319
12085,192
135,43305
39835,565
6636,250
14618,8495
45369,717
163,34433
75228,36
3669,26370
16705,3370
135,36482
163,18894
60736,2158
156,25304
156,10327
74937,4089
19265,1868
163,60204
75246,4242
156,5984
68555,243
435,4376
163,26010
135,2063
135,4330
58516,321
156,8952
56014,36
163,21902
609,16517
35504,36
4593,22255
435,14843
2307,1724
156,7093
156,27242
31119,1627
6593,116
64704,751
6133,1568
47887,63013
192,19960
32808,321
74994,299
435,35174
59057,36
9084,866
43142,9900
27969,28186
60121,250
11128,321
135,33885
135,3340
163,29525
22338,17
40579,11475
156,16789
435,8597
59171,819
65954,1966
163,24197
38641,844
12199,8601
35134,321
8983,270
1674,37448
435,37000
35913,8601
11831,3055
1576,48
2611,14319
435,18758
1753,1627
28349,243
2991,243
435,23657
7325,5802
23496,6788
410,819
50333,4499
405,404
435,20898
37989,819
156,26935
2872,1627
1674,1786
39435,4047
28120,321
9383,2145
163,36323
30604,3870
52882,36
435,66184
27535,5802
1674,23939
1674,11781
66520,36
599,46140
7385,8495
26478,1966
47278,2079
36354,6375
52910,243
163,20020
156,18911
163,44295
74839,2706
17939,779
65659,36
156,4527
156,9738
39279,1568
615,466
156,2662
22227,1944
163,41430
15843,36
11956,4767
32749,36
34072,588
163,40260
435,48204
3195,466
135,13810
435,32512
163,56387
75051,5764
435,38635
7401,4047
35080,4203
163,49655
6017,1627
163,14908
61501,6422
156,2303
135,18051
156,410
599,4376
435,56955
27969,15962
156,8888
68815,36
156,31422
23845,3194
435,65456
20841,2063
21655,4047
12004,1016
1674,48692
21627,321
435,4446
12920,459
435,32828
163,41720
156,849
135,7282
15492,859
609,25729
6680,36
435,35880
135,49396
435,29667
13994,844
37448,1966
64774,321
8276,3538
156,37907
1674,60683
435,31775
47887,31372
135,17869
72772,866
6782,10971
435,16284
436,1627
29116,36
13425,192
71515,36
34466,3870
56218,1844
135,29502
66090,36
51964,6375
156,39352
72462,3370
30778,866
1894,3870
65455,588
27355,1050
156,21937
609,16740
163,49326
156,48261
435,35093
435,849
163,11955
163,22836
49001,4089
73853,2424
66696,3738
1674,3210
6536,26370
156,22622
156,29810
4528,321
31005,6
156,18182
587,7444
7367,15962
163,41475
1967,1966
51190,36
62806,36
32156,243
24024,192
33601,3370
435,56354
5954,14319
3669,751
163,68228
42707,36
135,5129
599,16689
163,22913
14967,36
610,779
2185,2158
39339,866
156,11475
435,42834
156,69974
4593,288
156,4797
68574,2417
36805,978
24390,588
16084,192
1674,8310
135,68528
163,4090
435,38789
435,47467
1674,4491
156,46452
64299,4767
156,8910
48490,192
35605,6375
63181,2158
17632,321
135,859
53036,6288
33990,1016
435,36112
4811,1966
71958,1374
599,25764
34218,250
156,4074
14704,819
75421,321
7425,11955
19844,6788
435,19086
135,12362
3421,22206
21962,321
75434,5790
56302,2424
156,602
3421,25425
163,7375
43690,1844
712,859
51632,1966
5708,3370
54313,6375
156,2810
163,25792
435,19041
34304,7057
617,351
435,28861
156,8756
46872,1568
435,71457
60944,36
70172,1627
57689,602
156,14704
74797,819
2269,13002
156,13294
62471,5802
156,12658
156,6872
6448,321
59879,6
435,1359
4365,74864
12199,8910
435,41498
135,36685
38564,321
435,2285
435,56033
435,14606
29515,114
28928,494
3421,6
74477,8310
163,28010
3782,819
156,10998
1674,16136
25877,1844
156,3930
156,8743
435,2078
38961,1966
30116,36
435,26750
27309,8601
14841,7557
17459,844
732,8601
435,40244
32078,2063
25385,844
163,10183
435,17033
34178,1050
37247,8601
25063,904
1674,22791
38824,1627
22560,4767
22158,6
435,37353
31571,351
7249,13627
31121,321
156,5228
435,30546
156,7557
135,21743
61231,250
36993,36
56899,1374
156,59719
