teamplaysagainstteam_1,teamplaysagainstteam_2
13298,2286
662,4779
2004,447
687,13029
2004,3567
3314,2593
383,2007
8160,5242
6032,18519
3188,446
2338,422
1913,11847
25786,5361
1248,806
4854,7486
87,350
11213,7563
1248,9915
99,447
4148,1265
2286,13298
3188,99
3900,421
501,1011
7319,4853
932,2703
87,3383
8204,7311
12031,5361
57,14077
1493,62
2703,4779
87,3293
6212,6211
2341,3745
4418,1604
3179,12031
2007,5352
1081,9262
476,36913
687,686
1913,1102
3360,422
1004,1604
2973,1355
2007,1988
3745,2593
3665,3745
392,8286
449,446
486,3893
3665,68
2703,2702
6032,1493
552,1913
87,16614
5560,11511
10961,1102
6088,15672
1493,486
34665,2286
35,2209
27331,4899
1116,350
3745,113
497,2694
1004,3512
14077,383
971,28153
20258,2694
4148,1004
500,4662
7319,4854
882,5920
4418,4737
4848,3746
3746,1265
2694,497
14503,2593
34,68
113,3665
5002,4779
113,282
2172,4867
1604,1004
6816,6032
2973,14077
7499,302
1004,1493
1604,57
6913,2173
7039,256
4297,35
3188,5044
971,1807
5340,1102
486,1081
6816,4383
1248,10060
500,7512
3393,4602
15368,446
7812,2694
22473,6211
1633,486
282,10922
4123,1493
15727,5560
2593,4297
4123,2694
9262,932
392,7498
3893,2476
1004,7486
4853,9915
326,447
486,6089
3746,2819
264,2640
5352,9915
1633,500
256,446
6032,446
87,450
62,1248
500,10978
35,17579
383,57
1914,14983
3558,1086
383,2694
1116,449
1633,56
126,4662
3293,447
882,15672
3293,4659
28507,11214
3745,551
9769,1604
2703,421
2715,500
486,1011
4602,6032
10864,2427
4148,486
1116,6744
4297,68
113,281
3746,383
1102,35
497,3746
3893,7039
13298,2247
392,882
99,1284
26510,3179
882,12115
3558,8148
10392,1081
1988,56
19054,2209
3188,7039
3567,256
35,2593
486,562
1102,2341
2476,882
1081,392
5002,3900
7812,383
126,1248
3188,87
14983,1914
446,11716
18198,3558
62,12248
1604,1011
3360,5002
1248,56
551,113
486,2007
2244,3772
422,4779
281,3314
2247,686
2694,1493
1011,3188
34,4779
7115,7311
302,27331
446,15515
281,17579
1248,126
4853,383
282,10392
1116,3393
10961,1250
3393,2004
2476,16614
68,1102
44742,17927
1289,4602
4853,14077
2286,3900
3746,1004
971,14248
447,486
497,1633
69,2286
1116,56
56,932
2286,1102
2007,1004
12248,5044
10467,5636
113,12325
5352,3746
4602,16614
687,9262
4853,4662
552,10759
5636,3558
500,6348
57,2007
256,4602
68,1913
392,3188
497,3821
449,11172
4418,57
4737,1011
28507,15727
686,3393
3383,256
4165,3393
2427,9262
25088,21342
28608,932
265,1993
4123,1011
3293,449
2004,1081
379,971
8286,7068
449,99
1004,57
2694,1004
34,932
1081,449
4853,2007
971,2286
18652,7115
882,1284
56,126
4853,87
26997,18652
2819,1004
1265,7319
5920,3393
326,5920
256,326
4779,13956
2244,1250
4867,5636
20983,6032
687,3360
5560,6305
3558,11214
2476,7498
5242,12031
1116,3383
2593,690
35667,1992
2476,450
5636,5242
10864,2338
4926,476
2244,8814
446,12710
3383,18519
4779,687
3314,1102
1604,12248
57,383
3821,1004
281,3745
2286,34665
35,10392
1004,9769
8814,113
2694,126
1914,552
1493,4123
3383,4602
4926,971
5002,34
422,9262
552,281
1250,379
383,971
5560,21669
8148,25112
2973,1011
9769,500
14077,3746
1265,4148
4383,7116
3393,7068
500,5044
4418,62
2209,34
1004,500
882,15846
21181,4602
2286,2244
2593,281
35,256
2338,421
3293,8286
1011,500
3893,4165
2593,1102
10467,5560
62,1004
18519,10864
350,11172
56,7319
1284,256
916,4779
87,487
7039,882
4123,1004
4662,62
1004,3821
12325,2593
87,99
392,326
87,7039
113,28153
486,3567
7486,383
2556,22473
562,882
2476,4602
2004,2476
5340,3314
450,4602
7555,9262
2593,1914
20983,10392
1248,3746
4602,450
25786,8160
1284,350
26259,44742
4661,2593
126,3746
4602,486
6744,932
28443,1248
1439,2973
3314,8814
2286,552
34,2338
16759,2733
4165,4048
5044,500
1914,1250
282,2593
486,450
971,1913
1116,1011
16402,281
57,4418
3746,806
326,2476
1116,7319
5920,7068
1493,56
100,3893
2209,3360
3512,126
28393,1493
8160,25786
1493,7812
2476,486
1248,16250
20258,500
1993,264
4383,7563
14077,2973
447,7039
2173,2172
1248,10159
5182,1992
256,8286
4853,4602
500,383
686,1284
2007,3512
1102,2286
500,5352
5044,2973
476,281
686,2209
7039,447
932,1604
2004,4659
9262,3360
500,2819
256,392
14983,2593
447,4165
87,882
690,2593
37055,1992
3314,69
2209,2286
14294,10331
3360,2209
2476,2004
383,1004
486,3293
4659,3293
2007,1248
2286,2593
4418,500
6088,4513
56,10060
57,1222
392,3567
14077,1248
971,281
1004,1988
4853,447
1248,1116
16250,4662
56,20258
4659,1284
281,552
562,3893
113,2286
422,2338
18519,5361
28608,264
446,1289
4297,113
882,326
10060,56
1116,8286
446,4853
3393,8532
3393,2476
21762,3360
113,4661
2702,2703
447,3393
2004,4165
15906,22739
4853,3746
446,35
552,476
1493,28393
383,500
5242,3558
2286,168
2973,7319
3293,6089
68,1914
2593,476
15349,20791
3746,7486
350,4602
2694,20258
971,4297
2209,35
1116,450
2341,4183
3567,446
1355,4148
932,6744
13298,686
5636,25112
5920,486
8814,3745
383,7486
68,14983
87,2476
1604,4123
552,22573
18519,6032
1284,4659
2703,9262
10159,7319
1439,2694
1011,1355
3745,1913
3567,87
68,971
1248,500
1086,2173
1913,282
8814,2593
326,3393
2694,5352
6088,9821
5340,281
1011,4123
10922,10961
4659,4048
3393,4659
10331,15905
2004,446
882,37055
326,7068
4602,7039
379,476
476,3772
882,3393
1289,1284
500,3188
1004,4123
3567,3893
350,486
4048,486
264,10331
28443,500
4514,37055
3567,3188
9915,806
69,1914
1102,1913
687,2209
2244,1102
56,1004
1081,2209
4048,562
4048,99
1081,87
1439,500
3746,3854
882,562
302,7499
3900,5002
4661,281
7812,1004
1081,421
5044,20258
326,446
552,10922
9769,3746
13920,5361
8814,2244
1633,1004
35,69
350,2004
383,10060
6305,1081
421,916
2973,5044
392,3293
421,9262
1116,3893
31262,446
486,3746
87,4853
5361,18519
1081,932
447,500
4853,9769
2694,3821
14983,281
28153,1102
2004,256
686,99
5002,687
4853,2694
7319,1116
5560,1086
3314,1914
67168,3383
1102,5340
500,28443
281,5340
7812,500
16614,350
4926,14983
486,99
56,62
3393,4165
34,687
3745,971
1284,99
4048,4165
1807,476
422,3360
281,69
4659,882
8366,500
932,9821
87,3893
7563,11985
16402,2593
3293,100
2973,1493
56,486
1116,446
1993,1992
7068,3188
10922,113
2172,6816
3188,1248
100,3393
62,1011
1004,5352
282,8814
1248,1633
562,87
2733,16759
4853,126
1004,56
28608,6088
4853,2973
486,1248
2593,12325
1011,57
2593,14983
9769,2694
14983,113
2286,113
3314,35
16402,552
3293,3383
12031,26997
1102,10331
501,486
6032,5361
4854,57
3746,2593
1116,1004
1250,4297
11511,7563
7403,4147
1913,3314
6032,20983
2004,882
486,501
17927,971
4926,552
3188,5920
9822,2209
4853,1988
446,9118
4123,500
5560,5636
3393,3567
446,450
5002,2286
1250,4926
113,17579
265,264
2973,8366
1004,1222
6816,25088
99,3188
2476,1248
1116,11172
12031,3179
971,4184
1633,7812
6816,2172
16250,56
4602,562
2007,57
2244,3314
4661,971
4659,326
1004,12248
447,2476
10392,282
4148,1604
15349,46376
57,4853
25112,3558
126,383
57,497
4048,7039
3188,383
971,4504
3746,57
971,476
4662,4853
1102,1914
882,4513
16250,7319
5242,5636
8286,4602
99,350
379,69
10978,2973
1992,1102
1493,9769
1604,14077
3893,3567
12710,486
449,392
57,4662
3293,562
486,12115
2209,4779
3393,4048
21669,4899
686,3360
3746,3188
446,5920
486,2694
1011,4737
230,5183
7499,27331
686,4659
562,3293
10961,476
1633,3512
4148,1493
350,7039
446,4602
806,5044
882,4659
9822,2338
379,68
1289,350
2703,7555
882,392
4737,4418
383,7812
34,2703
6827,3893
501,4148
62,56
1284,3893
552,69
3393,882
971,379
5340,1913
14077,4853
3567,562
282,476
3900,19410
1086,9118
2338,5767
6816,8148
1248,4123
4297,1913
2694,10434
500,8366
449,486
497,56
501,2694
16402,2286
4165,3188
87,4659
3893,4659
8286,99
5920,3567
1248,12839
1988,1004
256,562
486,4418
552,8814
126,3512
34,422
971,2556
18652,11716
392,446
8814,4661
1222,497
3188,3383
2338,8486
3383,1284
87,449
256,99
1116,383
3893,326
3893,1284
1004,62
3383,1289
932,12115
422,10864
350,882
264,15905
9118,446
350,392
28507,7499
932,12710
971,113
5352,2007
4602,21181
21181,3393
1914,476
2593,3772
971,3314
281,35
2007,4853
4662,8366
3188,1081
486,449
2007,497
14077,1116
882,4602
