teamplaysagainstteam_inv_1,teamplaysagainstteam_inv_2
2209,2338
1004,56
686,13298
4659,3383
3383,8286
11172,446
1011,1633
1116,392
487,2004
1439,500
282,5340
15349,46376
1004,501
9262,2427
552,3745
4183,4661
971,5340
8814,2593
7563,28507
687,1081
2694,806
447,3293
2007,497
6032,10392
7068,8286
9915,2007
446,113
551,1116
7068,2476
256,326
2007,1633
3665,552
446,3188
9915,497
6089,3293
500,1265
13920,1493
21181,3567
4148,7812
4779,2209
3188,3567
57,500
3383,4659
14077,16250
6032,1493
1248,10775
1988,1265
806,500
486,2004
350,3188
6913,11716
4867,9724
4659,326
971,551
10392,20983
1355,1004
392,8286
1222,1004
3900,2209
1102,281
87,3188
68,4926
16423,2173
3746,3188
99,4659
3512,500
4926,5340
1248,28443
281,14983
882,99
4048,4165
392,1081
9769,500
3512,2694
4148,1633
25786,8160
7068,8532
421,4779
4779,662
3893,486
486,500
28507,4867
350,3293
281,5340
326,3567
12115,486
5182,10331
9118,3383
5920,350
9262,7555
1116,1011
1248,8366
4148,1493
4848,57
2703,34
99,3893
14077,3746
2427,10864
1004,1493
882,100
971,476
35,1102
8222,3746
26259,44742
562,3393
33787,3393
44742,26259
3746,932
8286,446
5044,12248
18203,5182
3772,552
7319,56
2694,1604
10775,1248
35735,3393
3188,3383
1011,806
1988,1011
421,932
487,449
10392,9118
20791,15349
87,7068
486,449
383,1004
69,282
2007,2694
4853,3746
1004,3188
2244,281
7068,1284
350,1289
3383,3188
7068,882
23641,6744
6088,37055
3383,3293
1011,446
11172,1289
69,35
27331,7498
9915,3512
1011,56
4514,37055
2973,1004
13298,4779
10392,446
3188,486
350,326
4659,2004
7319,3746
62,4123
126,8366
9262,2703
3772,476
1102,4297
446,15368
1116,2476
7039,486
8286,486
12325,2593
4659,100
7319,1604
3746,1493
2973,1439
2338,2209
2476,4659
2209,16167
6032,6816
22573,2244
18198,5636
3900,2286
3746,3854
113,17579
6089,882
486,56
4926,2593
882,562
326,5920
690,113
99,1081
10467,26259
9118,1081
113,281
450,256
1289,87
2593,690
2964,10467
3746,2819
4661,4183
10922,3314
497,383
3393,487
1248,3746
562,3567
1493,5044
392,3293
552,4661
2209,662
687,3360
1265,3746
4148,1004
57,4848
2973,500
23541,4383
3893,4659
18198,25112
17579,552
3393,3893
447,4165
446,35
690,2593
10467,4602
3567,4048
551,2593
392,3567
8148,3558
1633,500
4418,1004
7068,87
552,971
23541,3558
971,2244
10864,5560
486,3512
2007,1248
7812,1011
2338,421
379,690
35,446
1604,383
100,1284
1248,10159
3383,326
1604,2007
10392,15515
1284,3383
383,56
4165,2476
450,4602
5044,497
1102,3665
4383,6816
3746,5352
486,7039
3746,126
4602,486
2244,22573
4123,500
1988,2694
2703,2209
476,3314
3188,449
1116,1081
4602,18519
56,2694
2007,4123
5352,1011
56,3746
10775,4148
1248,1116
476,113
383,2007
69,68
13920,7115
2007,1988
7039,4659
3746,1116
3665,971
8286,2476
100,446
12325,8814
3188,562
4148,486
3512,1248
7039,882
4661,1913
264,28608
4848,383
4661,2593
3893,3393
1011,9769
1011,3746
15905,5183
3383,67168
1086,28507
447,487
5361,25786
5361,1493
4661,379
3567,486
1284,3393
4661,552
4123,1004
3567,87
500,126
2703,6744
1250,3314
256,87
4183,8814
1633,4853
1633,56
446,882
4662,500
3188,1248
2819,56
34,2703
12248,1604
195,3900
4602,3293
1004,5044
34,2702
383,1248
4659,1284
2694,1011
971,4661
3854,3746
2247,34
3188,3893
8286,256
20258,1004
552,2244
1633,3746
350,3383
5636,5560
1004,497
7319,4662
5560,4867
44742,17927
2593,1913
3854,500
2694,1439
16614,350
230,264
8814,12325
35,34
1086,6816
4602,6032
932,4662
1913,5340
100,4659
7116,4383
932,56
552,476
12115,6088
1284,7039
383,4853
2476,2004
2593,5340
686,882
1222,2694
56,9769
265,1992
9262,687
3188,447
3293,392
99,392
1913,282
69397,687
5340,4297
37055,6088
2004,1284
126,2694
8026,3893
28443,1248
12710,2476
486,4513
20258,500
1004,4853
8148,25112
4148,1248
4661,3665
4779,13956
6032,446
21669,5560
14983,4926
62,1355
22731,3900
501,500
281,4184
99,1289
256,1284
18198,8148
476,10922
10961,476
4659,4602
5242,12031
500,2007
3188,392
500,1493
882,256
57,126
4779,687
1192,4147
11511,5560
56,126
10392,6816
1248,4148
1265,2973
56,1004
5183,1992
3745,476
25344,15349
256,3383
26997,8160
392,7068
350,7068
14983,2593
1004,4418
4853,7486
36913,476
690,4926
1004,2819
4504,1913
446,87
2476,1081
4602,350
67168,3383
8814,16402
5352,486
4418,4737
1284,3893
1992,1102
4297,5340
1102,14983
5181,421
2593,4504
3383,486
14248,476
14983,281
3893,882
4737,2694
3188,500
3746,7486
1102,5340
7812,14077
12031,5361
2476,87
2694,1493
971,4184
1248,126
4183,282
264,2640
7039,3393
7498,27331
3188,4853
4853,57
4659,3188
6348,1004
16402,552
1633,501
1248,1011
6744,2703
487,87
446,4659
281,2244
6032,3383
3393,4659
6816,25088
6032,20983
1914,379
7039,326
3821,486
2341,281
14321,12957
10060,383
500,1248
33672,1086
687,500
2209,2702
10434,2694
8814,3665
350,16614
4418,4148
1992,37055
2173,6816
4661,690
5920,3893
5361,11716
5340,1102
4291,3393
2593,12325
2172,6816
3745,11847
3900,10864
9769,2694
487,350
4148,8366
1004,1265
113,10961
11172,3383
2173,2172
7039,99
5002,687
476,69
37055,932
3745,22573
4165,99
2209,687
7319,4854
1633,3512
1102,4926
446,8160
2286,13298
68,379
500,2973
3746,16250
8148,5636
9769,1004
476,1807
2694,20258
10434,497
6305,25112
68,1102
806,2007
4148,1988
2694,4853
35,8814
326,2476
486,1004
126,4662
5920,1284
476,4926
882,326
916,34
3314,281
446,11716
3393,6827
1604,500
1011,10060
18519,5361
446,4602
9821,446
1265,383
5920,7068
18519,4602
87,447
4148,1604
2476,7068
3558,8148
3188,383
9822,13029
14077,56
392,882
14077,383
281,35
932,35
10331,230
5560,6305
690,1914
5044,3746
12031,3179
3746,497
1914,551
687,4779
2476,882
4418,500
256,2004
3746,4848
2593,69
4513,1248
383,500
7319,1265
552,4297
87,256
7812,1493
3360,1081
1993,230
392,350
1004,3821
2819,3746
7039,3188
3900,195
1248,383
7068,7039
4662,57
446,8286
3900,2703
10060,1116
2209,13298
113,22573
383,10159
230,1993
3745,3772
2694,4418
10864,2286
1004,1011
449,350
69,3314
486,11172
7115,18652
392,1284
392,2004
446,3893
562,392
3314,552
449,882
2733,16759
28393,7115
11172,487
1914,3314
34,3900
971,282
379,476
450,3293
2694,1004
14077,1116
3772,1102
87,3893
10864,13298
1081,3567
1355,7311
2173,8148
392,7039
3383,350
1081,10392
4147,7403
12115,4514
2703,422
449,256
62,486
486,350
1248,4418
2973,1011
4123,2694
1913,552
8366,500
265,10331
2702,34
383,3746
68,34
1355,1248
1914,4926
4662,932
2209,3900
25112,5636
500,7812
3893,326
551,68
882,446
15905,10331
4779,34
126,7319
18198,9118
8148,2173
1992,10331
4148,2694
1248,8222
3893,8532
383,10060
447,4659
4659,447
2694,5044
282,10392
282,2244
7039,1289
7319,8222
1011,1004
8814,3772
6816,10392
3558,1086
497,4853
2593,4926
62,3746
99,4165
36913,971
379,8160
69,5340
14321,25112
4048,7039
686,7039
1604,4148
7499,28507
11214,3558
35,4926
4148,1011
4867,2733
497,2694
9262,422
500,8366
34,35
1011,1439
5767,2338
7812,1248
9915,5352
100,3393
18203,15905
69,552
882,87
2007,1604
1993,14294
56,383
497,57
4165,3188
1284,4602
2209,1081
486,1633
4602,1289
5920,446
25088,21448
6816,1086
4602,487
501,1493
1116,3188
446,282
8366,4853
34,2247
7486,4853
1289,486
486,16614
126,3746
497,1222
2702,421
15905,1993
1102,10331
3293,1284
15846,4514
23541,11213
4148,3188
4048,3567
1633,1248
1004,806
2173,6913
34,421
113,10759
326,4602
4661,1102
16167,2703
1914,476
2007,383
1439,486
562,3383
10434,1011
4148,3746
447,350
476,281
4662,501
12248,500
17579,113
3188,3746
1493,4418
10331,1992
552,4926
1250,2244
10331,265
486,1355
7319,1248
1913,4297
806,383
447,1284
5340,1250
3383,392
10922,1914
3512,1011
3188,7068
2286,1913
69,2593
1004,383
1011,7812
7958,7403
552,4183
10864,2338
14077,1248
18198,3558
8222,500
1493,1222
446,5920
8286,350
971,69
264,10331
10159,3746
383,4854
7812,4853
2004,392
4148,1265
21181,3893
2593,3314
882,37055
3179,26510
13298,2247
971,690
1248,1355
7498,28507
3567,21181
2476,8286
6563,3900
383,2973
3665,282
11172,99
113,2286
486,4165
2244,2593
3567,3383
1284,1289
2004,3893
3314,35
3360,1116
100,882
3393,447
383,3188
449,1289
1081,2703
11172,486
2694,1248
113,4661
5002,2286
