instance_hyponym_1,instance_hyponym_2
2003,40190
27666,39252
25536,39772
23436,39332
26362,38735
16030,39540
15731,40636
33221,39135
9665,40270
7008,40722
31081,39942
7009,40695
12335,39422
684,40163
1474,40249
6493,40309
3317,40460
9678,39883
26362,38762
12829,40503
1474,40255
35090,38527
8334,40594
25250,40494
11620,37037
8334,40598
12829,40530
33212,39426
31916,38654
2569,39111
6254,39568
3317,40501
3895,38975
4175,38487
9701,39223
23940,40181
1474,40315
31916,38687
31081,39992
9678,39943
8334,40659
411,40519
4175,38526
11575,38506
6493,40396
26362,38866
959,39927
17130,38329
8088,40115
8334,40683
9701,39263
5283,36962
15731,40755
23515,37022
187,39312
15005,38700
4647,40324
13929,39296
23940,40259
476,38572
1474,40405
12335,39597
4678,39389
30285,40192
12829,40673
12829,40671
26362,38941
959,40011
12829,40676
31081,40134
13123,39767
20300,38474
23695,39723
959,40025
27434,38518
29829,38001
9678,40079
21295,40404
969,39732
21295,40425
27389,39927
16277,40326
2569,39301
17130,38461
2569,39313
1492,39934
3094,39425
13123,39831
959,40083
2267,40494
10807,37897
27666,39582
18398,40170
959,40102
188,39428
31189,36857
25536,40070
11575,38697
3094,39469
959,40125
18129,40349
30285,40333
31189,36909
187,39508
959,40167
31189,36918
2569,39421
969,39870
21588,39653
4175,38796
187,39549
1474,40620
2588,38854
1474,40633
31905,39373
6557,38723
23695,39921
13370,40520
3094,39584
31372,39503
4175,38842
8088,40426
31189,37001
39373,37241
2569,39498
21295,40622
16277,40535
9665,40715
13370,40558
684,40609
969,39987
4647,40658
35090,38996
6339,37362
4175,38914
8926,39098
684,16070
3094,39665
27434,38808
4175,38932
2569,39565
25536,40314
27666,39834
13961,38696
4175,38966
31081,40459
21295,40725
684,40701
2569,39614
29266,39399
23695,40064
21295,40735
4175,38988
959,40378
3094,39730
26362,39326
23436,39941
3094,39755
23695,40109
4660,40365
13123,40154
27655,40245
959,40421
959,40429
35090,39127
1493,40268
477,39007
23436,40004
39825,39824
4175,39076
4175,39075
2298,39933
26663,38281
30285,40713
4175,39108
21588,39972
34314,38713
33254,38806
13123,40260
35090,39240
30285,40723
2569,39760
31081,40646
7619,38873
31916,39335
188,39858
31081,40640
35090,39276
31081,40648
2569,39811
13123,40317
2568,39846
36410,39340
9701,39929
13961,38942
2569,39850
15296,38540
13123,40374
20300,39079
6254,40322
31081,40733
4175,39243
13230,37072
4175,39265
2569,39903
969,40351
13123,40424
2569,39926
3094,40034
3094,40038
35090,39427
15556,38755
26450,36923
4175,39331
26626,39675
35090,39419
477,39296
698,40647
4678,40161
3094,40113
30306,40305
13123,40526
2569,40019
4175,39393
13961,39139
24520,39481
4175,39408
26450,37021
969,40488
2569,40046
6254,40512
4175,39423
20300,39261
17417,38525
26663,38642
13123,40588
23436,40391
13961,39204
9234,38283
13123,40617
10807,38692
13929,40210
3201,36908
2569,40120
12335,40480
2569,40132
28784,38492
13123,40653
17130,39312
10807,38720
6254,40607
13123,40662
13123,40681
21588,40411
35090,39652
6254,40629
969,40631
5320,36845
1855,37764
3094,40344
2569,40236
10807,38815
26663,38792
4464,38853
17130,39419
29566,38927
187,40381
3948,38482
28784,38614
3948,38489
3948,38497
4464,38888
3094,40408
15049,38443
1029,38891
4175,39667
5320,36945
3094,40414
10807,38881
9233,38540
15049,38470
10807,38906
8926,39871
23236,38640
792,38082
26362,40055
1856,37882
5320,36999
3948,38586
5320,37018
23436,40677
812,37516
2396,37563
7373,38929
20300,39598
4464,39006
5320,37045
9736,39410
20338,38443
4464,39010
15049,38558
3948,38632
5320,37065
10807,39002
3948,38641
5328,36825
7373,38977
8183,38440
15296,39133
9233,38671
5328,36839
6557,39711
1282,39395
21588,40694
33069,37084
20300,39706
29326,38422
15049,38640
3948,38718
5010,38565
27434,39743
4175,39879
3094,40625
15049,38669
20338,38558
28790,38677
5328,36930
24039,38527
7393,38462
5328,36942
4175,39917
5328,36944
4175,39924
3948,38769
15827,39166
1844,38457
7373,39096
11620,38514
26663,39113
5010,38625
10807,39143
12379,39563
5328,36969
1244,40691
7393,38494
10807,39157
5328,36967
7393,38501
3948,38798
15901,36903
4175,39954
10807,39170
8927,40105
5328,36987
3948,38813
11575,39949
5328,36992
20338,38640
35090,40098
7393,38528
4175,39989
3948,38837
5328,37017
5328,37020
11620,38583
15901,36947
10807,39235
38184,34337
15901,36957
5328,37061
26663,39233
11620,38611
2569,40670
15901,36974
17426,38855
15901,36999
2569,40687
6339,38502
15901,36993
4175,40061
16108,38769
15901,37018
3948,38912
7393,38621
4175,40073
9560,36982
12101,40129
2569,40714
2569,40717
4175,40082
2569,40720
33018,38899
4175,40093
7625,39642
3948,38949
35090,40190
7393,38660
3948,38955
7393,38662
26663,39311
5233,40084
4197,39433
13961,39861
14759,39704
11620,38721
12415,38668
12101,40209
4175,40164
4175,40169
7393,38719
11575,40143
26663,39371
3948,39030
26663,39372
13961,39948
10807,39414
5010,38908
15049,39007
4175,40224
9233,39074
24030,39130
29326,38787
4175,40234
10807,39441
16653,38452
792,38616
7393,38799
11948,36851
30653,38648
15913,36838
4175,40264
15913,36827
15913,36849
7393,38816
2615,39482
35090,40396
19818,38670
15913,36845
4991,39562
4488,38777
792,38664
35090,40369
6564,39955
26663,39485
26663,39495
9233,39174
38840,38839
40632,40631
26663,39518
10807,39537
7393,38874
4175,40337
20338,39007
20300,40186
7393,38893
3948,39195
8183,38996
6339,38811
26663,39571
15913,36945
26450,37981
11948,36976
15913,36949
19769,40295
31916,40562
15913,36938
15913,36963
7393,38928
15913,36964
15913,36956
6339,38848
20300,40243
15913,36978
5283,38824
35090,40522
3948,39252
19818,38795
15049,39188
10807,39615
7393,38954
36690,40049
11620,38999
6339,38872
20300,40258
1855,38624
4175,40434
5010,39126
3948,39285
35632,40135
5010,39129
19818,38827
5010,39138
4488,38940
15049,39239
15913,37045
26663,39660
15913,37036
10807,39693
2931,38087
26663,39680
7103,39838
3948,39345
19818,38904
17426,39327
15913,37065
15913,37066
36715,39397
15913,37069
17978,38592
501,39715
24012,39951
9779,38823
4175,40511
4175,40515
7393,39069
9233,39381
10807,39740
792,38909
20338,39188
6339,38993
1844,39072
13961,40285
10807,39763
11620,39136
17978,38657
10807,39766
7393,39105
4175,40563
4175,40567
10807,39774
6339,39029
20300,40419
15049,39352
26663,39776
1029,39807
792,38962
20338,39239
4175,40586
2333,40347
26663,39768
4175,40591
792,38980
10807,39808
8183,39242
792,38989
15827,39857
11620,39200
20300,40450
26970,38498
30130,38843
7393,39181
3948,39478
33832,38759
15049,39423
13961,40398
10807,39865
792,39038
30401,38663
11620,39248
11620,39246
11620,39244
3948,39516
7393,39228
27997,39471
3948,39531
22990,22684
20338,39352
26663,39878
11077,39726
4175,40699
1856,38861
6359,38537
27464,39641
13493,38586
4175,40724
31189,38877
10807,39940
3948,39582
7393,39280
4175,40741
7393,39282
2391,38703
13961,40486
30401,38739
4175,40746
11620,39337
7393,39297
3948,39613
23473,40559
11620,39350
5283,39221
11620,39394
17426,39624
7393,39367
5283,39241
21367,40354
32827,37362
13961,40566
26132,40089
20300,40652
23242,39600
2931,38466
25355,39657
11620,39443
10807,40080
32779,38873
21643,40051
10807,40086
9233,39742
29328,39380
26663,40070
9233,39749
13493,38787
15901,37858
10807,40128
7393,39476
2931,38530
3948,39771
18046,36921
12674,39602
28784,39907
35632,40603
15556,40394
3178,39098
11620,39541
32779,38960
1029,40195
26663,40177
25392,38613
3948,39834
10807,40202
21891,40666
8183,39622
13961,40728
11620,39586
27464,39934
10807,40206
30676,38690
7393,39553
7393,39554
3948,39856
4978,40700
19818,39405
15621,38465
5010,39728
792,39424
10807,40261
3948,39891
7393,39593
5010,39752
13493,38931
13493,38929
13493,38935
15875,38821
23242,39821
27464,40009
2931,38698
18266,38470
9779,39411
792,39484
35972,38466
25392,38738
23236,40060
11620,39702
11620,39700
18266,38480
10807,40343
15049,39913
18266,38489
17968,39559
19818,39557
7393,39697
5320,38429
13493,39034
17417,40274
5320,38439
5320,38446
5320,38444
6339,39623
5320,38450
5320,38451
26663,40388
13493,39046
1139,36998
5283,39606
5320,38478
33586,38789
15827,40447
10807,40423
1029,40441
33300,39448
6339,39677
3948,40068
7724,37712
19818,39628
6113,38511
26663,40451
5320,38520
20338,39913
5283,39677
5320,38529
9813,38509
5320,38531
30401,39278
1672,36935
792,39641
9233,40115
5320,38544
10807,40479
5320,38550
5320,38552
1672,36954
5320,38551
9779,39592
4464,40522
1649,37680
5320,38573
13493,39169
1071,39229
19818,39717
792,39694
10807,40528
26450,38915
7393,39873
5320,38604
26663,40524
5320,38611
5320,38617
12721,38563
5320,38619
26663,40544
13493,39219
5320,38630
5320,38628
4266,38537
8183,39997
5320,38631
5320,38642
5320,38646
5320,38643
11665,38565
10083,38453
5320,38655
4464,40621
5320,38661
10807,40590
792,39765
5320,38672
5320,38682
12194,38579
17978,39497
11620,39996
2931,39029
792,39802
2419,38521
5320,38710
5320,38722
5320,38726
7393,40007
5320,38727
10807,40663
5320,38733
26663,40657
9813,38728
10807,40684
19818,39877
5320,38748
10807,40686
5320,38761
12415,39999
26663,40680
11620,40076
10083,38584
15901,38444
3948,40358
792,39892
10807,40731
5320,38802
11990,36844
17426,40364
19818,39939
9233,40385
12721,38765
7393,40110
11990,36864
11990,36871
26980,39129
39897,31904
26980,39126
9233,40426
4265,38788
15875,39340
2419,38681
10083,38673
9813,38851
2931,39196
5320,38869
15901,38549
7393,40157
13493,39475
7393,40165
11990,36919
15901,38556
5320,38897
8287,37035
5320,38895
3948,40472
15901,38581
12470,38438
5320,38911
26,39191
