member_of_domain_topic_1,member_of_domain_topic_2
33780,30814
6066,13422
13459,5418
12818,8906
13459,5419
28522,13622
28522,13623
2596,30888
6418,2519
19536,30046
35406,13220
17308,8987
5266,30042
30378,13420
3294,33833
4087,9258
5266,30059
11414,27888
19083,19520
17308,837
17308,25413
2833,39955
17308,838
9634,1155
11261,32648
11077,21971
17308,25405
7222,10398
28699,24544
7222,10397
7353,14535
11127,20415
2195,35167
9634,25740
9739,14302
11261,24464
34370,28969
26476,27931
9634,1180
14246,22060
625,10134
6672,11097
6709,9949
17308,17268
17308,17269
1458,17094
23791,12906
4228,4956
752,30808
6066,38106
17308,33662
17308,25470
17308,915
17308,916
2350,30432
28522,38306
2476,34731
17308,17309
2336,14505
6066,13566
13056,26260
11077,38458
13459,30148
11127,20521
12235,10759
7752,26868
17308,33725
17308,957
17308,958
11077,38477
11077,38476
36441,30424
11077,38488
9634,9494
6709,34634
17308,25560
11077,38496
11077,38505
6066,13628
2349,5972
35144,13344
24243,23570
25798,40908
6066,13630
25798,40904
15702,9836
10960,17571
6709,1893
2336,22769
20816,23341
6066,13639
9656,33418
29688,2253
25798,16345
34370,20939
20,29042
25798,16344
13459,22040
36341,25415
9634,25936
36341,851
11077,38555
17308,25621
25473,26458
17308,1035
25798,16377
17308,1036
11077,38560
3780,35388
9739,6319
6066,13681
20816,31576
36341,33642
18872,26296
2106,29953
22980,21829
26910,6494
6672,19488
13459,13894
1462,775
4311,35340
4228,21527
6066,38284
17308,25650
24343,28769
25798,32813
25798,32814
11077,38605
10960,25848
5654,18305
21336,23676
5743,23738
19658,1986
19658,1987
4733,14106
11982,2388
11077,38634
24317,13226
23562,28439
625,18582
14246,30502
4013,36436
32824,28027
20816,23463
12905,22941
12095,7089
4243,4746
3909,23292
11077,38653
11077,38652
14237,22627
18407,16241
17308,1159
17308,1160
11982,18797
11414,11832
3638,7134
1845,29948
2349,6134
9656,799
6066,13791
6066,21988
25798,32897
21835,32873
9634,34260
29409,11065
9656,33588
18223,5566
13654,24337
20488,17275
9634,1498
18490,5486
14246,30569
6066,22005
11077,38706
20140,3503
11261,16627
34523,32765
12470,3718
11261,16628
36341,33762
25798,24749
11077,38725
6418,11127
4733,6017
6066,13851
17308,9408
2933,29059
3780,27386
29688,18864
36483,37581
6418,35721
29875,21255
2349,30790
6066,22064
6066,13875
19691,9301
7977,36554
17308,1243
2933,37276
11077,38770
11077,38764
2195,11010
5266,14114
35406,21839
11077,38773
3294,34289
25798,8416
438,40912
6418,2995
11077,38794
6709,10363
20426,2934
5654,34875
20426,2933
11077,38801
24317,21567
25178,35840
4013,36602
6066,38498
13056,26609
9634,26194
6164,10894
40867,8236
17798,18874
35406,30116
6066,5753
21835,33006
6066,5758
11077,38841
18490,22036
21329,24137
25798,33056
11077,38850
11261,24950
5654,2167
18344,34770
13332,26296
21835,24856
7977,12076
6066,13978
5926,34706
11077,38868
11077,38870
17308,1356
22758,20822
11077,38882
20519,32892
2833,7725
2833,32300
26476,36664
1845,38356
6709,2260
6066,5813
11868,30748
17308,25950
25798,16733
17270,10770
19658,10469
3850,17185
9656,1042
6066,30420
11077,38921
6066,14034
35760,11042
17270,10785
12818,9524
7977,20338
11077,38927
11077,38926
12095,23765
21329,7848
6066,14049
4694,32011
2933,29262
21329,7847
17308,1445
17308,1446
6709,18714
17308,9640
19658,35093
17308,9641
9656,25665
16313,24118
18344,2104
17308,17840
35256,26693
17308,9672
6761,8941
17308,1467
17308,1468
17308,34237
6066,22304
12095,23817
17308,9665
11077,38990
11077,39001
20816,32010
25798,452
13459,6128
15752,16966
13459,6127
2195,35822
17308,9681
6066,14126
17308,9682
11077,39017
16313,24161
6066,22323
38196,33923
2349,22865
3780,11274
25798,8656
24243,24082
11982,2774
25798,453
11077,39022
29068,13802
2349,6502
27986,22759
2699,28423
17083,16688
17083,16689
586,36586
11077,39044
31500,3955
1845,5755
27986,30967
6066,14176
20816,7478
18344,2210
11077,39061
28774,6556
13459,30764
23585,3594
6709,10655
11077,39085
36341,1392
11077,39097
2349,31135
11077,39099
17308,26168
6817,7322
35406,13975
11077,39107
6066,6026
23585,11799
23585,11798
2833,32526
6418,11511
5213,32483
11414,20483
5654,35197
10960,34557
9656,17633
2689,20622
1721,26060
9634,34713
6066,6067
752,15151
24243,24224
11261,25246
2349,14806
2349,6614
4243,13441
833,12654
19658,35279
5926,26808
752,15167
11127,29418
20816,15783
4013,20579
11077,39171
6672,20077
12905,23456
11077,39177
17270,19231
26476,4178
17308,9875
29490,880
6418,3393
11077,39189
21835,33384
11077,39191
9656,1321
16603,15352
9656,1322
16603,15353
9634,2013
28699,9009
16313,7957
11077,6435
17308,34445
12470,28783
13459,22698
9656,25906
17308,9874
2833,24434
7977,4238
9656,1337
11913,5110
1721,17957
39072,15137
11414,4201
11077,39227
13459,22727
29246,33044
19691,34333
6066,6154
33572,5456
25798,8878
11077,39250
17308,26303
6066,22561
6709,10827
13459,14563
2349,6731
9656,34162
11077,39273
833,4576
11237,26123
11077,39269
38196,25992
6817,7498
17308,9952
5266,31011
6817,15698
21835,33475
6066,22600
2933,37802
6066,22603
2106,6100
2106,6099
30988,3677
26476,4285
3638,15957
11261,832
13654,33146
11077,39300
25007,25271
17308,1793
17308,18199
1845,6024
23791,22028
11077,39328
11077,39330
2795,25734
6066,14456
33167,26308
11077,39346
17308,34591
31508,12182
6066,14462
6066,14461
26476,20718
6709,19121
20426,3487
11077,39358
20488,26159
40892,32620
23900,18691
1462,26138
16313,16312
20816,32367
3294,2120
12095,32392
6066,30877
16313,32721
17308,18260
20426,28095
1845,14290
11077,6633
11077,39403
12095,24227
6672,36687
1117,28672
11261,25502
22980,14473
36341,26291
13459,6536
6066,30913
13459,6535
20140,12424
17308,1914
1458,34503
5266,22956
25798,17237
25798,17238
25798,33623
13056,27238
26476,20824
18490,30821
16313,24582
25798,17264
4243,38300
7353,23808
4243,13726
11077,39438
6066,22758
17308,26507
6418,28233
2349,15117
13459,22967
2349,15118
17308,26534
4013,37266
11077,39468
24243,40916
5735,280
7424,5266
6066,14596
19536,14828
25798,925
11077,39488
17308,18371
11077,39499
25798,9135
25798,9136
4243,30173
8372,477
11982,11448
29944,36277
34731,10733
19691,1865
24243,16399
13056,2743
21835,9119
16313,8285
16313,8284
4733,15009
11077,39533
6066,22847
2028,33339
6817,7765
18344,19078
3294,10485
25798,17372
16313,32879
2106,6364
9634,18754
6066,31062
625,27703
9656,1700
11077,39566
11077,39577
9634,2389
25178,28439
1458,34664
11127,29843
13459,23084
18700,24448
11077,39580
9656,26289
11077,39595
40892,75
4694,40859
5654,2909
9634,18800
3780,20050
5266,14947
28522,31301
2689,29301
2349,31649
3780,28250
6066,22918
16538,17784
19117,3359
6709,27565
11077,39620
38196,18151
18490,22824
3780,20072
20816,32625
11077,39633
17308,34877
11077,39635
11261,17546
15752,9399
2028,33441
9634,10655
36341,10110
20196,35476
9739,31970
25798,25684
25798,17486
11077,39654
31341,9490
2106,22855
20816,40873
2195,3717
6066,31176
9634,27066
26261,19526
1852,30748
11077,39688
11077,39690
23699,17044
6817,32494
12905,32176
11982,19832
16313,16654
6418,36675
17308,2197
17308,2198
11077,39703
11077,39708
17270,19777
6066,23034
5743,33057
6066,23041
14246,31609
4733,15213
3780,28377
27235,22173
20190,19387
17308,10426
33780,32252
9634,10746
14246,23432
4243,22233
3212,37810
6672,28862
11077,39757
26950,31015
6066,14884
17308,10454
11077,39764
15702,27461
6066,14885
28522,6877
752,15784
9634,27168
17046,10378
14596,37190
5926,27440
17308,35035
17308,18654
1117,37254
11077,39788
36341,26649
2699,20992
11237,34845
11077,39817
25473,19532
25798,25842
11077,39815
6418,20405
12706,5708
29944,36570
3780,36655
2349,31869
1767,759
33074,29650
19117,36359
4228,22777
11077,39828
2933,30156
16313,8596
625,36174
17308,18705
20426,36734
13459,31542
16538,34406
3780,36685
4733,31717
17308,35104
4243,14149
16313,8621
6066,6786
11261,1401
13459,6993
6066,6798
11406,37882
2349,15543
2349,31926
4048,28411
11077,39898
17308,35161
30378,31394
35270,2606
12818,26894
25798,1334
25798,9549
6066,6839
6066,6837
13961,16041
6066,6838
752,7734
2349,23764
12095,24747
25798,9548
6066,15039
26773,12114
2833,16966
17308,35180
25798,25942
19658,36061
17308,10631
17308,10632
16313,8698
16313,8697
30378,15056
34523,9463
19658,3312
35256,19481
34370,5987
1117,37428
11261,1496
6418,20553
11077,39965
2349,23820
12335,33742
8534,20504
13654,17443
6066,23289
6418,20575
30378,15081
20856,31765
11077,39988
6066,15113
36341,2308
5926,3078
11077,40005
25970,12506
19658,27946
29721,19098
2933,13953
29246,25632
9634,27403
6709,11588
36341,35062
11077,40021
17308,18906
25473,36116
17308,35275
11261,34331
16313,33357
17308,10724
17308,18917
25798,26061
18490,23240
11077,40048
2195,28670
18490,23241
17308,18926
17308,18927
34523,17736
17308,18930
6709,3445
11077,40075
9656,18590
18090,19286
6066,7004
17308,18940
3035,35429
6066,7005
3294,35593
11077,40078
3845,2135
24005,32541
20030,32890
36341,2365
6066,7019
35256,27807
6066,7020
11077,15520
4243,6189
17308,18958
17308,35343
18490,15087
18490,15088
9794,30721
1721,18853
13459,23610
4228,31253
11077,40119
25007,17897
36341,10589
6672,29228
6066,7058
13961,24459
11077,40145
16858,24763
25798,9794
17308,2647
11077,40156
6817,24765
16313,8912
13459,7288
752,24368
30901,31841
6066,31665
1117,37634
11077,40176
25798,9802
3850,26642
13654,1245
14246,32056
17308,10872
307,21801
35847,17776
17270,36637
19569,30907
6066,7127
18734,24014
20190,11646
6418,37177
708,9391
17308,10881
20816,455
17308,10900
17308,10901
2245,35480
33941,27739
29944,20587
2336,40857
11077,40226
6672,37516
2689,13536
11077,40235
6066,7164
12095,25067
6672,21147
11127,14125
17308,10938
6066,31749
19372,28861
9634,27654
11077,40267
6066,23569
6066,31767
7222,28704
13459,15584
752,40861
6066,23581
17308,27347
13459,15591
752,40872
2349,24134
17308,35536
2048,33469
752,40880
6066,31799
6066,39990
36341,10796
17308,19165
11077,23916
11077,40303
17308,19170
5266,23841
6066,7234
6709,11882
11077,40311
752,40903
39821,17591
11920,30571
17308,35566
29246,17744
6817,24929
6817,24928
13459,23829
16364,32075
11077,40336
11077,40339
17270,36759
11077,40332
29409,20926
24318,39481
3294,35854
11077,40340
20816,25152
20140,5152
17308,27409
20426,37245
20140,5153
6418,20947
12175,30897
17308,27420
9634,27759
11077,40367
11077,40366
20488,27171
4733,32244
4733,32245
9656,35282
11077,40393
3638,668
12818,35577
298,30491
26476,29993
14246,32292
4733,32279
6066,15530
11982,4180
17308,19305
3638,17083
17308,11100
6709,12001
11077,40440
18700,25318
9634,19633
2349,16098
4311,20816
11077,40449
29409,29207
25798,10070
25798,1878
25798,10071
25798,1879
1845,23547
6066,31958
20816,8881
35186,38546
17308,11156
11414,21835
6418,29255
13459,15793
35187,38525
10960,11344
6066,15608
26476,21876
10960,11345
6066,15612
6418,37468
30988,29457
4013,30105
11077,40507
11920,6189
17308,19396
9634,19719
35144,15355
9634,19714
29944,20893
1117,37990
14246,16015
2689,38412
9634,19723
11077,40539
17308,19414
1117,38000
1117,38003
36341,27389
9656,2676
11077,40543
17308,35794
26547,3359
2833,9399
17083,10010
6066,32058
11077,40557
11077,40570
20816,25384
2106,15563
4013,5603
17308,27629
35186,38654
11077,40575
5926,36424
6709,3958
29246,9830
31508,5243
29246,9831
3294,36098
36341,35660
6160,37367
6709,3970
17308,27667
11077,40605
20856,32363
9794,14843
6418,37582
24724,35333
17308,27666
35760,29127
17308,19487
4243,6722
2028,1666
6066,15756
4243,31313
2349,32684
25798,34861
2349,40881
1722,35745
2349,16310
3638,25507
20816,33654
11406,38648
30378,7592
25007,34829
11077,40661
13459,7781
6066,40359
6709,4044
29246,34482
11077,40674
17308,27727
