derivationally_related_form_1,derivationally_related_form_2
29482,17497
8365,16786
33045,38150
13077,1785
29482,17526
37717,24394
22983,22377
1601,29864
35765,19375
29233,25234
243,6430
27538,12244
18330,35551
8903,123
38128,11632
29702,10719
11907,38066
300,4673
16125,38394
38066,13564
19089,12032
27518,12884
2426,4307
14787,14333
37343,36016
35878,15896
8366,16787
12123,31391
14694,17225
23416,8995
26755,36550
19359,3680
10465,17257
16821,16827
29075,30192
2091,14714
12816,9920
4085,18441
24801,31630
16149,37686
37300,37387
408,1377
18566,28295
9814,37483
53,12396
6711,2608
23243,14395
37529,30278
31448,22212
24890,28899
19059,13045
2506,1910
35656,22851
33881,12341
21440,4772
37303,37304
20507,33716
12740,12346
3522,35956
14905,10765
16268,34057
37744,23641
16990,11666
12935,6314
24695,34980
11917,37873
38261,7658
12935,6313
7683,38051
17352,455
4018,20601
12406,22722
4517,5139
4673,300
4084,18559
33066,37611
37304,37303
1752,25321
23492,6739
21009,18180
10057,30018
16169,37169
11907,38217
8583,10187
33741,16734
10800,6998
33900,11806
3589,33925
33832,13915
33132,35615
33802,14846
16804,17475
16707,20484
33484,24685
27773,5147
6415,11871
16206,36041
37482,31832
29219,25843
6418,11795
18813,20775
2280,9001
33724,17296
2515,1725
4619,2041
35267,34979
8020,27687
12049,33862
16827,16821
2298,8463
21509,2742
27859,2505
22712,30988
16793,17871
2281,9001
1885,21277
2250,9964
17308,1929
8273,19858
12363,24153
7698,37695
31649,16099
27707,7227
18723,23610
6115,21236
25115,22066
30961,37451
37770,22957
8021,27687
30940,38098
18926,17309
21358,7453
14032,37964
19477,230
25461,11332
2310,8130
2310,8129
25479,10776
12854,8941
27917,734
25297,16444
32001,5229
35468,28833
34002,8745
38148,11294
38328,5712
3564,34807
25754,2267
3564,34808
22690,31744
4287,12405
2214,11138
380,2455
25218,18898
3753,28967
37831,21109
37860,20210
22720,30805
8665,7761
268,5930
36124,8523
38274,7409
38245,8312
8782,4144
31524,20063
24890,29107
1347,38040
23514,6218
25782,1447
1684,27602
12478,20676
3890,24756
2459,3578
22888,25648
1809,23731
36158,7503
12176,30036
16728,20004
35323,33393
29016,32288
37631,27384
8516,12427
24629,37205
5808,30845
10700,10267
257,6330
1487,33736
455,194
6515,8945
5988,25282
1685,27602
8689,7092
33682,18757
25314,16009
36367,1060
14255,31150
26743,37242
31178,30829
30935,38361
1713,26748
35182,37804
9814,37772
25349,14947
1367,37483
23439,8608
4133,17279
26748,37106
1347,38108
21092,15828
3834,26551
37794,22352
5581,37929
1355,37866
9926,34313
27687,8021
27687,8020
37809,21927
22604,34519
37447,33147
29277,24258
19413,2359
5594,37543
6095,22012
6534,8401
8039,27293
4134,17279
6481,10056
1656,28576
2551,830
2160,12953
18280,37516
4643,1518
35877,16322
57,12616
17007,11465
36264,4297
5801,31167
3906,24374
8541,11769
1877,21743
5979,25655
29018,32360
10030,31156
12610,16709
14041,37885
35390,31445
37281,38363
37360,35915
275,5889
33092,37125
27588,11169
29162,27903
10059,30278
11009,830
12239,28232
9848,36816
33895,12243
4043,20166
9814,37871
38312,6388
29019,32360
20988,19177
14829,13487
14648,19097
37377,35413
31431,23116
31486,21409
36200,6369
12897,7853
24995,26021
4580,3540
16821,17295
3950,23076
4689,164
24854,30416
18911,18031
37674,26193
5940,26923
29649,12863
29919,4488
33339,29553
95,11529
33089,37280
16678,21761
35947,14222
16718,20511
12480,20827
305,5034
8775,4613
1526,32722
22851,26999
34083,6480
25157,21047
38370,4654
31252,28737
16439,29186
27620,10253
393,2320
10258,24192
27751,6189
33261,32007
17349,967
27751,6188
1831,23282
27894,1752
16250,35040
27788,5063
27884,2086
12495,20396
14367,27900
14115,35711
25811,808
22852,26999
23276,13877
16479,27976
8214,22038
30969,37534
23202,16167
5795,31507
38276,7623
22992,22699
1415,36223
8758,5202
5610,37249
31058,34787
11025,456
35709,21674
29649,12956
33895,12409
8215,22038
10824,6695
3500,37136
29045,31672
1564,31625
14072,37101
5641,36312
8864,1936
397,2274
43,13250
14050,37792
16353,31923
18897,18594
6026,24389
16554,25714
4455,7564
10927,3537
18299,37149
17044,10539
12874,8736
8852,2346
10490,17103
15045,6966
398,2275
20427,36742
14210,32849
14169,34133
8852,2347
8724,6330
7952,30262
6136,21015
16467,28447
33128,36256
4423,8590
5836,30328
19343,4820
24956,27447
31073,34426
1377,37497
14779,15256
38241,8812
25556,8863
30961,37918
33927,11512
23416,9670
17311,2314
21001,18998
8875,1675
27857,3067
13140,531
27910,1418
8133,24690
4141,17365
20481,35109
10149,27737
8285,19984
13021,4241
4507,6030
35667,23097
7783,35554
23493,7287
389,2621
28978,33861
4051,20176
2452,4210
6430,11971
3694,31255
2466,3788
10906,4295
16149,38360
4390,9684
11983,36441
4408,9123
31953,7184
18905,18462
27146,25160
23714,473
12194,29907
22720,31282
4076,19427
7860,33201
23064,20642
12936,6923
2062,16340
26952,31178
4374,10224
10850,6076
3978,22509
16886,15574
37573,29661
22862,26932
17019,11454
6220,18553
16373,31482
31952,7309
38060,14545
35713,21766
25555,8997
22492,38415
18428,33347
35414,31082
18852,20208
23147,18137
18734,23868
31584,18727
27689,8402
12252,28201
20409,37467
19461,1321
1360,38172
5634,36751
24808,32170
33714,18227
343,4171
37589,29186
32170,571
3949,23468
28851,37951
12269,27694
8600,10359
4301,12567
15072,6347
18466,32195
21423,6066
4383,10030
12550,19002
17134,7976
37641,27596
6366,14103
33889,12844
14918,11135
33895,12660
14742,16590
4699,246
18834,20808
8215,22333
11928,38300
37304,38093
27843,3693
35770,20112
8629,9505
25655,5979
17109,8758
7697,38392
37534,30969
22689,32389
30989,37259
35904,15935
20396,37961
18295,37555
37863,20747
24661,36811
4346,11223
10590,14261
10628,13086
31629,17405
5706,34603
16299,33907
16299,33908
15190,2743
10715,10396
27404,17328
38243,9025
1392,37278
36351,2115
27908,1723
22686,32538
31505,21288
28891,36787
16278,34567
2070,16271
31404,24441
12133,32008
18728,24182
37984,17076
8606,10284
259,6901
2194,12453
2425,5292
16846,17013
72,12712
25050,24833
8476,14333
1802,24624
31753,13647
12268,27865
3706,31137
14227,32671
14556,22470
25010,26095
8759,5580
16896,15483
7721,37753
27174,24537
404,2446
38331,6339
6813,377
12252,28385
7730,37496
38036,15529
4671,1251
19425,2625
12405,23651
31808,11972
6561,8201
34154,4803
17327,2128
25763,2761
25201,20176
37736,24837
14508,23989
9855,37160
19327,5668
6474,10906
1423,36416
323,4984
1922,20954
38204,10311
34248,1911
19134,11685
7731,37496
29371,22023
6777,1535
20924,21735
8905,1104
12097,33226
34165,4498
31839,11066
10776,8656
8691,7755
1776,25517
16342,32733
19417,2944
27920,1501
8737,6343
164,9959
27206,23630
18938,17786
38390,4623
3598,34581
3598,34582
33958,10945
1752,26276
29759,10015
18450,32937
33804,15703
10696,11168
36366,1817
29038,32381
3657,32772
12280,27613
2331,8347
23022,22295
29383,21712
16201,37140
3811,28013
18952,17383
33088,37944
35215,37546
23299,13704
25555,9300
33161,35656
3875,26034
38102,13563
1448,35739
16237,36042
21431,6088
4566,4624
10765,9067
8112,25767
21341,8880
2500,3138
31537,20481
14829,14162
20800,25671
12959,6593
29428,20350
3812,28013
35823,18733
23300,13704
1455,35551
14913,11573
10459,18576
12280,27657
379,3375
16464,29037
37375,36137
21288,10551
59,13300
20954,20906
14395,27649
6099,22675
33603,22038
15179,3340
23384,11134
23320,13116
37337,37338
13150,724
8647,9244
31832,11409
33320,30796
16310,33844
14263,31762
6728,3203
18656,26666
6814,542
34036,8647
14061,38030
15105,5665
36309,3723
14784,15616
25279,17954
27736,7320
33172,35441
4671,1451
21289,10594
2289,9761
37338,37337
19306,6532
445,1394
29764,10012
12881,9100
20504,34919
31523,21038
12318,26559
12639,16609
25745,3546
20597,32054
8898,1518
1569,32107
35690,22951
16975,13289
6347,15072
27070,28018
9932,35017
34271,1388
14674,19082
10246,25280
35774,20367
9823,38404
10671,12113
25135,22489
31248,29587
2393,6599
31923,8689
27662,9706
6025,25081
14887,12502
29059,31929
38409,4213
35520,28280
25280,18016
29221,26946
12287,27602
18505,31458
2478,4002
4297,13150
33461,26552
4297,13149
38001,16891
8215,22767
27971,175
26797,36571
18427,33893
31144,32881
16300,34297
6378,14189
25417,13805
25443,12999
33461,26607
8273,20985
37353,37031
8794,4835
11000,1985
12446,22708
35348,33621
37689,26585
25389,14692
37690,26559
31730,14731
10942,3789
31597,18852
15202,2813
20574,32883
37407,35376
8099,26407
13125,1675
3512,37528
6757,2473
10953,3466
21191,13779
38228,9933
14887,12605
13152,854
21484,4708
6441,12280
6312,16285
2413,6088
31290,28421
3970,23371
23415,10396
17103,9459
2221,12058
16606,24891
3726,30950
12850,10252
24975,27584
27434,16892
16852,17279
8228,22469
19422,3134
21570,2083
16531,27219
2412,6170
29227,26859
4568,4884
7966,30625
6777,1946
22864,27549
27130,26371
10551,16035
4709,524
4696,933
10020,32493
14674,19304
22544,37481
16198,37601
19359,5136
30076,589
33292,31961
25608,8025
37729,25485
16179,38185
10039,31933
12916,8276
20755,27412
23499,7883
31792,12948
35629,25094
25037,25740
27169,25185
7927,31870
9994,33331
2227,11971
4321,12595
4321,12596
14739,17327
17279,4134
33371,29579
21452,5850
33770,17220
36064,11643
1887,22540
4297,13365
17279,4133
30999,37585
14755,16852
4433,9159
15164,4171
37481,33232
31190,31658
25122,23154
29622,14749
9866,37355
35554,27481
2313,9360
23654,3142
29587,15829
19486,1284
4527,6272
24986,27407
8901,1758
29093,31157
35666,23999
24789,33537
16210,37339
16609,24971
16962,14031
38134,13066
6340,15629
12561,19388
6739,3264
33673,20295
4665,2021
8881,2395
14579,22377
29459,19854
74,13275
5758,33677
29827,8440
17231,5694
8099,26655
233,8360
29425,20925
4291,13635
23092,20642
2521,2973
20478,36152
37754,24864
35425,31527
25369,15597
10232,26096
23343,12884
33786,16827
20791,26482
26825,36035
10279,24664
10474,18630
5647,37192
4407,10094
27589,12341
16726,21418
38000,17312
4648,2637
38164,12232
23090,20753
6277,17676
14124,36567
31639,17879
18447,33620
30988,38059
25207,20690
31753,14373
327,5529
21278,11414
8241,22336
32055,5009
14137,36177
23457,9397
17245,5381
31570,20055
31860,11063
18448,33620
10700,11668
1535,33646
1826,24628
36088,11072
18333,37198
8505,14193
6463,11963
31586,19569
32033,5712
14109,37089
3523,37577
18300,38249
37606,29597
37941,19212
12365,25622
33488,26188
31134,33599
24977,27859
27589,12448
25018,26607
18641,27685
10808,8367
6709,4374
16962,14223
495,404
6166,21216
14413,27707
2222,12405
38035,16331
23035,22558
4206,16448
25488,12072
35317,35034
22611,35739
14627,21093
16644,24113
4422,9776
3547,36901
1723,27908
14698,18900
27685,9511
8366,18593
23547,6738
1426,37125
25417,14306
12137,32772
21168,14944
27724,8318
16240,36646
22963,24861
33953,11857
38290,8484
23000,23712
25564,9763
13150,1373
5829,31720
34323,394
30077,931
27207,24364
25759,3717
4393,10715
26910,33593
27830,5070
27830,5069
37730,25829
423,2716
17223,6202
27294,21678
16922,15553
33537,24789
31762,14263
3533,37403
35242,37480
37359,37360
37742,25485
22675,33833
36079,11517
80,13390
18840,21666
4258,14945
2012,19037
20639,31431
38152,12830
8960,256
23028,22903
37360,37359
37481,33608
7902,33070
33574,23659
19368,5304
37968,18521
29789,9937
27670,10086
1479,35588
37729,25970
31082,35414
29771,10517
18964,17844
23496,8424
29899,6568
23729,1224
398,3587
16408,31573
1826,24858
14184,34978
22544,37978
6524,10303
27389,18849
31870,11012
1825,24904
29726,11933
18938,18706
17062,11326
6255,18656
32006,6818
33421,28462
4231,15869
15166,4559
282,7217
20459,37085
27505,15271
33156,36723
27602,12287
38110,14227
18336,37388
27291,21914
33291,32552
16851,17881
23357,12821
36222,7200
10412,20891
29554,17324
18606,29036
31447,24173
3658,33668
21033,19326
8192,24184
37431,35269
31958,8326
22855,28379
18312,38141
22954,25330
22536,38287
8799,5374
13126,2311
3545,37183
22770,31037
35406,32549
1953,21000
16908,16141
254,8135
10278,25071
25655,7155
24964,28568
3861,27407
19402,4384
14109,37407
4706,1224
2346,8852
12816,11961
6062,24731
23103,20738
243,8515
6735,3872
16638,24568
28914,37228
81,13545
1852,24181
4211,16592
8905,2159
10719,11467
14184,35124
2347,8852
37716,26546
10539,17044
6736,3873
6144,22224
6736,3872
15285,999
9879,37523
31884,10721
24681,37407
31707,16206
23630,4449
6836,789
33228,34623
19345,6239
2621,389
19052,15308
32116,3545
23668,3285
21552,3349
36020,13588
14877,13681
10586,15628
37467,34276
497,712
20829,25772
22819,29622
5988,27113
3752,30892
17213,6827
27784,6794
6239,19345
6772,2822
10902,5868
23340,13512
515,184
498,712
31887,10690
37586,30618
29610,15739
14537,24270
33330,31524
3850,27891
5743,34744
29834,8816
19388,4957
38079,15383
17200,7252
12359,26254
3603,35551
16439,30866
38217,11087
10776,9802
22758,31586
33369,30304
33802,16886
17311,3846
22804,30174
36416,1423
20932,22674
37377,37173
33833,15967
31403,25738
33892,14115
2175,14320
37843,22707
21452,6557
38203,11554
17082,10959
3523,38084
22730,32499
35481,30442
1875,23638
2416,6870
33616,22727
13088,3726
11986,37885
31443,24531
80,13757
14942,11781
21543,3775
30019,3159
10385,21998
6616,7765
2522,3612
36351,3504
10690,12545
23692,2711
35357,34331
37430,35601
8845,4215
38331,7643
37689,27550
27903,3250
27228,24178
14114,37501
1913,22517
4464,8974
15088,7304
23043,22839
19375,5494
22992,24441
22584,37089
25350,16883
6013,26503
8846,4215
27613,12280
12415,24659
8366,19103
33432,28479
31717,16122
12619,18342
35242,37907
14384,29162
3737,31546
36296,5271
13184,835
9977,34718
1507,35145
25597,9251
2477,5081
3828,28735
27414,18483
12762,13931
8436,16975
21399,8328
27900,3432
26827,36689
35681,24379
4399,11063
14734,18359
31809,13313
4568,5828
8420,17486
25377,16122
5644,38016
335,5989
37825,23435
5946,28659
22604,36540
31843,12275
19082,14674
10808,9019
6531,10531
1436,37408
17103,10490
80,13910
358,5292
35739,22611
25759,4291
21449,6827
9947,35721
1568,33322
37849,22742
25873,782
35588,27274
6019,26426
4553,6344
25751,4576
35823,20037
29029,34028
15144,5712
3847,28243
25067,25773
12118,33993
23265,16121
15116,6592
14999,10218
14999,10217
17083,11159
31248,30793
10461,19823
38126,14162
33844,15834
8904,2563
25763,4216
6827,1417
33147,37447
10103,30929
25321,17915
26789,37969
8126,26689
24757,35425
37930,20284
30118,306
29702,13200
25515,11920
8276,22049
10808,9087
10565,16623
2333,9675
9996,34261
13004,6557
8607,11791
37941,19928
16810,19656
399,4102
8905,2563
33771,18137
8685,9393
19427,4076
35967,15634
4424,10412
9917,36744
16230,37644
2374,8435
14108,37906
21343,10236
37585,30999
27891,3850
1911,22799
6653,6870
9917,36759
27016,30969
16264,36623
38170,12907
27499,16025
7944,32397
3788,30162
2506,4367
17321,3851
12680,16660
33647,22058
31805,13596
23151,19730
8347,19918
19516,1370
36123,10817
4561,6219
6415,14279
35507,29919
15103,7095
6383,15280
13121,3012
25527,11653
10392,22074
29248,27361
23731,1809
2124,16256
8248,23015
33607,23308
10465,19826
23151,19777
8318,20865
34331,910
2014,19691
2577,2238
2272,11698
2272,11699
25467,13556
2175,14708
18837,22469
10570,16614
31416,25740
20817,26625
22584,37407
18895,20699
3840,28644
34340,669
15166,5226
10597,15795
4635,4009
21550,3921
34128,7215
36420,1702
36420,1701
19355,6454
14793,16793
21187,15198
17324,3881
13157,1986
8211,24236
21375,9363
287,7743
35269,37431
394,4429
7868,34875
8629,11296
5962,28436
7912,33522
6678,6241
18365,37173
37401,36858
5748,35075
10651,14155
33881,14909
27323,21621
23513,8660
37387,37300
8573,13049
6809,2192
1752,27894
25018,27559
2220,13389
27669,10911
5963,28436
15059,8606
33369,30838
20726,29552
25519,12045
12896,10142
23480,9703
14906,13376
160,11744
21197,14964
21474,6383
31250,31001
17258,5995
17258,5996
31133,34651
2319,10367
38188,12526
14104,38247
14137,37239
3780,30621
25627,8720
12633,18325
9964,35524
7956,32237
33255,34389
27961,1898
23335,14259
266,8497
12021,37312
16434,31575
20854,25625
9894,37722
6798,2623
20892,24467
7769,38063
34065,9300
25450,14241
19563,134
38256,10458
27661,11234
13005,6825
37769,25559
38222,11549
30129,279
33443,28636
21450,7183
402,4321
27695,10219
4285,15022
31436,25321
3785,30520
17294,4957
39,15584
1986,20764
2448,6441
6688,6077
35765,22178
10219,27695
16681,23989
13031,6068
26820,37354
14137,37314
17311,4451
29984,4799
25369,16820
14297,32366
33989,11719
6593,9047
23513,8822
29786,10955
29919,6861
27891,4187
4624,4566
8706,9101
19097,14648
2158,15477
8996,113
381,5034
14298,32366
25773,4325
6818,2107
8133,26883
37663,28935
6805,2508
25738,5432
29810,10270
36262,6877
12796,13411
34277,2852
37864,22729
25611,9383
29889,7836
10906,6474
33945,13148
24688,37994
35558,28687
18874,21614
18994,17914
19270,9357
256,8960
37704,27735
4707,2051
38236,11248
13203,829
31890,11376
33252,34659
33844,16310
31933,10039
7831,36297
29901,7490
4273,15529
10756,11164
281,8214
27620,12688
9896,37833
4716,1808
37896,21825
34320,1607
38201,12368
296,7762
38125,14731
25023,27649
10167,29451
12405,25610
25336,17967
6208,21108
12341,27589
16922,16679
25756,4966
36059,13264
16538,28569
31279,30356
38217,11907
24717,37170
8656,10776
6757,4116
29220,28668
8832,5339
8832,5340
5979,28242
37706,27735
35860,19426
25127,24500
148,12405
26809,37885
35272,37695
21084,18748
24814,34189
36425,1959
8344,20491
22715,33748
5829,32921
26797,38278
8833,5340
5831,32864
13032,6241
37452,35641
25811,3327
32244,513
21118,17733
27461,17705
7773,38216
344,6372
23290,15933
7939,33077
25098,25433
38071,16485
25198,22334
14846,15574
29295,26427
2441,6925
29743,12536
10156,29902
187,11265
2351,9718
3576,37284
4177,18663
19212,11338
35895,18428
31771,15216
14887,14335
2316,10825
27603,13348
2086,17960
35384,34319
10942,5577
22583,37917
38004,18641
29306,26105
15184,5144
25597,10015
35288,37301
14271,33461
37812,24563
8014,30820
22885,28579
7801,37417
27005,31923
23521,8849
35768,22442
438,3545
23117,21391
9904,37790
19244,10382
25052,26946
17455,305
1449,37748
9897,38003
12262,30222
32206,1773
33969,12656
25421,15528
10453,20777
33969,12657
8411,18538
95,14194
12268,30043
28935,37663
6397,15447
33716,20507
21674,602
37771,25880
25752,5256
19294,8849
16912,17156
8042,29987
38366,7471
15166,5763
6091,24943
1796,27017
14850,15553
1450,37748
23103,21861
37418,36872
27113,28616
2174,15308
4699,2576
35572,28535
10170,29580
6814,2551
5746,35657
20680,31448
18556,31762
33595,24330
27035,31080
36312,5641
12953,8858
37397,37545
3895,27515
13191,1486
31261,31132
23609,6226
38280,10157
19060,16177
5950,29367
2371,9242
32137,3997
23196,19023
6827,2188
16726,23007
27079,29745
2161,15767
31863,12509
4673,3433
14623,22662
3562,37882
12732,15758
31839,13271
34266,3553
14802,17133
33981,12394
7882,35054
3585,37187
22727,33616
12482,23528
16587,27348
27492,16978
25585,10555
2396,8516
8463,17052
10012,34570
27863,5469
513,1355
33671,22049
37710,27913
14624,22663
1583,33726
6538,11195
33770,18959
7826,36804
2361,9616
1919,23325
29001,35736
2282,12074
15352,123
31204,33003
6047,26434
28967,36808
36280,6739
37404,37405
12892,10862
7800,37640
27202,26008
67,15229
4461,10090
15353,124
23439,11611
2086,18187
6790,3440
29870,8849
12879,11291
6651,7753
16466,31178
37405,37404
33746,19764
10866,8162
18428,35895
14890,14489
34100,8794
2603,2181
37866,23125
33993,12118
31440,25755
8142,27092
2601,2250
1675,30963
37528,33649
1675,30962
2002,20827
25515,12810
25761,5187
10931,6182
27130,28305
8758,8006
2351,10020
4394,12226
18379,37441
6879,730
29887,8396
3725,32972
38405,6490
16653,25433
2394,8706
12898,10765
12898,10766
29172,30577
37461,35732
18462,34899
29538,19247
20517,36748
12899,10766
8273,23096
505,1765
8273,23097
29745,12816
32139,4138
12953,9102
1479,37110
23088,22601
4032,23503
8328,21399
22620,37102
37979,19717
4219,17720
37785,25769
21389,9749
3585,37382
8027,30748
29172,30617
12233,31446
37402,37652
31325,29409
35854,20106
25770,5029
34046,10590
25157,24029
12156,33855
24736,37095
1534,35460
561,90
2500,5518
12363,27447
37643,30211
38255,11239
24899,32036
12928,9928
25811,3790
37480,35242
5828,33432
25811,3789
33375,31431
22821,30938
34320,2141
1826,26432
2160,16085
31909,11371
33461,28816
31674,18651
37527,33845
34018,11524
20785,28559
25608,10114
36182,9988
2192,15122
37556,32964
2506,5391
8838,5713
29186,30304
19249,10669
37837,24243
37961,20396
8697,10090
27217,25802
6561,10776
22756,33016
38352,8321
29739,13176
16810,20756
17428,1600
31722,17230
16562,28436
16322,35877
6901,259
13250,43
21666,1287
6562,10776
2395,8881
31157,34764
25421,15969
36273,7227
4656,4333
25713,6936
12206,32430
19525,2151
10431,21933
17028,14022
29622,16826
32094,5725
10543,18465
35305,37265
496,2251
4657,4334
19139,14136
19514,2529
8587,13585
10637,15567
37858,23701
38327,9172
19480,3599
16810,20836
12610,19953
29593,17777
29413,23353
23519,9454
12616,19777
25752,5769
23262,17447
15087,8722
33284,34454
1791,27685
38200,13138
31075,37381
17396,2679
27343,22027
33467,28766
8713,9723
37687,29019
2231,14063
1481,37312
4273,16299
27657,12280
31606,20933
6292,19251
37697,28753
25896,1362
6455,14206
29202,29940
29354,25256
2349,10433
16997,15104
33695,21731
37501,34816
19218,11791
37429,37054
16282,37258
14988,11845
32155,3946
6472,13706
36326,5753
37586,32230
411,4993
260,9675
27356,21666
21009,21809
35804,21941
23559,8300
38092,16551
35441,33172
4408,12171
33677,22323
38324,9339
7818,37537
1765,28576
33579,25402
15322,1535
2128,17327
11086,1773
20505,37468
21333,11800
9943,37227
1893,24629
17294,5958
12770,15125
6611,9442
23304,16262
4771,953
12387,26995
16604,27354
3962,26036
26877,36562
27571,15043
18586,31437
10253,27620
27703,10981
6177,22913
9915,38112
1725,29857
7868,36030
23304,16263
25667,8577
36162,10883
25010,28929
21013,21771
14938,13491
19083,16087
14969,12538
2186,15600
22955,27127
27359,21666
37513,34592
6880,1166
38353,8558
2126,17469
23739,2835
22743,33711
27381,21010
2304,11956
14803,17700
2449,7462
10683,14355
2171,16089
2640,1554
30023,4656
5947,30113
27841,6760
31591,21581
19199,12513
3581,37930
8845,5814
18639,29877
31577,22038
29348,25599
11108,1209
23740,2835
31082,37379
32023,8207
17109,11781
2473,6757
9976,36306
27446,19044
22882,29449
4527,8633
16795,21531
37913,22259
8846,5814
37777,26476
6573,10748
10097,32577
8364,20763
6026,27711
37773,26576
19261,10651
36219,9216
27997,1968
547,955
6554,11350
342,7317
5688,38202
16340,35676
25600,10765
2459,7229
15310,2064
25493,14076
29062,34507
12536,22534
23393,13636
2539,4765
29786,12085
14779,18542
18391,37650
21033,21273
1480,37604
482,3013
1600,33893
21207,15907
35677,26103
1567,34923
1895,24755
4782,796
22716,34656
8802,7244
33,16944
15308,2174
18458,35605
26866,37099
80,15495
21072,20096
35439,33464
2214,14879
8748,8933
15327,1590
24774,36435
14814,17506
27271,24558
1908,24380
8160,27175
9024,393
33816,18294
23790,1415
29444,22747
18937,20791
10396,23415
8901,4225
6158,23718
27737,10149
8580,14184
18649,29731
21667,1713
14778,18649
23581,7903
36415,3289
23376,14262
8912,3895
9,17749
10365,24403
1487,37475
23734,3188
37954,21096
15072,9553
38097,16660
29062,34620
8551,15108
2164,16495
21246,14769
12041,37984
36367,4799
25420,16471
33907,15529
5753,36326
8945,2906
8378,20484
22624,37626
1773,28643
11143,323
12816,13997
14222,35947
27651,12857
5979,29330
17315,5590
4106,21864
16291,37355
25614,10492
33908,15529
23253,18137
33302,34323
34211,6115
25899,1666
6111,25269
4619,5984
23044,24641
4462,10849
9953,37234
8550,15202
20518,37398
8081,29738
505,2459
15186,6100
2175,16226
16753,23070
15072,9643
10496,20424
29883,9244
23775,2009
35404,34702
31781,15967
31886,12712
27411,20362
9988,36182
25321,19618
23088,23307
33348,32906
28995,36795
19472,4321
27961,3305
31927,11460
2028,20811
3577,38331
37993,20024
15108,8551
19181,13369
29984,6153
30180,72
14793,18324
1702,30927
37779,26667
21163,17476
31312,30542
17365,4141
12371,27876
19144,14519
38400,7402
4533,8722
25713,7488
80,15693
26999,33161
29193,30681
9958,37161
8482,17383
20671,32743
34240,5334
37947,21492
38392,7697
2559,4390
18690,28609
23193,20114
28998,36769
33743,20728
34241,5334
19605,276
3912,28021
26866,37357
20502,38035
4515,9336
25477,14877
15350,1136
37659,30440
11134,760
17086,12852
17486,452
15166,6851
3720,33991
14542,26193
26849,37899
22929,28349
20931,24740
2271,13385
29415,23883
34241,5372
13033,7451
19536,2478
8497,17006
34018,12268
33367,32452
4751,2059
6905,824
38094,17025
6412,16118
10620,16739
38402,7459
29449,22882
21677,1675
38237,12583
33770,20025
16887,19103
35388,35408
31243,32818
20599,35118
511,2481
23571,8529
8068,30357
4413,12592
4258,17398
19045,17749
33799,19119
27620,14074
2176,16410
25534,13204
8302,23116
7929,34675
5950,30494
20611,34767
37917,22583
2307,12362
8947,3131
14755,19690
38291,10964
6464,14576
34043,11580
21141,18349
33438,30340
22972,27127
23528,9882
28956,38226
16651,26460
23819,858
34293,3843
4627,6008
21529,6335
37493,35760
19258,11199
17056,13926
423,5269
2648,1833
12640,19764
37456,36886
13275,74
2395,9680
14162,38126
8968,2530
6618,9850
2220,15119
37754,27696
35800,22733
5964,30133
15157,7296
36384,4636
21681,1675
23067,24236
1561,35572
16710,24698
37597,32555
27715,11246
10852,9705
21286,13940
20524,37560
29426,23736
8463,18236
20502,38229
6903,1060
23820,913
14945,13910
8608,13750
30149,1345
2184,16286
13241,1206
18574,32480
16601,28109
31132,36397
31717,18262
27146,28918
17399,3391
27215,26781
6213,22469
59,16640
34313,3358
22641,37500
2274,13513
37840,25096
17090,12964
9933,38228
12042,38385
3984,26047
37671,30320
18575,32480
14262,35119
19359,8181
19457,5142
22614,38345
25331,19653
35722,25242
15207,5837
7827,38002
377,6813
4046,24145
6145,24613
17187,10001
8126,28745
12911,11485
37907,23051
12345,29038
14648,23181
33399,31707
12810,14631
37811,26014
17021,15174
26991,33782
20968,23894
35845,21467
6876,1990
33802,19268
26849,38204
505,2891
6938,80
27364,22235
24936,31970
12811,14632
5979,29817
4527,9293
5736,37347
6617,10043
33677,23164
14373,31753
8875,5584
6877,1990
15047,10866
15201,6091
31839,14592
27412,20755
9956,37614
21050,21395
159,13649
3959,26919
35817,22346
10369,24817
36052,15063
1487,38025
36416,3788
27825,7968
13272,379
1607,34320
37705,29409
6814,3979
200,12406
10708,14333
36269,8394
10217,29564
8758,9260
4498,10246
36321,6760
26846,38356
22689,36144
25939,931
13080,6364
6239,21827
38351,9411
23650,6372
24932,32167
33715,22059
27354,22624
24787,36658
29468,22650
8312,23117
12656,19521
16429,33640
10218,29564
25433,16653
24736,38260
25931,1217
6529,12867
29384,25269
37601,32693
38392,8175
29984,6658
31235,33440
16316,37172
4665,5129
14337,32976
21282,14296
27126,29761
22805,32636
4507,10046
1728,30662
13128,4949
13149,4297
36311,7184
18586,32352
18694,29004
27529,17259
16392,34848
12269,31585
34145,8771
8717,10620
38028,19471
38205,13985
8300,23559
33572,26543
38090,17557
22660,37165
2068,20149
15157,7608
23686,5364
28976,37975
18990,19868
8613,13863
28011,2356
17096,13032
23362,15395
13150,4297
28061,796
33476,29542
37490,36183
4177,20324
34083,10729
22798,32905
38373,8812
10800,11624
35643,27910
18838,24587
1974,23093
20527,37782
5870,33389
23565,9147
6372,17834
17104,12829
18991,19868
15043,11185
31672,19966
6882,2032
19334,9228
22743,34618
21336,12721
25307,20690
36480,1989
22715,35510
6870,2416
31391,28691
37857,24840
19632,1
10551,19388
2332,12034
35341,37348
5712,38328
32001,9796
2271,13928
22794,33065
1986,22776
